<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
BA,201612220903,158.73,158.73,158.73,158.73,300
BA,201612220926,158.47,158.47,158.47,158.47,200
BA,201612220928,158.47,158.47,158.47,158.47,100
BA,201612220930,158.5,158.63,158.5,158.59,2973
BA,201612220931,158.5,158.7,158.33,158.7,104988
BA,201612220932,158.72,158.94,158.62,158.94,25024
BA,201612220933,158.67,158.99,158.67,158.74,23447
BA,201612220934,158.74,158.92,158.66,158.66,26576
BA,201612220935,158.65,158.7,158.21,158.21,23220
BA,201612220936,158.3,158.44,158.05,158.44,14131
BA,201612220937,158.43,158.51,158.35,158.41,7412
BA,201612220938,158.51,158.58,158.3,158.36,13313
BA,201612220939,158.36,158.63,158.26,158.63,22488
BA,201612220940,158.67,158.69,158.35,158.41,8738
BA,201612220941,158.36,158.45,158,158.45,16115
BA,201612220942,158.02,158.07,157.73,158.01,11055
BA,201612220943,158.06,158.22,157.97,158.22,6667
BA,201612220944,158.17,158.25,158.09,158.23,7416
BA,201612220945,158.24,158.24,157.93,157.98,7340
BA,201612220946,157.88,157.98,157.71,157.71,7257
BA,201612220947,157.71,157.94,157.71,157.93,5350
BA,201612220948,157.96,157.96,157.7,157.7,4500
BA,201612220949,157.74,157.96,157.65,157.91,11445
BA,201612220950,157.86,157.91,157.65,157.67,15856
BA,201612220951,157.67,157.8,157.67,157.71,14229
BA,201612220952,157.75,157.93,157.7,157.91,4064
BA,201612220953,157.87,157.87,157.7,157.72,10295
BA,201612220954,157.73,157.74,157.54,157.54,5299
BA,201612220955,157.58,157.78,157.53,157.62,20612
BA,201612220956,157.55,157.65,157.51,157.6,7405
BA,201612220957,157.65,157.78,157.6,157.78,7279
BA,201612220958,157.74,157.87,157.68,157.72,7881
BA,201612220959,157.74,157.76,157.68,157.68,4907
BA,201612221000,157.72,157.8,157.67,157.76,9849
BA,201612221001,157.79,157.79,157.64,157.64,6865
BA,201612221002,157.63,157.63,157.52,157.57,12306
BA,201612221003,157.58,157.58,157.34,157.34,16846
BA,201612221004,157.36,157.4,157.3,157.36,7736
BA,201612221005,157.38,157.38,157.13,157.16,12959
BA,201612221006,157.15,157.15,156.66,156.74,26619
BA,201612221007,156.72,156.72,156.56,156.58,8106
BA,201612221008,156.56,156.61,156.37,156.41,20381
BA,201612221009,156.37,156.42,156.25,156.28,14678
BA,201612221010,156.32,156.62,156.32,156.58,18727
BA,201612221011,156.6,156.87,156.59,156.77,23839
BA,201612221012,156.75,156.87,156.69,156.83,7955
BA,201612221013,156.89,156.91,156.84,156.89,6420
BA,201612221014,156.88,156.9,156.77,156.81,17095
BA,201612221015,156.84,157.03,156.8,157.01,7592
BA,201612221016,157.03,157.05,156.1,157.05,3260
BA,201612221017,156.99,157.2,156.99,157.19,8242
BA,201612221018,157.16,157.22,157.04,157.06,5911
BA,201612221019,157.04,157.06,156.99,157.03,3983
BA,201612221020,157.08,157.08,157.01,157.02,2217
BA,201612221021,157.03,157.28,157.03,157.23,8541
BA,201612221022,157.24,157.33,157.19,157.19,2850
BA,201612221023,157.2,157.27,157.2,157.25,3460
BA,201612221024,157.24,157.25,156.99,157.04,21882
BA,201612221025,157.01,157.09,156.99,157.09,4871
BA,201612221026,157.07,157.17,157.07,157.16,6268
