<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
BLK,201612120922,390.93,390.93,390.93,390.93,100
BLK,201612120928,392,392,392,392,200
BLK,201612120929,393.77,393.77,393.77,393.77,100
BLK,201612120930,394.28,395.58,393.01,395.58,1100
BLK,201612120931,395.12,396.64,393.3,393.96,2100
BLK,201612120932,393.83,394.84,393.83,394.53,1300
BLK,201612120933,395.48,395.48,390.05,395,40130
BLK,201612120934,390.14,391.7,390.05,390.3,3893
BLK,201612120935,390.83,391.89,390.55,391.79,6117
BLK,201612120936,391.43,391.75,391.02,391.6,9448
BLK,201612120937,391.6,392.58,391.1,391.1,13089
BLK,201612120938,390.56,392.33,390.37,390.37,1300
BLK,201612120939,390.37,392.21,390.27,390.29,3374
BLK,201612120940,391.11,391.12,389.3,389.33,5514
BLK,201612120941,390.2,390.29,389.32,389.34,3757
BLK,201612120942,388.76,390.11,388.75,389,5375
BLK,201612120943,388.76,389.17,388.02,388.02,5801
BLK,201612120944,388.12,388.6,388.06,388.59,513
BLK,201612120945,388.6,389.61,388.01,388.62,15484
BLK,201612120946,389.39,389.64,388.64,389.03,3675
BLK,201612120947,388.76,389.39,388.65,389.08,1700
BLK,201612120948,388.5,389.85,388.24,389.03,5110
BLK,201612120949,388.69,388.78,388.23,388.23,700
BLK,201612120950,388.72,389.23,388.45,388.83,5993
BLK,201612120951,388.83,388.83,388.19,388.68,4535
BLK,201612120952,388.5,388.6,388.5,388.57,950
BLK,201612120953,388.5,388.67,388.3,388.3,800
BLK,201612120954,388.76,388.76,388.11,388.69,778
BLK,201612120955,388.76,389.05,388.52,388.83,3500
BLK,201612120956,389.18,389.25,388.33,388.33,6230
BLK,201612120957,388.45,389.01,388.35,389.01,3670
BLK,201612120958,389.02,389.02,388.26,388.64,1860
BLK,201612120959,388.64,389,388.5,388.98,1470
BLK,201612121000,388.55,388.77,388.41,388.41,5234
BLK,201612121001,388.58,389.63,388.5,389.63,2753
BLK,201612121002,388.89,389.7,388.82,388.91,4512
BLK,201612121003,388.9,389.62,388.9,389.14,2587
BLK,201612121004,389.4,389.78,389.38,389.78,4805
BLK,201612121005,389.89,389.89,388.91,388.91,9172
BLK,201612121006,388.99,388.99,388.53,388.78,3600
BLK,201612121007,388.89,389.26,388.37,388.37,5400
BLK,201612121008,388.31,388.8,388.21,388.22,7401
BLK,201612121009,388.12,388.14,387.67,388,4600
BLK,201612121010,388.28,388.3,387.68,387.68,1076
BLK,201612121011,387.93,388.26,387.9,388.24,1285
BLK,201612121012,388.25,388.61,388.25,388.47,1067
BLK,201612121013,388.27,388.3,388.27,388.3,300
BLK,201612121014,388.32,388.71,388.25,388.27,1500
BLK,201612121015,388.25,388.44,387.93,387.93,664
BLK,201612121016,388.11,388.14,387.95,387.95,700
BLK,201612121017,387.91,387.91,387.91,387.91,100
BLK,201612121018,387.91,388.31,387.91,388,2436
BLK,201612121019,387.97,388.54,387.88,388.29,8553
BLK,201612121020,388.39,388.39,388.03,388.08,4400
BLK,201612121021,388.17,388.61,388.11,388.11,4509
BLK,201612121022,388,388.16,387.69,387.82,6410
BLK,201612121023,387.85,388.09,387.65,388.09,1785
BLK,201612121024,387.76,387.76,387.76,387.76,200
BLK,201612121025,387.78,387.82,387.33,387.82,5157
BLK,201612121026,387.51,387.77,387.29,387.54,2932
BLK,201612121027,387.39,387.63,387.12,387.63,1991
BLK,201612121028,387.03,387.03,386.85,386.92,1298
BLK,201612121029,386.91,387.13,386.56,386.96,2038
BLK,201612121030,386.95,387.07,386.45,386.45,4400
BLK,201612121031,386.58,386.58,386.5,386.5,900
BLK,201612121032,386.74,387.08,386.5,386.56,3379
BLK,201612121033,387.02,387.02,386.58,386.83,2929
BLK,201612121034,386.86,386.86,386.43,386.44,1685
BLK,201612121035,386.84,386.84,386.43,386.75,2138
BLK,201612121036,386.89,386.97,386.8,386.97,3315
BLK,201612121037,387.01,387.25,386.85,386.87,13776
BLK,201612121038,386.86,386.86,386.56,386.56,1797
BLK,201612121039,387,387.38,386.77,387.05,5791
BLK,201612121040,387.09,387.11,387.09,387.09,1075
BLK,201612121041,386.85,387.24,386.81,387.01,2545
BLK,201612121042,386.96,386.96,386.42,386.42,2159
BLK,201612121043,386.45,386.45,385.5,385.81,7289
BLK,201612121044,385.81,386.16,385.34,385.34,3508
BLK,201612121045,385.44,385.63,385.35,385.37,1100
BLK,201612121046,385.35,386.04,385.26,386.04,2558
BLK,201612121047,386,386,385.68,385.87,2103
BLK,201612121048,385.66,385.75,385.66,385.68,300
BLK,201612121049,385.85,385.85,385.47,385.47,425
BLK,201612121050,385.82,385.89,385.3,385.3,2565
BLK,201612121051,385.49,385.64,385.36,385.43,2474
BLK,201612121052,385.75,385.83,385.72,385.82,500
BLK,201612121053,385.73,386.48,385.73,386.46,4297
BLK,201612121054,386.47,386.47,386.13,386.36,1758
BLK,201612121055,386.41,386.93,386.03,386.68,2801
BLK,201612121056,386.93,387.26,386.65,386.98,10644
BLK,201612121057,386.95,387.04,386.69,386.8,1400
BLK,201612121058,386.93,387.57,386.75,387.57,5068
BLK,201612121059,387.38,387.78,387.38,387.78,567
BLK,201612121100,387.9,388.3,387.9,388.3,1242
BLK,201612121101,388.29,388.65,388.27,388.35,1438
BLK,201612121102,388.56,388.79,388.56,388.79,2234
BLK,201612121103,388.74,388.86,388.62,388.76,1256
BLK,201612121104,388.99,388.99,388.83,388.84,500
BLK,201612121105,388.88,389.25,388.77,388.77,3600
BLK,201612121106,389.04,389.04,389.04,389.04,200
BLK,201612121107,389.05,389.1,389.03,389.03,500
BLK,201612121108,389.4,389.75,389.27,389.73,2008
BLK,201612121109,389.72,389.94,389.61,389.77,1922
BLK,201612121110,389.76,389.77,389.29,389.38,2154
BLK,201612121111,389.57,389.88,389.41,389.87,5352
BLK,201612121112,389.98,389.98,389.79,389.79,2177
BLK,201612121113,389.79,389.81,389.35,389.58,6000
BLK,201612121114,389.52,389.71,389.23,389.29,4042
BLK,201612121115,389.33,389.57,389.33,389.49,800
BLK,201612121116,389.42,389.52,389.37,389.42,1880
BLK,201612121117,389.52,389.52,389.42,389.48,1700
BLK,201612121118,389.5,389.68,389.32,389.32,1887
BLK,201612121119,389.42,389.44,389.15,389.28,1124
BLK,201612121120,389.35,389.5,388.96,389.17,4782
BLK,201612121121,389.4,389.47,388.88,389.04,4500
BLK,201612121122,389.1,389.1,388.69,388.69,400
BLK,201612121123,388.72,389.03,388.7,389.03,1650
BLK,201612121124,389,389,388.9,388.98,2081
BLK,201612121125,389.2,389.2,388.83,389,2372
BLK,201612121126,389.18,389.18,389.09,389.11,1237
BLK,201612121127,389.16,389.21,389,389,1900
BLK,201612121128,389.04,389.04,388.52,389.02,1511
BLK,201612121129,389,389.07,388.91,388.91,400
BLK,201612121130,389.06,389.11,389.06,389.06,1100
BLK,201612121131,389.15,389.2,388.9,388.9,8367
BLK,201612121132,389.1,389.31,389.07,389.31,700
BLK,201612121133,389.22,389.35,388.92,389,5500
BLK,201612121134,389.07,389.13,388.8,388.92,1289
BLK,201612121135,389.04,389.04,388.93,389.01,850
BLK,201612121136,389.03,389.27,389.02,389.27,400
BLK,201612121137,389.06,389.06,388.9,389.02,1430
BLK,201612121138,389.07,389.14,389.02,389.04,1329
BLK,201612121139,389.14,389.23,389.07,389.07,1642
BLK,201612121140,388.86,389.07,388.6,388.91,3358
BLK,201612121141,388.63,388.63,388.29,388.29,998
BLK,201612121142,388.43,388.46,388.32,388.44,1500
BLK,201612121143,388.49,388.7,388.49,388.68,1485
BLK,201612121144,388.63,388.69,388.63,388.69,300
BLK,201612121145,388.68,388.86,388.59,388.59,632
BLK,201612121146,388.77,388.87,388.77,388.87,435
BLK,201612121147,388.9,389.08,388.61,388.61,3408
