<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
BRK.B,201703240919,170.12,170.15,170.11,170.15,300
BRK.B,201703240920,170.17,170.2,170.17,170.2,300
BRK.B,201703240924,170.2,170.2,170.2,170.2,232
BRK.B,201703240927,170.23,170.23,170.23,170.23,147
BRK.B,201703240928,170.23,170.23,170.23,170.23,100
BRK.B,201703240929,170.23,170.23,170.23,170.23,300
BRK.B,201703240930,170.45,170.45,170,170.13,65104
BRK.B,201703240931,170.19,170.32,170.14,170.32,1400
BRK.B,201703240932,170.38,170.38,170.17,170.19,1300
BRK.B,201703240933,170.17,170.38,170.06,170.17,9258
BRK.B,201703240934,170.23,170.36,170.1,170.22,5948
BRK.B,201703240935,170.35,170.37,170.14,170.23,8300
BRK.B,201703240936,170.18,170.37,170.07,170.13,5595
BRK.B,201703240937,170.11,170.35,170.07,170.2,12399
BRK.B,201703240938,170.19,170.2,170.09,170.1,5300
BRK.B,201703240939,170.12,170.13,170.01,170.05,5080
BRK.B,201703240940,170.05,170.09,170.01,170.01,4300
BRK.B,201703240941,170.02,170.04,169.9,169.94,9887
BRK.B,201703240942,169.91,169.91,169.82,169.87,5229
BRK.B,201703240943,169.87,169.97,169.84,169.9,4101
BRK.B,201703240944,169.92,170.03,169.88,170.03,4363
BRK.B,201703240945,170.04,170.04,169.82,169.82,4280
BRK.B,201703240946,169.79,169.82,169.75,169.8,5071
BRK.B,201703240947,169.78,169.96,169.78,169.96,4390
BRK.B,201703240948,169.98,170.1,169.95,170.05,4169
BRK.B,201703240949,170.1,170.13,170.05,170.08,2737
BRK.B,201703240950,170.1,170.11,170.02,170.06,4469
BRK.B,201703240951,170.04,170.11,169.99,170.06,4507
BRK.B,201703240952,170.06,170.16,170.03,170.15,6711
BRK.B,201703240953,170.15,170.17,170.05,170.05,4951
BRK.B,201703240954,170.07,170.07,170,170.04,3165
BRK.B,201703240955,170.04,170.1,169.93,169.93,12192
BRK.B,201703240956,169.94,169.98,169.87,169.97,7375
BRK.B,201703240957,169.96,169.99,169.92,169.95,4061
BRK.B,201703240958,169.94,170.01,169.94,170,5303
BRK.B,201703240959,170.01,170.01,169.96,169.98,2592
BRK.B,201703241000,170.01,170.07,170,170.07,1601
BRK.B,201703241001,170.07,170.07,169.99,170,3868
BRK.B,201703241002,169.98,170.14,169.98,170.1,7991
BRK.B,201703241003,170.08,170.1,170.05,170.06,2200
BRK.B,201703241004,170.05,170.06,169.95,169.95,3095
BRK.B,201703241005,169.97,170.05,169.95,170.05,5382
BRK.B,201703241006,170.07,170.15,170.07,170.09,7781
BRK.B,201703241007,170.1,170.12,169.97,169.97,5040
BRK.B,201703241008,170,170.03,169.97,169.99,7416
BRK.B,201703241009,169.97,170.01,169.91,169.93,4215
BRK.B,201703241010,169.94,169.95,169.87,169.9,4920
BRK.B,201703241011,169.89,169.91,169.86,169.86,4596
BRK.B,201703241012,169.85,169.93,169.84,169.86,4238
BRK.B,201703241013,169.87,169.93,169.86,169.93,2301
BRK.B,201703241014,169.95,169.96,169.89,169.89,1680
BRK.B,201703241015,169.91,169.96,169.86,169.96,3524
BRK.B,201703241016,169.96,169.96,169.87,169.89,4622
BRK.B,201703241017,169.87,169.9,169.83,169.83,3407
BRK.B,201703241018,169.83,169.9,169.83,169.88,4340
BRK.B,201703241019,169.95,169.97,169.85,169.85,4983
BRK.B,201703241020,169.85,169.89,169.8,169.82,5601
BRK.B,201703241021,169.8,169.8,169.76,169.79,2100
BRK.B,201703241022,169.78,169.87,169.77,169.87,3346
BRK.B,201703241023,169.86,169.9,169.86,169.87,2600
BRK.B,201703241024,169.9,169.9,169.83,169.86,2135
BRK.B,201703241025,169.82,169.83,169.79,169.83,2600
BRK.B,201703241026,169.8,169.84,169.72,169.8,7078
BRK.B,201703241027,169.74,169.83,169.74,169.78,9223
BRK.B,201703241028,169.79,169.88,169.79,169.88,4718
BRK.B,201703241029,169.86,169.91,169.83,169.83,7222
BRK.B,201703241030,169.83,169.9,169.82,169.87,10710
BRK.B,201703241031,169.84,169.84,169.81,169.84,1540
BRK.B,201703241032,169.85,169.89,169.83,169.88,5750
BRK.B,201703241033,169.87,169.94,169.85,169.87,7479
BRK.B,201703241034,169.87,169.99,169.82,169.82,11317
BRK.B,201703241035,169.81,169.85,169.79,169.84,1800
BRK.B,201703241036,169.8,169.87,169.8,169.87,2639
BRK.B,201703241037,169.85,169.94,169.85,169.93,3210
BRK.B,201703241038,169.92,169.93,169.84,169.85,1800
BRK.B,201703241039,169.85,169.88,169.81,169.81,2685
BRK.B,201703241040,169.83,169.89,169.81,169.84,2685
BRK.B,201703241041,169.85,169.85,169.8,169.82,2985
BRK.B,201703241042,169.81,169.86,169.79,169.85,2200
BRK.B,201703241043,169.83,169.83,169.78,169.83,7341
BRK.B,201703241044,169.84,169.88,169.83,169.83,3640
BRK.B,201703241045,169.81,169.85,169.8,169.81,3150
