<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
CHTR,201703240929,324.69,324.69,324.69,324.69,126
CHTR,201703240930,324.94,324.94,324.94,324.94,12466
CHTR,201703240933,323.76,323.76,323.64,323.64,400
CHTR,201703240934,323.87,324.22,323.72,324.14,1100
CHTR,201703240935,323.86,323.86,323.86,323.86,100
CHTR,201703240941,323.84,324.86,323.71,324.86,5000
CHTR,201703240943,324.8,325.02,324.8,324.81,300
CHTR,201703240944,324.8,325.56,324.8,325.56,1450
CHTR,201703240945,325.53,325.54,325.19,325.19,500
CHTR,201703240946,325.28,325.42,325.25,325.25,300
CHTR,201703240947,325.25,325.25,325.25,325.25,300
CHTR,201703240948,325.09,325.23,325.09,325.23,200
CHTR,201703240949,325.24,325.59,325.12,325.5,7400
CHTR,201703240950,325.5,325.62,325.5,325.58,3200
CHTR,201703240951,325.46,326.01,325.45,325.94,4301
CHTR,201703240952,325.93,326.15,325.92,325.92,300
CHTR,201703240953,326.02,326.46,326.02,326.14,1700
CHTR,201703240954,326.2,326.62,326.2,326.42,2300
CHTR,201703240955,326.42,326.57,326.22,326.27,6500
CHTR,201703240956,326.25,326.39,326.01,326.04,7022
CHTR,201703240957,326.05,326.05,326.05,326.05,900
CHTR,201703240958,326.02,326.08,326.02,326.08,300
CHTR,201703240959,326.1,326.26,326.02,326.22,2427
CHTR,201703241000,326.13,326.25,326.01,326.11,4799
CHTR,201703241001,326.01,326.01,325.69,325.69,1500
CHTR,201703241003,325.69,325.69,325.56,325.62,5005
CHTR,201703241004,325.58,325.58,325.48,325.48,5910
CHTR,201703241005,325.48,325.6,325.45,325.59,1800
CHTR,201703241006,325.84,326.25,325.84,326.25,400
CHTR,201703241007,326.34,326.34,326.32,326.32,200
CHTR,201703241008,326.36,326.59,326.28,326.59,1300
CHTR,201703241009,326.57,326.59,326.33,326.59,420
CHTR,201703241010,326.63,326.68,326.56,326.66,2000
CHTR,201703241011,326.73,326.78,326.57,326.77,1601
CHTR,201703241012,326.68,326.93,326.64,326.93,1340
CHTR,201703241013,326.83,326.93,326.81,326.81,700
CHTR,201703241014,326.73,326.73,326.47,326.47,1677
CHTR,201703241015,326.49,326.49,326.49,326.49,100
CHTR,201703241016,326.91,326.91,326.74,326.74,700
CHTR,201703241017,326.9,327.22,326.89,327.09,2540
CHTR,201703241018,327.11,327.21,327.01,327.11,607
CHTR,201703241019,327.21,327.21,327.21,327.21,100
CHTR,201703241020,327.12,327.17,326.85,326.86,900
CHTR,201703241021,326.85,326.85,326.84,326.84,606
CHTR,201703241022,326.91,326.96,326.89,326.96,833
CHTR,201703241023,326.95,326.95,326.95,326.95,100
CHTR,201703241024,326.83,326.93,326.81,326.93,500
CHTR,201703241025,326.94,327.11,326.84,327.11,1800
CHTR,201703241026,327.02,327.02,326.98,326.98,600
