<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
DAL,201701270916,51,51,51,51,500
DAL,201701270925,50.97,50.97,50.97,50.97,100
DAL,201701270926,51.06,51.06,51.06,51.06,100
DAL,201701270927,50.9,50.9,50.9,50.9,1000
DAL,201701270930,50.99,51.07,50.66,50.66,134884
DAL,201701270931,50.72,50.89,50.68,50.86,8710
DAL,201701270932,50.86,50.94,50.73,50.75,15056
DAL,201701270933,50.75,50.9,50.63,50.79,42440
DAL,201701270934,50.76,51.05,50.7,51.05,69501
DAL,201701270935,51.04,51.12,50.93,51.05,89506
DAL,201701270936,51.02,51.05,50.7,50.72,12800
DAL,201701270937,50.72,50.76,50.55,50.75,66613
DAL,201701270938,50.76,50.86,50.72,50.81,34024
DAL,201701270939,50.8,50.83,50.74,50.78,37572
DAL,201701270940,50.82,51.03,50.82,51,13340
DAL,201701270941,50.98,50.98,50.78,50.83,15443
DAL,201701270942,50.81,50.82,50.76,50.8,7522
DAL,201701270943,50.79,50.87,50.79,50.87,7734
DAL,201701270944,50.88,50.94,50.79,50.83,70318
DAL,201701270945,50.78,50.8,50.74,50.76,12460
DAL,201701270946,50.78,50.82,50.75,50.8,17718
DAL,201701270947,50.8,50.86,50.69,50.75,34743
DAL,201701270948,50.75,50.75,50.63,50.63,4100
DAL,201701270949,50.64,50.72,50.6,50.64,36326
DAL,201701270950,50.65,50.67,50.57,50.64,28629
DAL,201701270951,50.64,50.77,50.63,50.71,34940
DAL,201701270952,50.68,50.68,50.63,50.64,9486
DAL,201701270953,50.64,50.83,50.63,50.8,38105
DAL,201701270954,50.8,50.88,50.74,50.87,28651
DAL,201701270955,50.84,50.84,50.73,50.78,9100
DAL,201701270956,50.79,50.8,50.65,50.68,9100
DAL,201701270957,50.68,50.74,50.66,50.66,13771
DAL,201701270958,50.66,50.74,50.63,50.74,7843
DAL,201701270959,50.73,50.77,50.67,50.68,13488
DAL,201701271000,50.66,50.72,50.65,50.68,10995
