<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
FB,201612160900,120.9,120.94,120.7,120.94,2971
FB,201612160903,120.85,120.85,120.84,120.84,727
FB,201612160908,120.85,120.85,120.85,120.85,923
FB,201612160909,120.85,120.85,120.85,120.85,100
FB,201612160910,120.8,120.8,120.8,120.8,500
FB,201612160912,120.91,120.91,120.85,120.85,1153
FB,201612160915,120.76,120.76,120.76,120.76,947
FB,201612160921,120.77,120.77,120.77,120.77,299
FB,201612160926,120.84,120.94,120.84,120.94,2159
FB,201612160927,120.95,121,120.95,121,2380
FB,201612160928,121,121.19,121,121.04,7466
FB,201612160929,121.07,121.27,120.92,120.94,58264
FB,201612160930,120.94,121.15,120.8,121.06,3309022
FB,201612160931,121.08,121.11,120.92,121.02,119893
FB,201612160932,121.12,121.22,120.1,121.11,122290
FB,201612160933,121.19,121.22,121.06,121.12,105410
FB,201612160934,121.14,121.5,121.06,121.41,184874
FB,201612160935,121.42,121.48,121.31,121.44,125587
FB,201612160936,121.43,121.43,121.03,121.05,120180
FB,201612160937,121.06,121.24,121.03,121.17,115304
FB,201612160938,121.18,121.27,121.1,121.18,117193
FB,201612160939,121.17,121.22,121.13,121.13,62066
FB,201612160940,121.13,121.13,120.1,120.84,134137
FB,201612160941,120.83,120.84,120.58,120.61,122445
FB,201612160942,120.63,120.86,120.6,120.79,112285
FB,201612160943,120.78,120.89,120.74,120.84,67888
FB,201612160944,120.84,120.92,120.77,120.81,85950
FB,201612160945,120.82,120.86,120.73,120.79,55348
FB,201612160946,120.78,120.84,120.76,120.77,44209
FB,201612160947,120.79,120.82,120.75,120.79,30354
FB,201612160948,120.78,120.86,120.74,120.74,36115
FB,201612160949,120.75,120.78,120.6,120.6,75527
FB,201612160950,120.59,120.63,120.56,120.61,73153
FB,201612160951,120.61,120.81,120.61,120.72,71342
FB,201612160952,120.72,120.72,120.59,120.64,56285
FB,201612160953,120.63,120.65,120.58,120.63,40265
FB,201612160954,120.63,120.73,120.58,120.71,41741
FB,201612160955,120.71,120.73,120.61,120.63,75752
FB,201612160956,120.64,120.83,120.63,120.8,79610
FB,201612160957,120.81,120.84,120.75,120.79,55077
FB,201612160958,120.78,120.83,120.75,120.76,42991
FB,201612160959,120.77,120.82,120.74,120.77,67519
FB,201612161000,120.78,120.87,120.75,120.8,69580
FB,201612161001,120.79,120.82,120.73,120.76,32290
FB,201612161002,120.75,120.77,120.74,120.77,27211
FB,201612161003,120.78,120.8,120.7,120.71,54093
FB,201612161004,120.71,120.76,120.64,120.68,70220
FB,201612161005,120.68,120.75,120.68,120.69,22729
FB,201612161006,120.68,120.7,120.62,120.62,53136
FB,201612161007,120.62,120.63,120.58,120.6,58915
FB,201612161008,120.62,120.68,120.6,120.6,31750
FB,201612161009,120.6,120.64,120.59,120.6,29983
FB,201612161010,120.61,120.67,120.59,120.67,18870
FB,201612161011,120.68,120.84,120.68,120.8,63401
FB,201612161012,120.8,120.92,120.77,120.9,69375
FB,201612161013,120.9,120.93,120.89,120.9,48106
FB,201612161014,120.89,120.9,120.84,120.88,36245
FB,201612161015,120.88,120.9,120.82,120.86,49361
FB,201612161016,120.87,120.88,120.75,120.75,43102
FB,201612161017,120.75,120.81,120.74,120.75,39160
FB,201612161018,120.75,120.81,120.73,120.79,45151
FB,201612161019,120.78,120.83,120.74,120.75,37485
FB,201612161020,120.75,120.82,120.74,120.76,24814
FB,201612161021,120.76,120.78,120.62,120.62,49819
FB,201612161022,120.65,120.66,120.56,120.65,54454
FB,201612161023,120.66,120.68,120.64,120.64,29712
FB,201612161024,120.64,120.67,120.61,120.62,31324
FB,201612161025,120.62,120.64,120.61,120.64,47151
FB,201612161026,120.64,120.75,120.64,120.65,48178
FB,201612161027,120.66,120.69,120.58,120.6,40470
FB,201612161028,120.6,120.64,120.6,120.62,39634
FB,201612161029,120.61,120.68,120.61,120.68,20365
FB,201612161030,120.69,120.75,120.63,120.64,67749
FB,201612161031,120.64,120.64,120.56,120.6,95758
FB,201612161032,120.6,120.6,120.3,120.32,134408
FB,201612161033,120.32,120.37,120.2,120.32,125118
FB,201612161034,120.32,120.32,120.09,120.14,83284
FB,201612161035,120.32,120.34,120.11,120.32,79529
FB,201612161036,120.25,120.28,120.18,120.24,47920
FB,201612161037,120.24,120.28,120.21,120.23,44707
FB,201612161038,120.22,120.33,120.21,120.31,59745
FB,201612161039,120.31,120.43,120.31,120.36,60900
FB,201612161040,120.35,120.4,120.31,120.4,30763
FB,201612161041,120.4,120.41,120.28,120.35,33669
FB,201612161042,120.34,120.46,120.33,120.44,41783
FB,201612161043,120.44,120.48,120.39,120.46,46724
FB,201612161044,120.45,120.46,120.27,120.27,38994
FB,201612161045,120.29,120.37,120.29,120.31,20623
FB,201612161046,120.31,120.39,120.29,120.35,19505
FB,201612161047,120.36,120.5,120.36,120.5,32414
FB,201612161048,120.49,120.5,120.34,120.34,25716
FB,201612161049,120.32,120.32,120.27,120.28,21981
FB,201612161050,120.27,120.38,120.23,120.36,35066
FB,201612161051,120.35,120.38,120.32,120.34,22324
FB,201612161052,120.34,120.36,120.3,120.32,19120
FB,201612161053,120.32,120.33,120.28,120.32,16276
FB,201612161054,120.32,120.35,120.3,120.34,13460
FB,201612161055,120.35,120.4,120.25,120.29,50835
FB,201612161056,120.29,120.33,120.24,120.32,26459
FB,201612161057,120.31,120.39,120.29,120.33,16834
