<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
FCAU,201701090900,10.41,10.41,10.41,10.41,200
FCAU,201701090901,10.4,10.43,10.4,10.43,6160
FCAU,201701090902,10.43,10.52,10.42,10.52,11200
FCAU,201701090903,10.5,10.5,10.5,10.5,5200
FCAU,201701090904,10.54,10.54,10.54,10.54,100
FCAU,201701090905,10.55,10.56,10.55,10.55,6700
FCAU,201701090906,10.55,10.55,10.55,10.55,1000
FCAU,201701090907,10.55,10.56,10.55,10.56,1660
FCAU,201701090908,10.55,10.62,10.55,10.6,22380
FCAU,201701090909,10.57,10.59,10.57,10.59,1206
FCAU,201701090910,10.57,10.6,10.57,10.59,3773
FCAU,201701090911,10.61,10.61,10.61,10.61,100
FCAU,201701090912,10.6,10.6,10.54,10.54,1172
FCAU,201701090913,10.55,10.57,10.55,10.57,6100
FCAU,201701090914,10.55,10.55,10.54,10.54,12635
FCAU,201701090915,10.54,10.55,10.54,10.55,1165
FCAU,201701090916,10.57,10.57,10.57,10.57,700
FCAU,201701090917,10.6,10.6,10.6,10.6,1000
FCAU,201701090919,10.57,10.58,10.56,10.57,12500
FCAU,201701090920,10.57,10.59,10.57,10.59,17035
FCAU,201701090921,10.59,10.59,10.59,10.59,2700
FCAU,201701090922,10.6,10.6,10.6,10.6,800
FCAU,201701090923,10.59,10.59,10.58,10.58,727
FCAU,201701090924,10.57,10.57,10.57,10.57,500
FCAU,201701090925,10.57,10.57,10.57,10.57,500
FCAU,201701090926,10.56,10.57,10.56,10.57,3400
FCAU,201701090927,10.56,10.59,10.56,10.56,20900
FCAU,201701090928,10.57,10.58,10.57,10.58,6500
FCAU,201701090929,10.58,10.58,10.58,10.58,200
FCAU,201701090930,10.57,10.59,10.56,10.57,457762
FCAU,201701090931,10.56,10.58,10.56,10.56,86423
FCAU,201701090932,10.56,10.56,10.52,10.53,120714
FCAU,201701090933,10.53,10.55,10.52,10.54,73701
FCAU,201701090934,10.54,10.55,10.52,10.53,140229
FCAU,201701090935,10.53,10.53,10.5,10.5,99829
FCAU,201701090936,10.51,10.52,10.5,10.51,41568
FCAU,201701090937,10.51,10.51,10.48,10.5,95987
FCAU,201701090938,10.49,10.51,10.49,10.51,36880
FCAU,201701090939,10.51,10.52,10.5,10.51,30336
FCAU,201701090940,10.52,10.53,10.51,10.52,59797
FCAU,201701090941,10.52,10.55,10.51,10.53,38691
FCAU,201701090942,10.53,10.53,10.51,10.51,80396
FCAU,201701090943,10.52,10.53,10.51,10.52,38042
FCAU,201701090944,10.51,10.51,10.49,10.49,96156
FCAU,201701090945,10.48,10.48,10.46,10.47,16701
FCAU,201701090946,10.46,10.47,10.46,10.47,18148
FCAU,201701090947,10.47,10.47,10.46,10.47,23496
FCAU,201701090948,10.47,10.47,10.46,10.47,33936
FCAU,201701090949,10.46,10.46,10.45,10.46,15519
FCAU,201701090950,10.46,10.48,10.46,10.47,30790
FCAU,201701090951,10.47,10.48,10.47,10.48,27955
FCAU,201701090952,10.48,10.48,10.47,10.47,15842
FCAU,201701090953,10.47,10.47,10.46,10.47,14795
FCAU,201701090954,10.48,10.48,10.46,10.46,12688
FCAU,201701090955,10.46,10.47,10.46,10.47,7470
FCAU,201701090956,10.47,10.48,10.46,10.46,86568
FCAU,201701090957,10.47,10.48,10.46,10.47,34233
FCAU,201701090958,10.47,10.48,10.47,10.48,27633
FCAU,201701090959,10.48,10.5,10.47,10.49,28001
FCAU,201701091000,10.49,10.5,10.49,10.5,3040
FCAU,201701091001,10.49,10.51,10.48,10.48,59993
FCAU,201701091002,10.49,10.49,10.47,10.47,23395
FCAU,201701091003,10.47,10.49,10.47,10.48,25229
FCAU,201701091004,10.48,10.49,10.48,10.48,15050
FCAU,201701091005,10.48,10.48,10.47,10.47,15175
FCAU,201701091006,10.48,10.48,10.45,10.46,37786
FCAU,201701091007,10.46,10.46,10.44,10.45,50549
FCAU,201701091008,10.45,10.46,10.45,10.45,3000
FCAU,201701091009,10.45,10.45,10.44,10.45,56706
FCAU,201701091010,10.45,10.45,10.44,10.45,25700
FCAU,201701091011,10.44,10.45,10.42,10.42,29168
FCAU,201701091012,10.42,10.44,10.42,10.44,12928
FCAU,201701091013,10.44,10.44,10.43,10.43,8942
FCAU,201701091014,10.44,10.45,10.44,10.44,10035
FCAU,201701091015,10.44,10.44,10.43,10.44,6945
FCAU,201701091016,10.43,10.46,10.43,10.45,11751
FCAU,201701091017,10.46,10.47,10.46,10.47,13885
FCAU,201701091018,10.47,10.48,10.46,10.47,16550
FCAU,201701091019,10.47,10.48,10.47,10.47,1552
FCAU,201701091020,10.48,10.49,10.48,10.49,9500
FCAU,201701091021,10.49,10.49,10.49,10.49,13772
FCAU,201701091022,10.5,10.51,10.5,10.5,3800
FCAU,201701091023,10.5,10.52,10.5,10.52,51136
FCAU,201701091024,10.51,10.53,10.51,10.53,28373
FCAU,201701091025,10.52,10.53,10.52,10.52,76535
FCAU,201701091026,10.52,10.54,10.52,10.54,72192
FCAU,201701091027,10.54,10.57,10.54,10.56,103003
FCAU,201701091028,10.56,10.57,10.55,10.57,33796
FCAU,201701091029,10.57,10.58,10.56,10.58,52525
FCAU,201701091030,10.58,10.59,10.57,10.58,208860
FCAU,201701091031,10.58,10.59,10.58,10.58,34709
FCAU,201701091032,10.59,10.59,10.56,10.57,23167
FCAU,201701091033,10.57,10.59,10.56,10.59,32065
FCAU,201701091034,10.58,10.59,10.58,10.59,20742
FCAU,201701091035,10.58,10.59,10.56,10.57,72994
FCAU,201701091036,10.56,10.57,10.55,10.57,47094
FCAU,201701091037,10.57,10.58,10.57,10.57,14404
FCAU,201701091038,10.58,10.58,10.56,10.57,28204
FCAU,201701091039,10.57,10.58,10.56,10.58,7970
FCAU,201701091040,10.58,10.58,10.57,10.58,3640
FCAU,201701091041,10.57,10.58,10.57,10.57,2710
FCAU,201701091042,10.57,10.57,10.54,10.54,30495
FCAU,201701091043,10.54,10.56,10.53,10.56,131344
FCAU,201701091044,10.56,10.57,10.55,10.55,30893
FCAU,201701091045,10.56,10.56,10.54,10.56,21082
FCAU,201701091046,10.56,10.56,10.54,10.55,15976
FCAU,201701091047,10.55,10.55,10.52,10.52,45580
FCAU,201701091048,10.53,10.53,10.52,10.52,1884
FCAU,201701091049,10.52,10.54,10.52,10.54,45800
FCAU,201701091050,10.54,10.56,10.54,10.55,26775
FCAU,201701091051,10.54,10.57,10.54,10.57,36334
FCAU,201701091052,10.57,10.58,10.56,10.58,65279
FCAU,201701091053,10.57,10.58,10.56,10.56,15025
FCAU,201701091054,10.56,10.57,10.55,10.56,18862
FCAU,201701091055,10.57,10.57,10.56,10.56,3398
FCAU,201701091056,10.56,10.57,10.56,10.56,2430
FCAU,201701091057,10.56,10.57,10.55,10.57,25728
FCAU,201701091058,10.56,10.57,10.56,10.57,3300
FCAU,201701091059,10.57,10.57,10.55,10.55,10188
FCAU,201701091100,10.55,10.55,10.54,10.55,11805
FCAU,201701091101,10.55,10.58,10.55,10.58,17931
FCAU,201701091102,10.57,10.57,10.56,10.57,19722
FCAU,201701091103,10.57,10.58,10.56,10.58,28190
FCAU,201701091104,10.57,10.58,10.57,10.58,12172
FCAU,201701091105,10.58,10.58,10.57,10.58,36919
FCAU,201701091106,10.59,10.59,10.58,10.59,16500
FCAU,201701091107,10.59,10.59,10.58,10.59,3901
FCAU,201701091108,10.59,10.6,10.58,10.6,37887
FCAU,201701091109,10.59,10.59,10.57,10.58,274432
FCAU,201701091110,10.57,10.6,10.57,10.59,22714
FCAU,201701091111,10.59,10.61,10.59,10.59,20803
FCAU,201701091112,10.59,10.6,10.59,10.59,8563
FCAU,201701091113,10.6,10.61,10.59,10.61,94611
FCAU,201701091114,10.61,10.63,10.61,10.62,14968
FCAU,201701091115,10.62,10.63,10.61,10.61,42686
FCAU,201701091116,10.62,10.62,10.62,10.62,1000
FCAU,201701091117,10.62,10.63,10.61,10.63,10679
FCAU,201701091118,10.63,10.64,10.62,10.64,45627
FCAU,201701091119,10.63,10.64,10.63,10.64,2482
FCAU,201701091120,10.64,10.65,10.63,10.64,15969
FCAU,201701091121,10.65,10.65,10.63,10.63,49295
FCAU,201701091122,10.63,10.63,10.63,10.63,7000
FCAU,201701091123,10.63,10.65,10.63,10.65,26059
FCAU,201701091124,10.64,10.65,10.64,10.65,9657
FCAU,201701091125,10.66,10.66,10.65,10.66,4078
FCAU,201701091126,10.66,10.66,10.64,10.65,34773
FCAU,201701091127,10.65,10.65,10.64,10.65,25631
FCAU,201701091128,10.65,10.66,10.65,10.65,67807
FCAU,201701091129,10.65,10.67,10.65,10.66,16680
FCAU,201701091130,10.66,10.66,10.65,10.65,8163
FCAU,201701091131,10.65,10.66,10.65,10.65,66887
FCAU,201701091132,10.65,10.65,10.65,10.65,32508
FCAU,201701091133,10.65,10.66,10.65,10.65,6944
FCAU,201701091134,10.65,10.65,10.63,10.63,39683
FCAU,201701091135,10.63,10.63,10.61,10.61,15972
FCAU,201701091136,10.61,10.61,10.6,10.6,12692
FCAU,201701091137,10.6,10.61,10.6,10.6,5320
FCAU,201701091138,10.6,10.61,10.6,10.6,759
FCAU,201701091139,10.6,10.61,10.6,10.6,3308
FCAU,201701091140,10.6,10.6,10.6,10.6,3011
FCAU,201701091141,10.6,10.6,10.6,10.6,1900
FCAU,201701091142,10.6,10.6,10.59,10.59,17418
FCAU,201701091143,10.59,10.6,10.58,10.59,52857
FCAU,201701091144,10.59,10.6,10.59,10.59,9805
FCAU,201701091145,10.58,10.59,10.58,10.58,2730
FCAU,201701091146,10.58,10.58,10.57,10.57,7633
FCAU,201701091147,10.57,10.59,10.57,10.58,22509
FCAU,201701091148,10.59,10.59,10.58,10.59,2645
FCAU,201701091149,10.59,10.59,10.58,10.58,2700
FCAU,201701091150,10.58,10.59,10.58,10.58,5566
FCAU,201701091151,10.58,10.59,10.58,10.58,10529
FCAU,201701091152,10.59,10.6,10.59,10.59,3000
FCAU,201701091153,10.6,10.6,10.57,10.57,90670
FCAU,201701091154,10.58,10.59,10.58,10.59,1250
FCAU,201701091155,10.58,10.58,10.58,10.58,300
FCAU,201701091156,10.58,10.59,10.58,10.59,625
FCAU,201701091157,10.58,10.58,10.56,10.56,18958
FCAU,201701091158,10.56,10.57,10.56,10.56,8407
FCAU,201701091159,10.56,10.56,10.56,10.56,4100
FCAU,201701091200,10.56,10.59,10.56,10.59,32077
FCAU,201701091201,10.58,10.58,10.58,10.58,700
FCAU,201701091202,10.58,10.59,10.58,10.59,3800
FCAU,201701091203,10.58,10.59,10.58,10.58,3600
FCAU,201701091204,10.58,10.59,10.58,10.58,7240
FCAU,201701091205,10.58,10.6,10.58,10.6,6128
FCAU,201701091206,10.6,10.61,10.59,10.6,12017
FCAU,201701091207,10.61,10.61,10.6,10.6,1325
FCAU,201701091208,10.6,10.6,10.59,10.59,92808
FCAU,201701091209,10.59,10.6,10.59,10.59,10099
FCAU,201701091210,10.6,10.6,10.59,10.59,1350
FCAU,201701091211,10.59,10.6,10.59,10.59,16705
FCAU,201701091212,10.59,10.6,10.59,10.59,2276
FCAU,201701091213,10.59,10.59,10.59,10.59,4100
