<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
FOXA,201701260928,30.32,30.37,30.32,30.37,600
FOXA,201701260929,30.46,30.46,30.46,30.46,467
FOXA,201701260930,30.43,30.43,30.31,30.41,321816
FOXA,201701260931,30.43,30.57,30.43,30.48,45838
FOXA,201701260932,30.48,30.48,30.41,30.41,9700
FOXA,201701260933,30.51,30.57,30.5,30.55,10100
FOXA,201701260934,30.5,30.55,30.48,30.51,15070
FOXA,201701260935,30.52,30.56,30.49,30.5,29398
FOXA,201701260936,30.5,30.56,30.5,30.56,37896
FOXA,201701260937,30.56,30.68,30.56,30.68,48666
FOXA,201701260938,30.68,30.81,30.67,30.81,114103
FOXA,201701260939,30.8,30.92,30.79,30.91,109414
FOXA,201701260940,30.9,30.92,30.83,30.91,98532
FOXA,201701260941,30.91,31.05,30.91,31.03,157533
FOXA,201701260942,31.03,31.13,31.03,31.09,156655
FOXA,201701260943,31.09,31.15,31.09,31.15,79815
FOXA,201701260944,31.15,31.19,31.09,31.09,124379
FOXA,201701260945,31.08,31.08,30.93,30.93,53843
FOXA,201701260946,30.92,30.95,30.92,30.95,22937
FOXA,201701260947,30.95,30.99,30.95,30.95,34159
FOXA,201701260948,30.95,30.99,30.93,30.99,132501
FOXA,201701260949,30.98,31.08,30.98,31.08,88938
FOXA,201701260950,31.08,31.1,31.07,31.09,46314
FOXA,201701260951,31.08,31.19,31.07,31.19,60272
FOXA,201701260952,31.18,31.23,31.18,31.23,59913
FOXA,201701260953,31.23,31.25,31.22,31.23,64120
FOXA,201701260954,31.23,31.24,31.22,31.22,57724
FOXA,201701260955,31.22,31.26,31.18,31.2,63611
FOXA,201701260956,31.21,31.32,31.2,31.29,101775
FOXA,201701260957,31.29,31.31,31.25,31.31,210366
FOXA,201701260958,31.31,31.43,31.3,31.43,160833
FOXA,201701260959,31.42,31.5,31.35,31.47,199779
FOXA,201701261000,31.5,31.5,31.4,31.42,115169
FOXA,201701261001,31.42,31.44,31.36,31.43,63677
FOXA,201701261002,31.43,31.46,31.42,31.45,38054
FOXA,201701261003,31.45,31.49,31.45,31.49,41181
FOXA,201701261004,31.49,31.55,31.48,31.53,63963
FOXA,201701261005,31.53,31.61,31.51,31.52,126140
FOXA,201701261006,31.52,31.52,31.36,31.37,106696
FOXA,201701261007,31.37,31.41,31.33,31.41,137733
FOXA,201701261008,31.4,31.42,31.39,31.41,20673
FOXA,201701261009,31.41,31.44,31.37,31.4,110785
FOXA,201701261010,31.4,31.47,31.4,31.46,45234
FOXA,201701261011,31.46,31.54,31.45,31.53,33796
FOXA,201701261012,31.53,31.53,31.48,31.48,24102
FOXA,201701261013,31.48,31.48,31.46,31.46,32052
FOXA,201701261014,31.46,31.52,31.46,31.52,29659
FOXA,201701261015,31.52,31.52,31.46,31.46,38373
FOXA,201701261016,31.46,31.46,31.36,31.37,103676
FOXA,201701261017,31.37,31.41,31.35,31.35,55768
FOXA,201701261018,31.35,31.39,31.35,31.38,72455
FOXA,201701261019,31.38,31.39,31.38,31.38,32335
FOXA,201701261020,31.38,31.4,31.38,31.39,147252
FOXA,201701261021,31.39,31.39,31.35,31.36,75297
FOXA,201701261022,31.35,31.36,31.31,31.31,46968
FOXA,201701261023,31.32,31.34,31.31,31.33,48134
FOXA,201701261024,31.33,31.33,31.3,31.3,29489
FOXA,201701261025,31.3,31.32,31.29,31.31,37040
FOXA,201701261026,31.31,31.33,31.3,31.32,52240
FOXA,201701261027,31.32,31.32,31.3,31.3,32802
FOXA,201701261028,31.3,31.32,31.3,31.32,20554
FOXA,201701261029,31.32,31.34,31.32,31.33,49875
FOXA,201701261030,31.33,31.34,31.32,31.32,51269
FOXA,201701261031,31.33,31.33,31.31,31.31,12396
FOXA,201701261032,31.31,31.32,31.29,31.29,29459
FOXA,201701261033,31.29,31.32,31.26,31.32,138132
FOXA,201701261034,31.31,31.33,31.31,31.32,27966
FOXA,201701261035,31.32,31.32,31.31,31.32,22890
FOXA,201701261036,31.32,31.32,31.3,31.3,14500
FOXA,201701261037,31.3,31.31,31.28,31.28,19788
FOXA,201701261038,31.28,31.28,31.25,31.25,10378
FOXA,201701261039,31.26,31.27,31.24,31.24,34532
FOXA,201701261040,31.24,31.25,31.23,31.24,34725
FOXA,201701261041,31.24,31.26,31.22,31.25,21184
FOXA,201701261042,31.25,31.25,31.23,31.23,10485
FOXA,201701261043,31.24,31.26,31.23,31.26,13312
FOXA,201701261044,31.26,31.26,31.17,31.17,38941
FOXA,201701261045,31.17,31.18,31.15,31.15,59461
FOXA,201701261046,31.15,31.16,31.12,31.12,21882
FOXA,201701261047,31.12,31.17,31.12,31.17,52462
FOXA,201701261048,31.16,31.18,31.15,31.18,18361
FOXA,201701261049,31.18,31.19,31.17,31.19,24182
FOXA,201701261050,31.19,31.2,31.19,31.19,13500
FOXA,201701261051,31.2,31.2,31.16,31.2,243754
FOXA,201701261052,31.21,31.27,31.2,31.26,54545
FOXA,201701261053,31.26,31.27,31.25,31.26,15700
FOXA,201701261054,31.27,31.29,31.26,31.27,33809
FOXA,201701261055,31.27,31.3,31.27,31.29,70944
FOXA,201701261056,31.29,31.31,31.27,31.3,83337
FOXA,201701261057,31.3,31.31,31.29,31.29,52621
FOXA,201701261058,31.29,31.3,31.28,31.28,21673
FOXA,201701261059,31.28,31.29,31.24,31.24,32438
FOXA,201701261100,31.24,31.26,31.23,31.24,39491
FOXA,201701261101,31.24,31.25,31.23,31.23,9600
FOXA,201701261102,31.22,31.23,31.22,31.22,3840
FOXA,201701261103,31.22,31.25,31.22,31.24,47644
FOXA,201701261104,31.25,31.3,31.24,31.3,123041
FOXA,201701261105,31.3,31.31,31.29,31.29,17234
FOXA,201701261106,31.3,31.3,31.25,31.25,27144
FOXA,201701261107,31.25,31.3,31.25,31.29,28525
FOXA,201701261108,31.29,31.3,31.28,31.3,20494
FOXA,201701261109,31.3,31.3,31.29,31.29,53305
FOXA,201701261110,31.3,31.31,31.29,31.3,38384
FOXA,201701261111,31.31,31.31,31.3,31.3,10100
FOXA,201701261112,31.31,31.32,31.29,31.32,65584
FOXA,201701261113,31.32,31.33,31.31,31.33,18795
FOXA,201701261114,31.33,31.33,31.31,31.32,17637
FOXA,201701261115,31.32,31.32,31.29,31.3,27360
FOXA,201701261116,31.29,31.3,31.29,31.29,2135
FOXA,201701261117,31.29,31.3,31.27,31.29,14833
FOXA,201701261118,31.27,31.27,31.25,31.26,21427
FOXA,201701261119,31.26,31.27,31.26,31.26,3584
FOXA,201701261120,31.27,31.29,31.26,31.29,26074
FOXA,201701261121,31.29,31.29,31.28,31.29,2547
FOXA,201701261122,31.29,31.29,31.28,31.28,3650
FOXA,201701261123,31.28,31.29,31.25,31.25,28142
FOXA,201701261124,31.25,31.25,31.24,31.24,11900
FOXA,201701261125,31.23,31.23,31.21,31.22,21759
FOXA,201701261126,31.23,31.23,31.22,31.22,6726
FOXA,201701261127,31.22,31.23,31.22,31.22,3475
FOXA,201701261128,31.22,31.23,31.2,31.2,14056
FOXA,201701261129,31.2,31.21,31.2,31.2,2140
FOXA,201701261130,31.2,31.21,31.17,31.17,15326
FOXA,201701261131,31.16,31.17,31.14,31.14,9236
FOXA,201701261132,31.15,31.17,31.14,31.16,38041
FOXA,201701261133,31.16,31.2,31.16,31.2,15695
FOXA,201701261134,31.19,31.2,31.18,31.18,14660
