<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
F,201701090912,12.85,12.85,12.84,12.84,200
F,201701090913,12.84,12.84,12.83,12.83,2175
F,201701090915,12.82,12.82,12.82,12.82,197
F,201701090916,12.84,12.84,12.84,12.84,1992
F,201701090918,12.84,12.85,12.84,12.85,4264
F,201701090919,12.86,12.86,12.86,12.86,1650
F,201701090920,12.86,12.86,12.86,12.86,100
F,201701090922,12.86,12.86,12.85,12.85,1257
F,201701090926,12.85,12.85,12.85,12.85,5500
F,201701090927,12.85,12.86,12.85,12.85,9685
F,201701090929,12.8,12.8,12.8,12.8,500
F,201701090930,12.79,12.81,12.78,12.78,679915
F,201701090931,12.78,12.81,12.77,12.79,209101
F,201701090932,12.79,12.82,12.79,12.82,85828
F,201701090933,12.82,12.82,12.79,12.81,64171
F,201701090934,12.81,12.81,12.78,12.79,106035
F,201701090935,12.8,12.8,12.78,12.78,131326
F,201701090936,12.79,12.79,12.78,12.78,11074
F,201701090937,12.79,12.79,12.77,12.77,42711
F,201701090938,12.77,12.79,12.77,12.78,76516
F,201701090939,12.78,12.79,12.78,12.79,21137
F,201701090940,12.78,12.8,12.77,12.8,350549
F,201701090941,12.79,12.81,12.79,12.81,146914
F,201701090942,12.82,12.82,12.79,12.8,99258
F,201701090943,12.8,12.8,12.79,12.79,37344
F,201701090944,12.79,12.8,12.77,12.77,48166
F,201701090945,12.77,12.78,12.76,12.77,76572
F,201701090946,12.77,12.77,12.76,12.76,138154
F,201701090947,12.76,12.77,12.75,12.76,111324
F,201701090948,12.76,12.78,12.76,12.77,80382
F,201701090949,12.77,12.79,12.77,12.77,109597
F,201701090950,12.77,12.78,12.77,12.78,41494
F,201701090951,12.78,12.78,12.77,12.77,28444
F,201701090952,12.77,12.78,12.77,12.78,91515
F,201701090953,12.78,12.78,12.77,12.77,38756
F,201701090954,12.77,12.77,12.76,12.76,115656
F,201701090955,12.75,12.76,12.75,12.76,20594
F,201701090956,12.73,12.75,12.73,12.74,207211
F,201701090957,12.73,12.74,12.73,12.73,46023
F,201701090958,12.73,12.75,12.73,12.75,87357
F,201701090959,12.74,12.75,12.73,12.73,104072
F,201701091000,12.74,12.75,12.73,12.75,55138
F,201701091001,12.74,12.75,12.73,12.73,69994
F,201701091002,12.73,12.74,12.72,12.73,54610
F,201701091003,12.72,12.73,12.71,12.71,122417
F,201701091004,12.71,12.72,12.71,12.71,55050
F,201701091005,12.72,12.72,12.71,12.71,31117
F,201701091006,12.71,12.72,12.71,12.71,58078
F,201701091007,12.72,12.73,12.71,12.72,84991
F,201701091008,12.72,12.74,12.72,12.72,96467
F,201701091009,12.74,12.75,12.73,12.74,65219
F,201701091010,12.74,12.75,12.74,12.75,39393
F,201701091011,12.74,12.74,12.73,12.73,32429
F,201701091012,12.73,12.75,12.73,12.74,57779
F,201701091013,12.74,12.75,12.74,12.75,7660
F,201701091014,12.75,12.75,12.74,12.74,10608
F,201701091015,12.74,12.75,12.74,12.74,63101
F,201701091016,12.74,12.75,12.74,12.75,80639
F,201701091017,12.75,12.75,12.74,12.74,41548
F,201701091018,12.74,12.75,12.74,12.74,42471
F,201701091019,12.74,12.75,12.74,12.75,41381
F,201701091020,12.74,12.76,12.74,12.75,158789
F,201701091021,12.76,12.77,12.76,12.77,77035
F,201701091022,12.79,12.8,12.79,12.8,13549
F,201701091023,12.79,12.81,12.79,12.8,165984
F,201701091024,12.8,12.81,12.79,12.8,79591
F,201701091025,12.79,12.8,12.79,12.79,33713
F,201701091026,12.79,12.8,12.79,12.79,42000
F,201701091027,12.79,12.81,12.79,12.8,69593
F,201701091028,12.8,12.82,12.8,12.81,56533
F,201701091029,12.81,12.82,12.81,12.81,42021
F,201701091030,12.81,12.83,12.81,12.82,82618
F,201701091031,12.83,12.83,12.82,12.83,24012
F,201701091032,12.82,12.83,12.82,12.82,28066
F,201701091033,12.83,12.85,12.82,12.83,172924
F,201701091034,12.84,12.85,12.84,12.85,42099
F,201701091035,12.84,12.85,12.82,12.82,172149
