<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
GM,201701250901,37.6,37.6,37.6,37.6,199
GM,201701250902,37.61,37.61,37.61,37.61,225
GM,201701250906,37.6,37.6,37.6,37.6,801
GM,201701250907,37.6,37.6,37.6,37.6,390
GM,201701250914,37.6,37.6,37.6,37.6,1900
GM,201701250915,37.6,37.61,37.6,37.61,991
GM,201701250916,37.65,37.65,37.65,37.65,100
GM,201701250918,37.7,37.7,37.7,37.7,600
GM,201701250920,37.65,37.65,37.65,37.65,900
GM,201701250921,37.69,37.69,37.69,37.69,100
GM,201701250925,37.65,37.65,37.65,37.65,500
GM,201701250926,37.65,37.67,37.65,37.65,3707
GM,201701250927,37.63,37.63,37.6,37.6,2667
GM,201701250928,37.66,37.67,37.66,37.67,1047
GM,201701250929,37.67,37.67,37.67,37.67,115
GM,201701250930,37.71,37.74,37.6,37.69,369303
GM,201701250931,37.69,37.88,37.67,37.79,118506
GM,201701250932,37.81,37.95,37.81,37.95,89119
GM,201701250933,37.94,38,37.1,37.99,228132
GM,201701250934,37.99,38.02,37.91,37.93,180966
GM,201701250935,37.93,37.96,37.91,37.95,151473
GM,201701250936,37.96,38.03,37.1,38.02,157592
GM,201701250937,38.03,38.03,37.93,37.99,97990
GM,201701250938,38,38.02,37.1,37.96,148859
GM,201701250939,37.97,38,37.9,37.97,76263
GM,201701250940,38,38,37.1,37.98,59433
GM,201701250941,37.98,37.98,37.93,37.93,41513
GM,201701250942,37.92,37.94,37.85,37.87,152002
GM,201701250943,37.86,37.93,37.84,37.9,52035
GM,201701250944,37.9,37.95,37.86,37.87,53018
GM,201701250945,37.87,37.91,37.87,37.89,27711
GM,201701250946,37.88,37.92,37.87,37.92,47448
GM,201701250947,37.92,37.94,37.91,37.94,62812
GM,201701250948,37.94,37.96,37.93,37.95,56806
GM,201701250949,37.94,37.99,37.94,37.98,62143
GM,201701250950,37.98,38,37.1,37.99,112073
GM,201701250951,38,38.01,37.1,38,63819
GM,201701250952,37.99,38.01,37.97,38.01,119184
GM,201701250953,38,38.01,37.1,38,36587
GM,201701250954,38,38.03,38,38,282655
GM,201701250955,38.01,38.1,38,38.1,252290
GM,201701250956,38.1,38.15,38.09,38.12,114151
GM,201701250957,38.13,38.16,38.11,38.12,62160
GM,201701250958,38.13,38.15,38.12,38.15,47785
GM,201701250959,38.14,38.21,38.12,38.19,330590
GM,201701251000,38.19,38.24,38.19,38.21,209266
GM,201701251001,38.21,38.33,38.21,38.31,279780
GM,201701251002,38.31,38.32,38.24,38.26,87180
GM,201701251003,38.25,38.26,38.24,38.24,24157
GM,201701251004,38.24,38.32,38.21,38.21,226141
GM,201701251005,38.21,38.23,38.18,38.2,90967
GM,201701251006,38.21,38.25,38.2,38.2,22820
GM,201701251007,38.25,38.25,38.22,38.22,44522
GM,201701251008,38.22,38.22,38.18,38.21,173882
GM,201701251009,38.21,38.26,38.21,38.25,84558
GM,201701251010,38.25,38.32,38.25,38.31,83399
GM,201701251011,38.31,38.37,38.3,38.34,150686
GM,201701251012,38.35,38.37,38.34,38.34,70770
GM,201701251013,38.34,38.36,38.34,38.34,47300
GM,201701251014,38.34,38.35,38.34,38.34,21743
GM,201701251015,38.34,38.36,38.33,38.34,93841
GM,201701251016,38.34,38.35,38.27,38.27,88031
GM,201701251017,38.27,38.27,38.23,38.27,32156
GM,201701251018,38.26,38.29,38.26,38.28,12014
GM,201701251019,38.28,38.28,38.26,38.26,17773
GM,201701251020,38.26,38.27,38.24,38.25,44163
GM,201701251021,38.25,38.28,38.25,38.28,26590
GM,201701251022,38.28,38.3,38.28,38.3,18426
GM,201701251023,38.29,38.33,38.29,38.31,29199
GM,201701251024,38.3,38.32,38.3,38.32,8399
GM,201701251025,38.32,38.33,38.31,38.32,17365
GM,201701251026,38.31,38.33,38.3,38.33,20185
GM,201701251027,38.33,38.34,38.31,38.31,24214
GM,201701251028,38.3,38.3,38.24,38.25,51221
GM,201701251029,38.25,38.25,38.21,38.22,31554
GM,201701251030,38.22,38.23,38.15,38.23,53451
GM,201701251031,38.18,38.18,38.16,38.16,19947
GM,201701251032,38.17,38.18,38.16,38.17,23522
GM,201701251033,38.17,38.18,38.16,38.17,17499
GM,201701251034,38.18,38.18,38.12,38.12,37383
GM,201701251035,38.12,38.15,38.12,38.15,38406
GM,201701251036,38.15,38.16,38.12,38.13,60208
GM,201701251037,38.13,38.15,38.12,38.15,42850
GM,201701251038,38.14,38.17,38.14,38.17,24165
GM,201701251039,38.16,38.17,38.15,38.16,17100
GM,201701251040,38.17,38.2,38.16,38.17,57229
GM,201701251041,38.17,38.19,38.16,38.16,28733
GM,201701251042,38.16,38.18,38.15,38.17,14840
GM,201701251043,38.18,38.21,38.17,38.2,71658
GM,201701251044,38.21,38.25,38.19,38.23,36405
GM,201701251045,38.23,38.25,38.2,38.2,25695
GM,201701251046,38.2,38.23,38.2,38.23,33686
GM,201701251047,38.23,38.24,38.19,38.19,24222
GM,201701251048,38.18,38.2,38.18,38.19,21905
GM,201701251049,38.19,38.22,38.19,38.21,25322
GM,201701251050,38.21,38.22,38.21,38.21,19909
GM,201701251051,38.21,38.26,38.21,38.26,86884
GM,201701251052,38.25,38.25,38.24,38.25,18190
GM,201701251053,38.24,38.25,38.24,38.25,18198
GM,201701251054,38.25,38.25,38.22,38.24,85943
GM,201701251055,38.24,38.24,38.2,38.23,36164
GM,201701251056,38.22,38.23,38.21,38.21,12488
GM,201701251057,38.21,38.23,38.21,38.23,28706
GM,201701251058,38.23,38.26,38.23,38.24,82946
GM,201701251059,38.24,38.26,38.24,38.25,30291
GM,201701251100,38.25,38.26,38.2,38.21,34999
GM,201701251101,38.21,38.22,38.18,38.19,28609
GM,201701251102,38.2,38.21,38.18,38.2,25986
GM,201701251103,38.2,38.22,38.19,38.2,42121
GM,201701251104,38.19,38.23,38.19,38.23,9739
GM,201701251105,38.23,38.24,38.22,38.23,51629
GM,201701251106,38.22,38.25,38.22,38.22,43683
GM,201701251107,38.22,38.23,38.2,38.22,16907
GM,201701251108,38.2,38.21,38.17,38.18,20007
GM,201701251109,38.19,38.2,38.18,38.19,8643
GM,201701251110,38.2,38.2,38.19,38.19,28501
GM,201701251111,38.19,38.21,38.18,38.21,28367
GM,201701251112,38.21,38.21,38.2,38.21,17030
GM,201701251113,38.2,38.2,38.18,38.18,43236
GM,201701251114,38.19,38.21,38.18,38.21,24676
GM,201701251115,38.2,38.22,38.2,38.22,27063
GM,201701251116,38.22,38.23,38.21,38.21,23082
GM,201701251117,38.21,38.21,38.19,38.2,22135
GM,201701251118,38.2,38.24,38.2,38.23,19243
GM,201701251119,38.22,38.23,38.21,38.21,33845
GM,201701251120,38.21,38.22,38.19,38.19,26996
GM,201701251121,38.19,38.19,38.16,38.16,16469
GM,201701251122,38.16,38.17,38.13,38.13,46570
GM,201701251123,38.14,38.19,38.13,38.17,25899
GM,201701251124,38.18,38.18,38.17,38.18,2754
GM,201701251125,38.17,38.17,38.16,38.16,38657
GM,201701251126,38.17,38.2,38.16,38.19,31071
GM,201701251127,38.19,38.2,38.19,38.2,9280
GM,201701251128,38.19,38.2,38.18,38.19,83098
GM,201701251129,38.2,38.2,38.19,38.2,5622
GM,201701251130,38.2,38.2,38.16,38.16,42984
GM,201701251131,38.16,38.17,38.16,38.16,5931
GM,201701251132,38.16,38.16,38.1,38.13,46274
GM,201701251133,38.12,38.12,38.1,38.11,34930
GM,201701251134,38.11,38.14,38.11,38.11,25652
GM,201701251135,38.13,38.13,38.11,38.12,34809
GM,201701251136,38.12,38.13,38.12,38.12,6550
GM,201701251137,38.12,38.13,38.11,38.11,18216
GM,201701251138,38.11,38.11,38.08,38.11,42066
GM,201701251139,38.1,38.1,38.05,38.06,59145
GM,201701251140,38.06,38.09,38.03,38.08,37478
GM,201701251141,38.08,38.08,38.06,38.07,17804
GM,201701251142,38.06,38.07,38.03,38.03,15126
GM,201701251143,38.03,38.04,38.02,38.04,26595
GM,201701251144,38.03,38.04,38.02,38.02,28936
GM,201701251145,38.02,38.02,38,38.01,42377
GM,201701251146,38.01,38.03,38.01,38.02,26535
GM,201701251147,38.02,38.03,38.02,38.02,9623
GM,201701251148,38.02,38.05,38.02,38.04,23621
GM,201701251149,38.04,38.06,38.03,38.03,28570
GM,201701251150,38.03,38.04,38.03,38.03,4065
GM,201701251151,38.03,38.04,38.01,38.01,24717
GM,201701251152,38.01,38.02,37.94,37.95,102361
GM,201701251153,37.94,37.99,37.94,37.97,57629
GM,201701251154,37.98,37.99,37.97,37.97,16431
GM,201701251155,37.97,38,37.97,38,13463
GM,201701251156,38,38.01,37.98,37.98,27656
GM,201701251157,37.98,38,37.98,37.99,22647
GM,201701251158,37.99,38.01,37.98,38,18177
GM,201701251159,37.99,38.01,37.1,38,15324
GM,201701251200,38,38.01,37.1,37.99,41582
GM,201701251201,37.99,38,37.1,38,6848
GM,201701251202,37.99,38,37.99,38,8597
GM,201701251203,38,38.01,37.99,38,18285
GM,201701251204,38,38.01,37.98,37.99,49701
GM,201701251205,37.99,37.99,37.96,37.98,31891
GM,201701251206,37.99,37.99,37.98,37.98,14629
GM,201701251207,37.98,38,37.97,37.98,27137
