<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
INTC,201702080904,36.4,36.4,36.4,36.4,499
INTC,201702080909,36.4,36.4,36.4,36.4,500
INTC,201702080928,36.33,36.33,36.33,36.33,1376
INTC,201702080930,36.34,36.34,36.25,36.27,319746
INTC,201702080931,36.29,36.33,36.28,36.31,124028
INTC,201702080932,36.32,36.32,36.29,36.31,42510
INTC,201702080933,36.32,36.33,36.26,36.31,52239
INTC,201702080934,36.28,36.32,36.28,36.29,20955
INTC,201702080935,36.29,36.29,36.21,36.23,96332
INTC,201702080936,36.24,36.26,36.23,36.25,122481
INTC,201702080937,36.25,36.27,36.24,36.26,33221
INTC,201702080938,36.27,36.29,36.24,36.27,35027
INTC,201702080939,36.27,36.27,36.24,36.24,35466
INTC,201702080940,36.24,36.27,36.24,36.26,28281
INTC,201702080941,36.26,36.27,36.24,36.25,62770
INTC,201702080942,36.25,36.26,36.24,36.25,43054
INTC,201702080943,36.24,36.26,36.24,36.26,31917
INTC,201702080944,36.26,36.27,36.26,36.26,10862
INTC,201702080945,36.25,36.26,36.24,36.24,80681
INTC,201702080946,36.25,36.26,36.23,36.26,117547
INTC,201702080947,36.25,36.26,36.25,36.25,77873
INTC,201702080948,36.25,36.25,36.22,36.22,64873
INTC,201702080949,36.22,36.22,36.17,36.17,120718
INTC,201702080950,36.18,36.18,36.16,36.16,21020
INTC,201702080951,36.17,36.21,36.16,36.2,61243
INTC,201702080952,36.2,36.23,36.18,36.21,49695
INTC,201702080953,36.21,36.22,36.2,36.21,32317
INTC,201702080954,36.22,36.24,36.21,36.21,21028
INTC,201702080955,36.22,36.23,36.2,36.2,38047
INTC,201702080956,36.2,36.21,36.19,36.2,20055
INTC,201702080957,36.21,36.22,36.19,36.22,61063
INTC,201702080958,36.22,36.23,36.21,36.21,112495
INTC,201702080959,36.22,36.22,36.19,36.2,72023
INTC,201702081000,36.2,36.21,36.19,36.2,39345
INTC,201702081001,36.2,36.21,36.17,36.17,122026
INTC,201702081002,36.18,36.18,36.14,36.14,76431
INTC,201702081003,36.14,36.34,36.14,36.16,105956
INTC,201702081004,36.16,36.2,36.16,36.2,67590
INTC,201702081005,36.2,36.22,36.19,36.19,84020
INTC,201702081006,36.21,36.22,36.2,36.2,26765
INTC,201702081007,36.2,36.21,36.19,36.21,50550
INTC,201702081008,36.2,36.22,36.2,36.21,16423
INTC,201702081009,36.21,36.22,36.2,36.21,32519
INTC,201702081010,36.21,36.22,36.2,36.21,33526
INTC,201702081011,36.22,36.25,36.2,36.24,329355
INTC,201702081012,36.25,36.29,36.25,36.28,65627
INTC,201702081013,36.28,36.29,36.26,36.28,62356
INTC,201702081014,36.27,36.29,36.27,36.28,43250
INTC,201702081015,36.28,36.29,36.27,36.27,34583
INTC,201702081016,36.27,36.27,36.25,36.26,115387
INTC,201702081017,36.26,36.26,36.25,36.25,24861
INTC,201702081018,36.25,36.26,36.25,36.25,23117
INTC,201702081019,36.25,36.26,36.25,36.26,107640
INTC,201702081020,36.26,36.26,36.25,36.25,32604
INTC,201702081021,36.25,36.26,36.25,36.25,29647
INTC,201702081022,36.25,36.26,36.25,36.25,17394
INTC,201702081023,36.25,36.3,36.25,36.29,49256
INTC,201702081024,36.29,36.31,36.29,36.29,57281
INTC,201702081025,36.29,36.31,36.29,36.3,41937
INTC,201702081026,36.3,36.3,36.28,36.29,43885
INTC,201702081027,36.29,36.3,36.28,36.29,57672
INTC,201702081028,36.29,36.3,36.29,36.29,6272
INTC,201702081029,36.29,36.3,36.29,36.3,26331
INTC,201702081030,36.3,36.31,36.3,36.3,20200
INTC,201702081031,36.3,36.31,36.3,36.3,40184
INTC,201702081032,36.3,36.31,36.29,36.3,38904
INTC,201702081033,36.3,36.3,36.29,36.29,66795
INTC,201702081034,36.29,36.3,36.29,36.3,45771
INTC,201702081035,36.31,36.32,36.28,36.29,56011
INTC,201702081036,36.29,36.31,36.29,36.3,21198
INTC,201702081037,36.3,36.31,36.3,36.3,23467
INTC,201702081038,36.3,36.34,36.3,36.33,40915
INTC,201702081039,36.33,36.33,36.33,36.33,4525
INTC,201702081040,36.32,36.33,36.32,36.32,20545
INTC,201702081041,36.32,36.34,36.32,36.33,31577
INTC,201702081042,36.33,36.37,36.33,36.37,78010
INTC,201702081043,36.38,36.4,36.38,36.39,31725
INTC,201702081044,36.39,36.42,36.39,36.42,53233
INTC,201702081045,36.41,36.45,36.41,36.45,90409
INTC,201702081046,36.45,36.47,36.45,36.47,37967
INTC,201702081047,36.46,36.49,36.46,36.48,84482
INTC,201702081048,36.47,36.5,36.47,36.49,67379
INTC,201702081049,36.49,36.49,36.45,36.46,90267
INTC,201702081050,36.46,36.46,36.44,36.44,18046
INTC,201702081051,36.44,36.44,36.44,36.44,3500
INTC,201702081052,36.42,36.43,36.41,36.41,30053
INTC,201702081053,36.41,36.42,36.39,36.41,42036
INTC,201702081054,36.41,36.43,36.41,36.42,30859
INTC,201702081055,36.42,36.44,36.42,36.44,13127
INTC,201702081056,36.43,36.43,36.43,36.43,23618
INTC,201702081057,36.43,36.43,36.42,36.43,27061
INTC,201702081058,36.43,36.44,36.42,36.43,34413
INTC,201702081059,36.43,36.47,36.42,36.47,103487
INTC,201702081100,36.46,36.47,36.44,36.44,86296
INTC,201702081101,36.44,36.47,36.44,36.46,19267
INTC,201702081102,36.46,36.47,36.46,36.47,17514
INTC,201702081103,36.47,36.49,36.46,36.46,33625
INTC,201702081104,36.46,36.5,36.46,36.49,29902
INTC,201702081105,36.49,36.51,36.49,36.5,100652
INTC,201702081106,36.5,36.5,36.48,36.48,81920
INTC,201702081107,36.48,36.49,36.47,36.47,32665
INTC,201702081108,36.48,36.49,36.47,36.48,48771
INTC,201702081109,36.47,36.48,36.45,36.46,52939
INTC,201702081110,36.47,36.49,36.46,36.48,70953
INTC,201702081111,36.48,36.5,36.48,36.49,33224
INTC,201702081112,36.49,36.5,36.49,36.49,30812
INTC,201702081113,36.49,36.5,36.47,36.47,20761
INTC,201702081114,36.46,36.46,36.44,36.44,34270
INTC,201702081115,36.44,36.45,36.44,36.44,7620
INTC,201702081116,36.44,36.47,36.43,36.46,94104
INTC,201702081117,36.46,36.48,36.45,36.48,33720
INTC,201702081118,36.48,36.49,36.48,36.48,18657
INTC,201702081119,36.47,36.48,36.45,36.47,101308
INTC,201702081120,36.47,36.52,36.47,36.52,137343
INTC,201702081121,36.52,36.6,36.51,36.6,137373
INTC,201702081122,36.59,36.64,36.59,36.63,269964
INTC,201702081123,36.62,36.63,36.6,36.61,140097
INTC,201702081124,36.6,36.62,36.6,36.61,23494
INTC,201702081125,36.61,36.63,36.6,36.61,64666
INTC,201702081126,36.62,36.62,36.6,36.61,69719
INTC,201702081127,36.62,36.63,36.6,36.62,34295
INTC,201702081128,36.62,36.63,36.62,36.62,48699
INTC,201702081129,36.62,36.63,36.62,36.62,106783
INTC,201702081130,36.62,36.63,36.62,36.63,108084
INTC,201702081131,36.62,36.65,36.62,36.64,147792
INTC,201702081132,36.64,36.64,36.59,36.59,115893
INTC,201702081133,36.59,36.59,36.56,36.58,56742
INTC,201702081134,36.59,36.6,36.56,36.56,40004
INTC,201702081135,36.57,36.57,36.55,36.55,9129
INTC,201702081136,36.55,36.56,36.52,36.53,25326
INTC,201702081137,36.52,36.55,36.5,36.5,82286
INTC,201702081138,36.51,36.51,36.5,36.5,17984
INTC,201702081139,36.51,36.51,36.5,36.5,10520
INTC,201702081140,36.5,36.52,36.5,36.51,31043
INTC,201702081141,36.51,36.51,36.49,36.5,38889
INTC,201702081142,36.5,36.5,36.48,36.48,20956
INTC,201702081143,36.48,36.49,36.47,36.48,37743
INTC,201702081144,36.48,36.48,36.46,36.46,23491
INTC,201702081145,36.46,36.46,36.45,36.46,22118
