<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
JWN,201702080909,42.27,42.27,42.27,42.27,100
JWN,201702080911,42.33,42.33,42.33,42.33,200
JWN,201702080919,42.33,42.33,42.33,42.33,300
JWN,201702080921,42.33,42.33,42.33,42.33,100
JWN,201702080925,42.32,42.32,42.32,42.32,100
JWN,201702080926,42.28,42.28,42.28,42.28,200
JWN,201702080927,42.28,42.28,42.28,42.28,500
JWN,201702080928,42.25,42.25,42.25,42.25,200
JWN,201702080930,42.29,42.61,42.29,42.57,46481
JWN,201702080931,42.55,42.59,42.5,42.53,5549
JWN,201702080932,42.59,42.64,42.56,42.56,2780
JWN,201702080933,42.65,42.65,42.56,42.57,4584
JWN,201702080934,42.59,42.69,42.43,42.43,6600
JWN,201702080935,42.53,42.64,42.44,42.44,11857
JWN,201702080936,42.65,42.82,42.63,42.68,16667
JWN,201702080937,42.75,42.86,42.74,42.76,6689
JWN,201702080938,42.72,42.81,42.7,42.8,4694
JWN,201702080939,42.82,42.9,42.82,42.89,6515
JWN,201702080940,42.91,43.03,42.88,42.91,11728
JWN,201702080941,42.97,42.98,42.92,42.97,3200
JWN,201702080942,42.99,43,42.92,42.93,7138
JWN,201702080943,42.93,42.97,42.92,42.95,3261
JWN,201702080944,42.94,43.12,42.94,43.06,24139
JWN,201702080945,43.12,43.21,43.05,43.08,11457
JWN,201702080946,43.06,43.08,42.1,43.03,7651
JWN,201702080947,43.05,43.13,43.04,43.04,8098
JWN,201702080948,43.05,43.05,42.91,42.97,9301
JWN,201702080949,42.94,42.96,42.88,42.88,1900
JWN,201702080950,42.86,42.92,42.86,42.92,12474
JWN,201702080951,42.9,43,42.9,42.95,13500
JWN,201702080952,42.92,42.96,42.9,42.91,8692
JWN,201702080953,42.94,42.94,42.91,42.91,1200
JWN,201702080954,42.91,42.93,42.91,42.91,6245
JWN,201702080955,42.89,42.92,42.89,42.9,3220
JWN,201702080956,42.89,42.93,42.88,42.88,2964
JWN,201702080957,42.87,42.88,42.87,42.87,948
JWN,201702080958,42.89,42.91,42.88,42.9,4696
JWN,201702080959,42.91,42.98,42.9,42.96,12942
JWN,201702081000,42.96,42.96,42.83,42.85,8914
JWN,201702081001,42.87,42.9,42.87,42.88,1202
JWN,201702081002,42.88,42.89,42.86,42.88,3064
JWN,201702081003,42.88,42.9,42.87,42.9,2436
JWN,201702081004,42.88,42.91,42.83,42.85,10155
JWN,201702081005,42.82,42.9,42.82,42.83,8102
JWN,201702081006,42.82,42.83,42.81,42.83,962
JWN,201702081007,42.85,42.87,42.79,42.79,16001
JWN,201702081008,42.79,42.82,42.75,42.75,11829
JWN,201702081009,42.75,42.83,42.75,42.8,8600
JWN,201702081010,42.82,42.84,42.8,42.82,5456
JWN,201702081011,42.83,42.87,42.82,42.86,6882
JWN,201702081012,42.87,42.89,42.83,42.88,9491
JWN,201702081013,42.87,42.88,42.83,42.86,15508
JWN,201702081014,42.85,42.86,42.8,42.85,4859
JWN,201702081015,42.86,42.87,42.83,42.85,22889
JWN,201702081016,42.84,42.87,42.84,42.84,2100
JWN,201702081017,42.84,42.84,42.79,42.81,8285
JWN,201702081018,42.8,42.83,42.79,42.81,3190
JWN,201702081019,42.82,42.82,42.79,42.81,5692
JWN,201702081020,42.82,42.84,42.79,42.81,6778
JWN,201702081021,42.79,42.82,42.76,42.81,6353
JWN,201702081022,42.81,42.82,42.77,42.77,1989
JWN,201702081023,42.77,42.82,42.77,42.77,4667
JWN,201702081024,42.78,42.8,42.71,42.71,5300
JWN,201702081025,42.74,42.75,42.65,42.65,15820
JWN,201702081026,42.68,42.68,42.64,42.64,2300
JWN,201702081027,42.64,42.64,42.63,42.63,600
JWN,201702081028,42.65,42.69,42.64,42.65,5374
JWN,201702081029,42.66,42.71,42.65,42.71,2933
JWN,201702081030,42.75,42.76,42.75,42.75,1100
JWN,201702081031,42.79,42.85,42.79,42.85,4100
JWN,201702081032,42.85,42.85,42.79,42.79,4634
JWN,201702081033,42.79,42.79,42.75,42.75,2818
JWN,201702081034,42.76,42.8,42.76,42.8,3000
JWN,201702081035,42.8,42.8,42.76,42.76,1400
JWN,201702081036,42.77,42.79,42.76,42.77,4700
JWN,201702081037,42.77,42.8,42.72,42.72,4300
JWN,201702081038,42.72,42.76,42.72,42.73,3372
JWN,201702081039,42.72,42.73,42.69,42.71,4995
JWN,201702081040,42.72,42.74,42.69,42.69,2500
JWN,201702081041,42.68,42.68,42.68,42.68,300
JWN,201702081042,42.7,42.73,42.7,42.73,5205
JWN,201702081043,42.74,42.76,42.73,42.73,14400
JWN,201702081044,42.73,42.77,42.73,42.75,4400
JWN,201702081045,42.75,42.77,42.75,42.75,4169
JWN,201702081046,42.76,42.77,42.76,42.76,6647
JWN,201702081047,42.76,42.79,42.75,42.76,8808
JWN,201702081048,42.75,42.75,42.72,42.72,7105
JWN,201702081049,42.72,42.73,42.69,42.7,6100
JWN,201702081050,42.69,42.69,42.63,42.65,6726
JWN,201702081051,42.64,42.65,42.36,42.48,191793
JWN,201702081052,42.48,42.58,42.42,42.57,133340
JWN,201702081053,42.57,42.62,42.57,42.62,8520
JWN,201702081054,42.51,42.53,42.43,42.49,74881
JWN,201702081055,42.48,42.67,42.48,42.58,25132
JWN,201702081056,42.61,42.63,42.57,42.61,8463
JWN,201702081057,42.62,42.62,42.55,42.55,10904
JWN,201702081058,42.57,42.62,42.55,42.6,9626
JWN,201702081059,42.61,42.69,42.61,42.66,14805
JWN,201702081100,42.66,42.74,42.64,42.72,16941
JWN,201702081101,42.73,42.86,42.72,42.83,33703
JWN,201702081102,42.82,42.84,42.77,42.84,11725
JWN,201702081103,42.86,42.91,42.81,42.89,22882
JWN,201702081104,42.82,42.93,42.82,42.86,11387
JWN,201702081105,42.88,42.91,42.83,42.87,11725
JWN,201702081106,42.82,42.9,42.82,42.88,4576
JWN,201702081107,42.88,42.9,42.84,42.84,8732
JWN,201702081108,42.84,42.9,42.82,42.86,6147
JWN,201702081109,42.84,42.88,42.79,42.79,13419
JWN,201702081110,42.82,42.9,42.81,42.84,21945
JWN,201702081111,42.85,42.9,42.85,42.88,10004
JWN,201702081112,42.9,42.92,42.88,42.9,43962
JWN,201702081113,42.89,42.91,42.87,42.89,8225
JWN,201702081114,42.88,42.91,42.88,42.9,4952
JWN,201702081115,42.9,42.9,42.84,42.89,8003
JWN,201702081116,42.88,42.92,42.8,42.84,33120
JWN,201702081117,42.87,42.91,42.85,42.88,9372
JWN,201702081118,42.87,42.87,42.87,42.87,201
JWN,201702081119,42.89,42.89,42.86,42.89,6482
JWN,201702081120,42.88,42.91,42.82,42.9,37741
JWN,201702081121,42.89,42.93,42.85,42.9,16639
JWN,201702081122,42.9,42.92,42.86,42.91,9312
JWN,201702081123,42.91,42.91,42.87,42.91,6000
JWN,201702081124,42.91,42.91,42.87,42.88,9043
JWN,201702081125,42.88,42.91,42.87,42.9,6858
JWN,201702081126,42.9,42.92,42.86,42.89,11648
JWN,201702081127,42.87,42.91,42.87,42.89,4355
JWN,201702081128,42.9,42.91,42.87,42.87,4336
JWN,201702081129,42.89,42.89,42.89,42.89,100
JWN,201702081130,42.86,42.88,42.85,42.87,9917
JWN,201702081131,42.88,42.88,42.81,42.81,9482
JWN,201702081132,42.82,42.82,42.79,42.81,2877
JWN,201702081133,42.81,42.83,42.79,42.82,5349
JWN,201702081134,42.82,42.83,42.81,42.81,1300
JWN,201702081135,42.81,42.83,42.8,42.82,3463
JWN,201702081136,42.82,42.83,42.8,42.81,12800
JWN,201702081137,42.8,42.81,42.76,42.76,3700
JWN,201702081138,42.76,42.79,42.76,42.78,2241
JWN,201702081139,42.8,42.8,42.77,42.77,1904
JWN,201702081140,42.79,42.79,42.79,42.79,500
JWN,201702081141,42.84,42.85,42.79,42.8,3110
JWN,201702081142,42.82,42.89,42.8,42.89,3213
JWN,201702081143,42.88,42.88,42.84,42.84,2000
JWN,201702081144,42.84,42.86,42.84,42.85,900
JWN,201702081145,42.85,42.85,42.8,42.83,5288
JWN,201702081146,42.83,42.83,42.82,42.82,2400
JWN,201702081147,42.83,42.88,42.83,42.88,7811
JWN,201702081148,42.88,42.91,42.83,42.88,8710
JWN,201702081149,42.9,42.92,42.88,42.9,11308
JWN,201702081150,42.91,42.92,42.89,42.9,9717
JWN,201702081151,42.9,42.9,42.9,42.9,200
JWN,201702081152,42.9,42.92,42.89,42.9,4700
JWN,201702081153,42.91,42.92,42.9,42.9,7300
JWN,201702081154,42.9,42.95,42.9,42.93,5727
JWN,201702081155,42.93,42.93,42.86,42.92,7356
JWN,201702081156,42.93,42.95,42.93,42.95,6150
JWN,201702081157,42.96,43.03,42.96,43.02,14954
JWN,201702081158,43.01,43.03,42.96,42.96,7866
JWN,201702081159,42.99,43.01,42.98,42.99,4198
JWN,201702081200,43,43.03,42.99,43.01,12874
JWN,201702081201,43.04,43.05,43,43.03,4671
JWN,201702081202,43.04,43.06,43.03,43.06,5515
JWN,201702081203,43.06,43.09,43.06,43.09,3969
JWN,201702081204,43.1,43.14,43.09,43.13,4500
JWN,201702081205,43.13,43.13,43.08,43.12,29300
JWN,201702081206,43.12,43.15,43.11,43.13,27474
JWN,201702081207,43.13,43.14,43.1,43.11,11150
JWN,201702081208,43.14,43.14,43.09,43.09,5904
JWN,201702081209,43.1,43.11,43.09,43.1,2203
JWN,201702081210,43.09,43.1,43.08,43.1,3640
JWN,201702081211,43.11,43.11,43.09,43.1,5810
JWN,201702081212,43.1,43.14,43.09,43.11,11466
JWN,201702081213,43.11,43.13,43.1,43.1,6631
JWN,201702081214,43.11,43.11,43.1,43.11,761
JWN,201702081215,43.11,43.18,43.11,43.16,16988
JWN,201702081216,43.17,43.2,43.16,43.2,8300
JWN,201702081217,43.18,43.21,43.18,43.19,11539
JWN,201702081218,43.18,43.2,43.17,43.17,13448
JWN,201702081219,43.17,43.2,43.14,43.2,17759
JWN,201702081220,43.19,43.19,43.14,43.15,7300
JWN,201702081221,43.14,43.17,43.14,43.15,2726
JWN,201702081222,43.14,43.19,43.14,43.18,6070
JWN,201702081223,43.18,43.21,43.16,43.19,5100
JWN,201702081224,43.19,43.2,43.17,43.18,1800
JWN,201702081225,43.18,43.2,43.18,43.18,4481
JWN,201702081226,43.2,43.2,43.17,43.17,1300
JWN,201702081227,43.17,43.19,43.17,43.19,2400
JWN,201702081228,43.18,43.2,43.15,43.15,4018
JWN,201702081229,43.14,43.16,43.11,43.13,7000
JWN,201702081230,43.12,43.13,43.1,43.13,2306
JWN,201702081231,43.12,43.13,43.12,43.13,400
JWN,201702081232,43.13,43.15,43.13,43.15,6671
JWN,201702081233,43.15,43.16,43.13,43.14,7196
JWN,201702081234,43.13,43.15,43.13,43.14,2830
JWN,201702081235,43.14,43.15,43.13,43.14,1000
JWN,201702081236,43.14,43.15,43.14,43.14,1200
JWN,201702081237,43.14,43.14,43.09,43.14,8281
JWN,201702081238,43.08,43.1,43.08,43.09,9562
JWN,201702081239,43.1,43.1,43.08,43.08,6100
JWN,201702081240,43.07,43.09,43.06,43.08,13301
JWN,201702081241,43.08,43.08,43.05,43.06,3600
JWN,201702081242,43.06,43.08,43.05,43.08,3528
JWN,201702081243,43.08,43.09,43.07,43.09,5200
JWN,201702081244,43.08,43.09,43.06,43.08,10864
JWN,201702081245,43.07,43.1,43.05,43.09,10344
JWN,201702081246,43.08,43.14,43.08,43.11,10011
JWN,201702081247,43.11,43.18,43.1,43.18,14454
JWN,201702081248,43.16,43.18,43.15,43.16,2800
JWN,201702081249,43.15,43.16,43.12,43.12,5466
