<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
LMT,201612220930,252.01,252.66,252,252.58,29573
LMT,201612220931,252.7,253.5,252.51,252.87,7255
LMT,201612220932,253.2,253.34,253.06,253.11,1775
LMT,201612220933,252.91,253.31,252.86,253.2,1343
LMT,201612220934,252.96,253.09,252.79,252.95,1684
LMT,201612220935,252.91,253.28,252.75,253.16,6590
LMT,201612220936,252.97,253.08,252.62,252.98,10674
LMT,201612220937,252.81,253.24,252.79,253.03,10843
LMT,201612220938,253.11,253.11,252.7,253.04,3859
LMT,201612220939,252.84,252.85,252.56,252.56,4339
LMT,201612220940,252.42,252.42,252.06,252.33,4692
LMT,201612220941,252.27,252.27,252.05,252.18,700
LMT,201612220942,252.15,252.32,251.81,252.32,4959
LMT,201612220943,252.23,252.28,252.23,252.28,600
LMT,201612220944,252.24,252.24,252.07,252.1,1211
LMT,201612220945,252.09,252.09,251.89,251.9,2876
LMT,201612220946,252,252,252,252,100
LMT,201612220947,252,252,252,252,100
LMT,201612220948,252.09,252.09,251.92,251.92,1067
LMT,201612220949,251.95,251.98,251.89,251.98,715
LMT,201612220950,251.99,251.99,251.75,251.75,1299
LMT,201612220951,251.84,251.89,251.74,251.82,3090
LMT,201612220952,251.76,251.76,251.7,251.74,1858
LMT,201612220953,251.79,251.79,251.79,251.79,100
LMT,201612220954,251.7,251.73,251.66,251.66,3775
LMT,201612220955,251.67,251.67,251.61,251.65,1100
LMT,201612220956,251.7,251.95,251.69,251.94,2300
LMT,201612220957,251.91,251.94,251.85,251.85,800
LMT,201612220958,251.89,252.12,251.89,252.12,2062
LMT,201612220959,252.07,252.35,252.07,252.35,1820
LMT,201612221000,252.35,252.39,252.25,252.37,2431
LMT,201612221001,252.37,252.63,252.32,252.61,2954
LMT,201612221002,252.48,252.59,252.42,252.55,1800
LMT,201612221003,252.46,252.55,252.2,252.2,1550
LMT,201612221004,252.21,252.32,252.14,252.25,2716
LMT,201612221005,252.16,252.25,252.16,252.24,800
LMT,201612221006,252.16,252.16,251.81,251.81,2657
LMT,201612221007,251.84,251.84,251.69,251.8,945
LMT,201612221008,251.83,251.83,251.71,251.83,513
LMT,201612221009,251.84,251.84,251.5,251.5,1650
LMT,201612221010,251.51,251.51,251.49,251.49,200
LMT,201612221011,251.54,251.54,251.48,251.48,300
LMT,201612221012,251.49,251.49,251.48,251.48,200
LMT,201612221013,251.47,251.61,251.34,251.53,1800
