<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
M,201511120900,40.04,40.09,39.97,39.97,8608
M,201511120901,39.91,39.94,39.91,39.94,525
M,201511120902,39.94,39.95,39.93,39.95,1325
M,201511120903,39.95,39.97,39.95,39.96,3847
M,201511120904,40,40,40,40,900
M,201511120905,39.95,39.96,39.95,39.95,775
M,201511120906,39.94,39.94,39.89,39.89,8850
M,201511120907,39.9,39.9,39.9,39.9,1600
M,201511120908,39.92,39.92,39.92,39.92,1100
M,201511120909,39.92,39.95,39.91,39.95,2350
M,201511120910,39.95,39.96,39.95,39.96,500
M,201511120911,40,40,40,40,2100
M,201511120912,40,40,39.95,39.95,500
M,201511120913,39.98,40,39.98,40,1300
M,201511120914,40,40,40,40,500
M,201511120915,40,40,40,40,100
M,201511120916,39.99,39.99,39.98,39.98,825
M,201511120918,39.99,39.99,39.98,39.98,300
M,201511120920,39.99,39.99,39.99,39.99,1200
M,201511120921,39.99,40,39.99,40,14950
M,201511120922,39.99,40.12,39.99,40.12,1769
M,201511120923,40.12,40.13,40.12,40.13,492
M,201511120925,40.13,40.13,40.13,40.13,197
M,201511120926,40.08,40.15,40.08,40.15,1600
M,201511120929,40.15,40.15,40.15,40.15,100
M,201511120930,40.12,40.17,40.11,40.17,6170
M,201511120931,40.18,40.26,40.06,40.17,116524
M,201511120932,40.17,40.18,40.01,40.07,125734
M,201511120933,40.06,40.07,39.97,39.99,98851
M,201511120934,39.99,40.1,39.98,40.05,107173
M,201511120935,40.04,40.08,40.02,40.02,59330
M,201511120936,40.03,40.05,39.99,40.01,88055
M,201511120937,40.01,40.02,39.93,39.98,118654
M,201511120938,39.98,40.03,39.93,40.0265,72897
M,201511120939,40.03,40.47,40.02,40.45,148750
M,201511120940,40.43,40.6,40.3501,40.38,96482
M,201511120941,40.35,40.38,40.26,40.33,40205
M,201511120942,40.32,40.47,40.32,40.46,62861
M,201511120943,40.45,40.58,40.37,40.56,91543
M,201511120944,40.4398,40.56,40.4398,40.5405,40443
M,201511120945,40.5465,40.75,40.53,40.66,102623
M,201511120946,40.7,40.73,40.65,40.68,38171
M,201511120947,40.68,40.84,40.66,40.8,71037
M,201511120948,40.82,40.82,40.69,40.71,58265
M,201511120949,40.7,40.76,40.7,40.73,42738
M,201511120950,40.72,40.85,40.72,40.8,45784
M,201511120951,40.8,40.81,40.76,40.76,45103
M,201511120952,40.79,40.85,40.7601,40.8451,36159
M,201511120953,40.85,40.85,40.62,40.68,65266
M,201511120954,40.68,40.78,40.66,40.7674,26935
M,201511120955,40.75,40.76,40.73,40.76,26139
M,201511120956,40.75,40.92,40.75,40.8965,99534
M,201511120957,40.89,40.97,40.89,40.97,55970
M,201511120958,40.97,41.12,40.9506,41.07,77780
M,201511120959,41.07,41.16,41.05,41.1301,42791
M,201511121000,41.16,41.16,40.92,40.9385,68918
M,201511121001,40.94,41,40.91,40.98,56665
M,201511121002,40.98,40.99,40.84,40.87,37415
M,201511121003,40.8745,40.9114,40.85,40.87,23753
M,201511121004,40.8635,40.87,40.83,40.83,35981
M,201511121005,40.84,40.91,40.79,40.79,65862
M,201511121006,40.79,40.8,40.74,40.74,42366
M,201511121007,40.74,40.75,40.7,40.7049,32721
M,201511121008,40.71,40.83,40.67,40.82,45222
M,201511121009,40.81,40.94,40.8098,40.94,40353
M,201511121010,40.94,41,40.92,40.97,67312
M,201511121011,40.97,41,40.97,41,29334
M,201511121012,41,41,40.9,40.9,38013
M,201511121013,40.9,40.91,40.8601,40.89,32767
M,201511121014,40.8899,40.89,40.85,40.8501,20159
M,201511121015,40.86,40.86,40.84,40.84,40042
M,201511121016,40.84,40.99,40.84,40.96,55865
M,201511121017,40.96,40.96,40.91,40.92,33502
M,201511121018,40.92,40.92,40.72,40.72,33088
M,201511121019,40.73,40.82,40.71,40.82,37094
M,201511121020,40.81,40.82,40.72,40.72,127269
M,201511121021,40.71,40.77,40.69,40.72,42428
M,201511121022,40.7222,40.7299,40.53,40.5301,47909
M,201511121023,40.53,40.76,40.5,40.58,96419
M,201511121024,40.58,40.58,40.5,40.57,28975
M,201511121025,40.55,40.62,40.54,40.62,30720
M,201511121026,40.61,40.62,40.54,40.54,113712
M,201511121027,40.54,40.6,40.53,40.59,18694
M,201511121028,40.6,40.6,40.59,40.5936,14941
M,201511121029,40.595,40.6636,40.59,40.63,26931
M,201511121030,40.63,40.72,40.6029,40.72,41406
M,201511121031,40.72,40.72,40.67,40.7,24506
M,201511121032,40.71,40.82,40.71,40.77,28179
M,201511121033,40.78,40.79,40.69,40.6901,14675
M,201511121034,40.72,40.74,40.63,40.67,25055
M,201511121035,40.67,40.73,40.65,40.72,22537
M,201511121036,40.72,40.74,40.66,40.67,19984
M,201511121037,40.66,40.71,40.65,40.71,32977
M,201511121038,40.71,40.79,40.71,40.79,26763
M,201511121039,40.79,40.86,40.79,40.79,24004
M,201511121040,40.79,40.81,40.74,40.75,21683
M,201511121041,40.75,40.75,40.71,40.74,42770
M,201511121042,40.75,40.8,40.74,40.77,34065
M,201511121043,40.77,40.78,40.74,40.77,44200
M,201511121044,40.77,40.8,40.76,40.77,20537
M,201511121045,40.77,40.79,40.77,40.77,10526
M,201511121046,40.77,40.81,40.75,40.76,38829
M,201511121047,40.7552,40.79,40.75,40.79,26263
M,201511121048,40.78,40.79,40.69,40.69,15135
M,201511121049,40.68,40.72,40.68,40.6987,49620
M,201511121050,40.7,40.74,40.7,40.72,17875
M,201511121051,40.71,40.75,40.71,40.75,12564
M,201511121052,40.75,40.76,40.73,40.76,23187
M,201511121053,40.76,40.78,40.7501,40.78,20396
M,201511121054,40.78,40.84,40.7718,40.8165,28322
M,201511121055,40.8164,40.88,40.81,40.88,18981
M,201511121056,40.8765,40.93,40.86,40.88,43076
M,201511121057,40.88,40.92,40.8701,40.9001,25116
M,201511121058,40.9,40.91,40.88,40.89,19999
M,201511121059,40.8853,40.9,40.88,40.89,15728
M,201511121100,40.9,40.95,40.9,40.95,35054
M,201511121101,40.95,40.95,40.9,40.92,25437
