<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
NWSA,201701180930,12.2,12.2,12.11,12.11,14967
NWSA,201701180932,12.16,12.19,12.16,12.17,3460
NWSA,201701180933,12.15,12.17,12.11,12.15,4406
NWSA,201701180934,12.13,12.14,12.11,12.13,5249
NWSA,201701180935,12.13,12.15,12.12,12.15,1800
NWSA,201701180936,12.15,12.16,12.11,12.14,11031
NWSA,201701180937,12.14,12.16,12.14,12.16,4700
NWSA,201701180938,12.15,12.15,12.13,12.13,2200
NWSA,201701180939,12.14,12.15,12.14,12.15,1100
NWSA,201701180940,12.15,12.18,12.15,12.18,7520
NWSA,201701180941,12.18,12.18,12.17,12.17,3770
NWSA,201701180942,12.17,12.18,12.15,12.15,2300
NWSA,201701180943,12.15,12.17,12.15,12.17,3062
NWSA,201701180944,12.17,12.17,12.12,12.13,12052
NWSA,201701180945,12.14,12.15,12.12,12.12,8912
NWSA,201701180946,12.12,12.12,12.12,12.12,2700
NWSA,201701180947,12.12,12.14,12.12,12.13,7615
NWSA,201701180948,12.13,12.13,12.13,12.13,200
NWSA,201701180949,12.13,12.13,12.13,12.13,1500
NWSA,201701180950,12.13,12.13,12.12,12.12,2731
NWSA,201701180951,12.12,12.12,12.1,12.1,6470
NWSA,201701180952,12.11,12.11,12.11,12.11,700
NWSA,201701180953,12.1,12.1,12.1,12.1,300
NWSA,201701180954,12.1,12.1,12.1,12.1,500
NWSA,201701180955,12.1,12.1,12.1,12.1,4545
NWSA,201701180956,12.1,12.1,12.1,12.1,100
NWSA,201701180957,12.1,12.11,12.1,12.11,4617
NWSA,201701180958,12.11,12.11,12.11,12.11,200
NWSA,201701180959,12.12,12.15,12.12,12.15,6441
NWSA,201701181000,12.15,12.17,12.15,12.17,2376
NWSA,201701181001,12.17,12.18,12.15,12.16,15121
NWSA,201701181002,12.16,12.16,12.15,12.16,2877
NWSA,201701181003,12.15,12.15,12.15,12.15,2849
NWSA,201701181004,12.16,12.17,12.16,12.17,5835
NWSA,201701181005,12.18,12.19,12.18,12.18,1700
NWSA,201701181006,12.18,12.18,12.17,12.17,3500
NWSA,201701181007,12.18,12.18,12.17,12.17,400
NWSA,201701181008,12.18,12.18,12.18,12.18,300
NWSA,201701181009,12.18,12.18,12.17,12.17,400
NWSA,201701181010,12.18,12.19,12.17,12.19,4200
NWSA,201701181011,12.2,12.2,12.19,12.2,600
NWSA,201701181012,12.17,12.18,12.17,12.18,4924
NWSA,201701181013,12.18,12.19,12.18,12.18,4109
NWSA,201701181014,12.18,12.19,12.16,12.16,7896
NWSA,201701181015,12.16,12.17,12.16,12.17,3500
NWSA,201701181016,12.17,12.19,12.17,12.18,3417
NWSA,201701181017,12.19,12.19,12.18,12.18,917
NWSA,201701181018,12.19,12.21,12.19,12.21,3494
NWSA,201701181019,12.2,12.21,12.19,12.19,7100
NWSA,201701181020,12.19,12.2,12.19,12.19,2000
NWSA,201701181021,12.19,12.21,12.19,12.21,6527
NWSA,201701181022,12.2,12.21,12.2,12.2,4735
NWSA,201701181023,12.19,12.2,12.18,12.18,3300
NWSA,201701181024,12.17,12.17,12.16,12.16,1600
NWSA,201701181025,12.16,12.16,12.14,12.16,5725
NWSA,201701181026,12.15,12.15,12.14,12.15,4112
NWSA,201701181027,12.15,12.15,12.14,12.14,900
NWSA,201701181028,12.14,12.14,12.13,12.13,8310
NWSA,201701181029,12.13,12.13,12.13,12.13,600
NWSA,201701181030,12.13,12.14,12.13,12.14,4468
NWSA,201701181031,12.14,12.15,12.14,12.15,2400
NWSA,201701181032,12.14,12.15,12.14,12.15,3822
NWSA,201701181033,12.15,12.16,12.14,12.14,6181
NWSA,201701181034,12.14,12.14,12.14,12.14,400
NWSA,201701181035,12.14,12.15,12.14,12.14,1200
NWSA,201701181036,12.14,12.15,12.14,12.14,2200
NWSA,201701181037,12.15,12.15,12.14,12.14,900
NWSA,201701181038,12.14,12.15,12.13,12.13,11659
NWSA,201701181039,12.13,12.13,12.13,12.13,1300
NWSA,201701181040,12.13,12.13,12.1,12.1,6764
NWSA,201701181041,12.1,12.1,12.1,12.1,3498
NWSA,201701181042,12.1,12.1,12.1,12.1,3000
NWSA,201701181043,12.1,12.1,12.09,12.09,2077
NWSA,201701181044,12.09,12.09,12.07,12.07,11157
NWSA,201701181045,12.07,12.09,12.07,12.09,10269
NWSA,201701181046,12.09,12.1,12.09,12.09,3696
NWSA,201701181047,12.09,12.09,12.09,12.09,1200
NWSA,201701181048,12.1,12.1,12.09,12.09,1600
NWSA,201701181049,12.09,12.1,12.09,12.1,1800
NWSA,201701181050,12.09,12.1,12.09,12.09,3100
NWSA,201701181051,12.09,12.1,12.09,12.09,1500
NWSA,201701181052,12.1,12.1,12.09,12.09,1500
NWSA,201701181053,12.1,12.1,12.09,12.1,600
NWSA,201701181054,12.1,12.1,12.09,12.1,1500
NWSA,201701181055,12.09,12.1,12.09,12.09,1600
NWSA,201701181056,12.09,12.11,12.09,12.1,22138
NWSA,201701181057,12.11,12.12,12.1,12.11,10231
NWSA,201701181058,12.12,12.13,12.11,12.13,10681
NWSA,201701181059,12.14,12.14,12.13,12.13,1300
NWSA,201701181100,12.14,12.14,12.13,12.14,2000
NWSA,201701181101,12.13,12.14,12.13,12.14,7757
NWSA,201701181102,12.13,12.13,12.13,12.13,200
NWSA,201701181103,12.13,12.14,12.13,12.13,1100
NWSA,201701181104,12.14,12.14,12.13,12.14,800
NWSA,201701181105,12.14,12.14,12.13,12.13,3000
NWSA,201701181106,12.13,12.14,12.13,12.13,1900
NWSA,201701181107,12.13,12.14,12.13,12.13,2800
NWSA,201701181108,12.13,12.14,12.12,12.12,15700
NWSA,201701181109,12.12,12.12,12.11,12.11,10900
NWSA,201701181110,12.11,12.11,12.1,12.1,6591
NWSA,201701181111,12.1,12.11,12.1,12.1,2000
NWSA,201701181112,12.1,12.1,12.1,12.1,400
NWSA,201701181113,12.1,12.1,12.1,12.1,800
NWSA,201701181114,12.1,12.1,12.1,12.1,4800
NWSA,201701181115,12.1,12.1,12.1,12.1,900
NWSA,201701181116,12.1,12.1,12.1,12.1,1200
NWSA,201701181117,12.1,12.11,12.1,12.1,1400
NWSA,201701181118,12.1,12.11,12.1,12.1,4100
NWSA,201701181119,12.1,12.11,12.1,12.1,600
NWSA,201701181120,12.11,12.11,12.09,12.09,12600
NWSA,201701181121,12.1,12.1,12.09,12.09,4500
NWSA,201701181122,12.09,12.09,12.09,12.09,1300
NWSA,201701181123,12.09,12.1,12.09,12.1,3600
NWSA,201701181124,12.11,12.11,12.1,12.1,2829
NWSA,201701181125,12.11,12.11,12.1,12.11,400
NWSA,201701181126,12.1,12.11,12.1,12.11,1100
NWSA,201701181127,12.1,12.11,12.1,12.11,4275
NWSA,201701181128,12.12,12.12,12.11,12.11,1700
NWSA,201701181129,12.12,12.12,12.11,12.12,700
NWSA,201701181130,12.12,12.12,12.11,12.12,800
NWSA,201701181131,12.11,12.12,12.11,12.12,500
NWSA,201701181132,12.12,12.12,12.11,12.11,1000
NWSA,201701181133,12.12,12.12,12.11,12.11,600
NWSA,201701181134,12.11,12.12,12.11,12.12,1500
NWSA,201701181135,12.11,12.12,12.11,12.11,1100
NWSA,201701181136,12.12,12.12,12.1,12.1,16029
NWSA,201701181137,12.1,12.1,12.1,12.1,300
NWSA,201701181138,12.1,12.1,12.1,12.1,4247
NWSA,201701181139,12.1,12.1,12.1,12.1,400
NWSA,201701181140,12.1,12.11,12.1,12.11,700
NWSA,201701181141,12.11,12.11,12.1,12.1,800
NWSA,201701181142,12.11,12.11,12.1,12.11,600
NWSA,201701181143,12.1,12.11,12.1,12.1,900
NWSA,201701181144,12.1,12.1,12.1,12.1,700
NWSA,201701181145,12.1,12.1,12.1,12.1,1400
NWSA,201701181146,12.1,12.11,12.1,12.1,2500
NWSA,201701181147,12.11,12.11,12.1,12.1,1300
NWSA,201701181148,12.1,12.1,12.1,12.1,500
NWSA,201701181149,12.1,12.11,12.1,12.1,800
NWSA,201701181150,12.1,12.1,12.1,12.1,2800
NWSA,201701181151,12.1,12.11,12.1,12.1,900
NWSA,201701181152,12.1,12.1,12.1,12.1,500
NWSA,201701181153,12.1,12.11,12.1,12.11,800
NWSA,201701181154,12.1,12.11,12.1,12.1,700
NWSA,201701181155,12.1,12.11,12.1,12.1,2900
NWSA,201701181156,12.1,12.11,12.1,12.1,2500
NWSA,201701181157,12.1,12.1,12.07,12.08,32659
NWSA,201701181158,12.07,12.07,12.07,12.07,8062
NWSA,201701181159,12.07,12.07,12.04,12.04,12407
NWSA,201701181200,12.04,12.05,12.04,12.05,8680
NWSA,201701181201,12.05,12.05,12.05,12.05,300
NWSA,201701181202,12.05,12.05,12.05,12.05,100
NWSA,201701181203,12.05,12.07,12.05,12.06,8901
