<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
NYT,201702070930,14.6,14.65,14.6,14.65,11773
NYT,201702070931,14.65,14.7,14.65,14.7,1100
NYT,201702070932,14.65,14.75,14.62,14.65,3500
NYT,201702070933,14.65,14.65,14.65,14.65,300
NYT,201702070934,14.6,14.6,14.6,14.6,100
NYT,201702070935,14.6,14.6,14.6,14.6,100
NYT,201702070936,14.62,14.62,14.62,14.62,100
NYT,201702070937,14.6,14.6,14.6,14.6,100
NYT,201702070938,14.6,14.6,14.6,14.6,300
NYT,201702070939,14.65,14.65,14.62,14.62,300
NYT,201702070940,14.6,14.61,14.55,14.55,7530
NYT,201702070941,14.55,14.55,14.55,14.55,100
NYT,201702070942,14.55,14.55,14.55,14.55,200
NYT,201702070945,14.55,14.55,14.55,14.55,100
NYT,201702070946,14.55,14.55,14.55,14.55,200
NYT,201702070948,14.55,14.55,14.55,14.55,400
NYT,201702070949,14.6,14.63,14.55,14.6,11758
NYT,201702070950,14.6,14.6,14.6,14.6,100
NYT,201702070951,14.6,14.6,14.6,14.6,400
NYT,201702070952,14.6,14.6,14.6,14.6,100
NYT,201702070953,14.6,14.63,14.6,14.62,500
NYT,201702070954,14.6,14.6,14.6,14.6,200
NYT,201702070955,14.6,14.6,14.6,14.6,100
NYT,201702070956,14.6,14.6,14.6,14.6,200
NYT,201702070957,14.6,14.6,14.6,14.6,200
NYT,201702070958,14.62,14.62,14.62,14.62,100
NYT,201702070959,14.65,14.65,14.6,14.6,2800
NYT,201702071000,14.65,14.65,14.65,14.65,150
NYT,201702071001,14.62,14.62,14.62,14.62,100
NYT,201702071004,14.6,14.65,14.6,14.6,1200
NYT,201702071005,14.6,14.65,14.6,14.6,500
NYT,201702071006,14.6,14.6,14.6,14.6,300
NYT,201702071007,14.6,14.65,14.6,14.65,2900
NYT,201702071009,14.6,14.63,14.6,14.6,3200
NYT,201702071010,14.62,14.65,14.62,14.65,1600
NYT,201702071011,14.62,14.62,14.62,14.62,100
NYT,201702071012,14.62,14.7,14.62,14.7,21955
NYT,201702071013,14.7,14.75,14.67,14.75,21677
NYT,201702071014,14.72,14.75,14.7,14.75,614
NYT,201702071015,14.75,14.75,14.75,14.75,420
NYT,201702071016,14.75,14.75,14.75,14.75,253
NYT,201702071017,14.75,14.75,14.75,14.75,529
NYT,201702071018,14.75,14.75,14.72,14.75,26217
NYT,201702071019,14.75,14.77,14.75,14.75,15671
NYT,201702071020,14.75,14.75,14.75,14.75,596
NYT,201702071021,14.75,14.75,14.7,14.75,764
NYT,201702071022,14.75,14.75,14.75,14.75,749
NYT,201702071023,14.75,14.75,14.72,14.72,500
NYT,201702071024,14.75,14.75,14.75,14.75,700
NYT,201702071025,14.75,14.75,14.72,14.75,500
NYT,201702071026,14.75,14.75,14.75,14.75,400
NYT,201702071027,14.75,14.75,14.75,14.75,700
NYT,201702071028,14.75,14.75,14.72,14.75,500
NYT,201702071029,14.75,14.75,14.75,14.75,400
NYT,201702071030,14.75,14.75,14.75,14.75,300
NYT,201702071031,14.75,14.75,14.75,14.75,300
NYT,201702071032,14.75,14.75,14.75,14.75,100
NYT,201702071033,14.72,14.75,14.7,14.7,500
NYT,201702071034,14.72,14.75,14.72,14.72,1300
NYT,201702071035,14.72,14.75,14.7,14.7,1200
NYT,201702071036,14.75,14.75,14.7,14.75,1020
NYT,201702071037,14.72,14.73,14.7,14.72,1200
NYT,201702071038,14.7,14.75,14.65,14.7,15372
NYT,201702071039,14.65,14.68,14.6,14.65,24339
NYT,201702071040,14.65,14.67,14.65,14.65,500
NYT,201702071041,14.65,14.65,14.65,14.65,200
NYT,201702071043,14.65,14.65,14.65,14.65,200
NYT,201702071044,14.65,14.65,14.65,14.65,800
NYT,201702071045,14.65,14.65,14.65,14.65,300
NYT,201702071046,14.65,14.66,14.6,14.62,4857
NYT,201702071047,14.62,14.62,14.62,14.62,200
NYT,201702071049,14.62,14.62,14.62,14.62,400
NYT,201702071050,14.6,14.6,14.6,14.6,100
NYT,201702071051,14.62,14.62,14.62,14.62,200
NYT,201702071052,14.65,14.65,14.62,14.62,2044
NYT,201702071053,14.62,14.62,14.62,14.62,500
NYT,201702071057,14.65,14.65,14.65,14.65,600
NYT,201702071058,14.6,14.65,14.6,14.62,1500
NYT,201702071059,14.65,14.65,14.65,14.65,982
NYT,201702071100,14.65,14.65,14.62,14.65,1469
NYT,201702071101,14.65,14.7,14.65,14.7,4913
NYT,201702071102,14.67,14.7,14.67,14.7,200
NYT,201702071103,14.67,14.7,14.67,14.7,663
NYT,201702071104,14.7,14.7,14.7,14.7,100
NYT,201702071105,14.7,14.7,14.7,14.7,200
NYT,201702071106,14.67,14.7,14.67,14.7,300
NYT,201702071107,14.7,14.7,14.7,14.7,300
NYT,201702071108,14.7,14.7,14.7,14.7,600
NYT,201702071110,14.67,14.7,14.67,14.7,763
NYT,201702071111,14.7,14.7,14.7,14.7,400
NYT,201702071112,14.7,14.7,14.7,14.7,300
NYT,201702071113,14.67,14.67,14.67,14.67,400
NYT,201702071114,14.7,14.7,14.7,14.7,437
NYT,201702071115,14.7,14.7,14.65,14.65,300
NYT,201702071116,14.7,14.7,14.7,14.7,200
NYT,201702071117,14.67,14.7,14.65,14.7,600
NYT,201702071118,14.7,14.7,14.7,14.7,200
NYT,201702071119,14.67,14.7,14.65,14.65,1400
NYT,201702071120,14.67,14.7,14.67,14.7,500
NYT,201702071121,14.7,14.7,14.67,14.67,600
NYT,201702071122,14.7,14.7,14.7,14.7,300
NYT,201702071123,14.65,14.7,14.65,14.7,300
NYT,201702071124,14.7,14.7,14.67,14.7,600
NYT,201702071125,14.7,14.7,14.65,14.7,537
NYT,201702071126,14.7,14.7,14.67,14.67,700
NYT,201702071127,14.7,14.7,14.67,14.67,800
NYT,201702071128,14.7,14.7,14.67,14.7,2200
NYT,201702071129,14.67,14.7,14.65,14.67,1272
NYT,201702071130,14.7,14.7,14.65,14.7,1200
NYT,201702071131,14.7,14.7,14.7,14.7,100
NYT,201702071132,14.7,14.7,14.67,14.7,500
NYT,201702071133,14.7,14.7,14.67,14.67,1500
NYT,201702071134,14.7,14.7,14.67,14.67,300
NYT,201702071135,14.7,14.7,14.7,14.7,200
NYT,201702071136,14.7,14.7,14.7,14.7,100
NYT,201702071137,14.7,14.7,14.7,14.7,100
NYT,201702071138,14.65,14.7,14.65,14.67,500
NYT,201702071139,14.7,14.7,14.7,14.7,300
NYT,201702071140,14.7,14.7,14.65,14.65,200
NYT,201702071141,14.7,14.7,14.7,14.7,200
NYT,201702071142,14.7,14.7,14.67,14.7,623
NYT,201702071143,14.7,14.7,14.7,14.7,500
NYT,201702071144,14.7,14.7,14.7,14.7,200
NYT,201702071145,14.7,14.7,14.7,14.7,100
NYT,201702071146,14.7,14.7,14.65,14.7,700
NYT,201702071147,14.7,14.7,14.67,14.7,300
NYT,201702071148,14.7,14.7,14.67,14.67,500
NYT,201702071149,14.7,14.7,14.7,14.7,300
NYT,201702071150,14.7,14.7,14.7,14.7,400
NYT,201702071151,14.67,14.67,14.65,14.65,200
NYT,201702071152,14.7,14.7,14.7,14.7,300
NYT,201702071153,14.7,14.7,14.67,14.67,1166
NYT,201702071154,14.67,14.67,14.67,14.67,200
NYT,201702071155,14.7,14.7,14.67,14.7,500
NYT,201702071156,14.7,14.7,14.65,14.7,13269
NYT,201702071157,14.7,14.7,14.7,14.7,300
NYT,201702071158,14.7,14.7,14.67,14.67,400
NYT,201702071159,14.7,14.7,14.67,14.67,1658
NYT,201702071200,14.7,14.7,14.67,14.67,500
NYT,201702071201,14.7,14.7,14.67,14.7,500
NYT,201702071202,14.7,14.7,14.67,14.67,2894
NYT,201702071203,14.7,14.7,14.67,14.7,1006
NYT,201702071204,14.7,14.7,14.7,14.7,1786
NYT,201702071205,14.7,14.7,14.65,14.67,1273
