<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
PNC,201701180930,114.69,114.79,114.16,114.7,33275
PNC,201701180931,114.54,114.69,114.32,114.39,7047
PNC,201701180932,114.34,114.66,114.31,114.62,2250
PNC,201701180933,114.49,114.49,114.17,114.17,2503
PNC,201701180934,114.05,114.08,113.81,113.84,2096
PNC,201701180935,113.81,114,113.66,113.66,9524
PNC,201701180936,113.75,113.75,113.72,113.72,959
PNC,201701180937,113.85,114.12,113.78,113.86,3827
PNC,201701180938,114.07,114.12,114.03,114.06,4460
PNC,201701180939,114.04,114.32,114.03,114.32,3315
PNC,201701180940,114.36,114.74,114.33,114.67,12682
PNC,201701180941,114.67,114.68,114.52,114.52,7470
PNC,201701180942,114.56,114.57,114.51,114.51,2898
PNC,201701180943,114.53,114.74,114.46,114.7,7908
PNC,201701180944,114.7,114.79,114.59,114.79,16801
PNC,201701180945,114.81,114.93,114.78,114.82,7008
PNC,201701180946,114.8,114.94,114.77,114.94,9655
PNC,201701180947,114.94,114.97,114.89,114.9,10763
PNC,201701180948,114.89,114.93,114.77,114.88,15800
PNC,201701180949,114.89,114.89,114.7,114.74,7718
PNC,201701180950,114.7,114.81,114.69,114.75,7050
PNC,201701180951,114.71,114.81,114.71,114.81,3035
PNC,201701180952,114.78,114.85,114.75,114.82,14007
PNC,201701180953,114.81,114.9,114.79,114.88,8558
PNC,201701180954,114.89,114.89,114.81,114.84,10802
PNC,201701180955,114.82,114.88,114.74,114.77,12394
PNC,201701180956,114.77,114.8,114.73,114.8,18263
PNC,201701180957,114.82,115.09,114.82,115.06,6206
PNC,201701180958,115.06,115.06,114.98,115,10287
PNC,201701180959,114.98,115.02,114.96,115.02,5082
PNC,201701181000,115.04,115.11,115,115.11,6448
PNC,201701181001,115.13,115.2,115.13,115.17,7718
PNC,201701181002,115.14,115.14,115.08,115.08,3399
PNC,201701181003,115.1,115.14,115.1,115.11,3465
PNC,201701181004,115.11,115.11,115.06,115.11,4800
PNC,201701181005,115.09,115.11,114.99,115,9861
PNC,201701181006,115.02,115.02,114.85,114.93,9601
PNC,201701181007,114.89,114.92,114.86,114.89,10130
PNC,201701181008,114.91,115.04,114.89,114.99,14837
PNC,201701181009,115,115,114.92,114.92,6909
PNC,201701181010,114.93,114.97,114.84,114.84,10775
PNC,201701181011,114.85,114.86,114.74,114.78,7601
PNC,201701181012,114.8,114.92,114.8,114.92,4174
PNC,201701181013,114.94,115.18,114.94,115.17,2900
PNC,201701181014,115.18,115.18,115.03,115.03,7547
PNC,201701181015,115.06,115.07,114.98,115.01,8933
PNC,201701181016,115,115.13,115,115.12,6345
PNC,201701181017,115.14,115.15,115.07,115.08,6403
PNC,201701181018,115.1,115.13,115.06,115.12,8424
PNC,201701181019,114.99,115.11,114.98,115,9371
PNC,201701181020,114.96,115.07,114.95,115.07,5004
PNC,201701181021,115.06,115.11,115.04,115.09,4339
PNC,201701181022,115.08,115.14,115.08,115.09,6109
PNC,201701181023,115.1,115.16,115.1,115.16,3395
PNC,201701181024,115.15,115.16,115.07,115.07,5303
PNC,201701181025,115.07,115.08,114.98,114.99,3473
PNC,201701181026,115.01,115.07,115.01,115.02,3601
PNC,201701181027,115.02,115.05,115.02,115.05,600
PNC,201701181028,115.04,115.04,114.98,115,3838
PNC,201701181029,114.99,114.99,114.95,114.97,4255
PNC,201701181030,114.99,115.03,114.97,115.03,2400
PNC,201701181031,115.03,115.06,115.02,115.04,5875
PNC,201701181032,115.03,115.03,114.97,115.01,7790
PNC,201701181033,115.01,115.03,114.98,114.99,4208
PNC,201701181034,114.99,115.01,114.96,115.01,5957
PNC,201701181035,115.02,115.06,115.02,115.02,3900
PNC,201701181036,115.01,115.03,114.98,115.02,8686
PNC,201701181037,115.02,115.02,114.92,114.95,9365
PNC,201701181038,114.94,114.95,114.89,114.92,2401
PNC,201701181039,114.9,114.95,114.9,114.95,2300
PNC,201701181040,114.94,114.94,114.81,114.82,24180
PNC,201701181041,114.82,114.84,114.75,114.76,11940
PNC,201701181042,114.74,114.79,114.74,114.79,3453
PNC,201701181043,114.78,114.78,114.72,114.74,4756
PNC,201701181044,114.74,114.76,114.64,114.66,10578
PNC,201701181045,114.64,114.74,114.63,114.63,3596
PNC,201701181046,114.65,114.69,114.64,114.65,3042
PNC,201701181047,114.65,114.66,114.59,114.6,6092
PNC,201701181048,114.6,114.67,114.6,114.66,4041
PNC,201701181049,114.66,114.72,114.66,114.72,2300
PNC,201701181050,114.71,114.71,114.57,114.66,7966
PNC,201701181051,114.64,114.68,114.6,114.68,4004
PNC,201701181052,114.66,114.76,114.65,114.76,3901
PNC,201701181053,114.77,114.77,114.67,114.67,12180
PNC,201701181054,114.69,114.72,114.69,114.72,9428
PNC,201701181055,114.72,114.75,114.66,114.67,6720
PNC,201701181056,114.67,114.7,114.64,114.66,4605
PNC,201701181057,114.67,114.75,114.67,114.74,5400
PNC,201701181058,114.74,114.74,114.69,114.73,6870
PNC,201701181059,114.73,114.77,114.73,114.73,7429
PNC,201701181100,114.74,114.79,114.73,114.79,4280
PNC,201701181101,114.78,114.79,114.75,114.77,3881
PNC,201701181102,114.78,114.82,114.78,114.81,2500
PNC,201701181103,114.82,114.83,114.77,114.79,6479
PNC,201701181104,114.79,114.82,114.78,114.79,3570
PNC,201701181105,114.81,114.83,114.79,114.81,5112
PNC,201701181106,114.81,114.89,114.8,114.89,5805
PNC,201701181107,114.89,114.91,114.87,114.91,2200
PNC,201701181108,114.9,114.9,114.84,114.88,11434
PNC,201701181109,114.9,114.97,114.89,114.89,10286
PNC,201701181110,114.87,114.88,114.83,114.87,9020
PNC,201701181111,114.87,114.9,114.81,114.82,11453
PNC,201701181112,114.83,114.83,114.79,114.8,4200
PNC,201701181113,114.79,114.79,114.77,114.78,1645
PNC,201701181114,114.77,114.78,114.72,114.72,3523
PNC,201701181115,114.71,114.72,114.67,114.71,3300
PNC,201701181116,114.72,114.74,114.7,114.7,2990
PNC,201701181117,114.69,114.7,114.66,114.66,2950
PNC,201701181118,114.65,114.72,114.62,114.7,5994
PNC,201701181119,114.74,114.79,114.69,114.69,5346
PNC,201701181120,114.67,114.71,114.67,114.71,9300
PNC,201701181121,114.7,114.7,114.64,114.64,3935
PNC,201701181122,114.63,114.65,114.6,114.65,7585
PNC,201701181123,114.64,114.72,114.61,114.67,8311
PNC,201701181124,114.68,114.68,114.59,114.6,4691
PNC,201701181125,114.6,114.61,114.56,114.59,6124
PNC,201701181126,114.61,114.64,114.6,114.6,11500
PNC,201701181127,114.6,114.61,114.58,114.61,5810
PNC,201701181128,114.61,114.61,114.59,114.59,2500
PNC,201701181129,114.58,114.62,114.57,114.61,3301
PNC,201701181130,114.6,114.63,114.59,114.63,3953
PNC,201701181131,114.62,114.66,114.62,114.66,6175
PNC,201701181132,114.68,114.69,114.67,114.68,2091
PNC,201701181133,114.69,114.73,114.66,114.72,15314
PNC,201701181134,114.71,114.71,114.55,114.55,11484
PNC,201701181135,114.55,114.58,114.49,114.49,5175
PNC,201701181136,114.5,114.55,114.49,114.54,2475
PNC,201701181137,114.53,114.55,114.51,114.55,3299
PNC,201701181138,114.54,114.58,114.52,114.52,3360
PNC,201701181139,114.52,114.52,114.45,114.47,2300
PNC,201701181140,114.49,114.53,114.49,114.53,1216
PNC,201701181141,114.54,114.57,114.54,114.56,2360
PNC,201701181142,114.56,114.57,114.54,114.57,6604
PNC,201701181143,114.58,114.63,114.58,114.63,2625
PNC,201701181144,114.65,114.65,114.6,114.61,2664
PNC,201701181145,114.61,114.66,114.61,114.61,3651
PNC,201701181146,114.61,114.62,114.59,114.59,4500
PNC,201701181147,114.6,114.63,114.58,114.58,8776
PNC,201701181148,114.58,114.6,114.58,114.6,1350
PNC,201701181149,114.61,114.63,114.61,114.61,4975
PNC,201701181150,114.61,114.61,114.59,114.59,2500
PNC,201701181151,114.59,114.61,114.59,114.61,2548
PNC,201701181152,114.61,114.61,114.56,114.58,4703
PNC,201701181153,114.6,114.6,114.6,114.6,1423
PNC,201701181154,114.6,114.64,114.6,114.61,6153
PNC,201701181155,114.6,114.61,114.6,114.6,3631
PNC,201701181156,114.6,114.6,114.57,114.57,2000
PNC,201701181157,114.59,114.6,114.57,114.59,2523
PNC,201701181158,114.58,114.58,114.48,114.48,3200
PNC,201701181159,114.48,114.48,114.38,114.4,2120
PNC,201701181200,114.43,114.45,114.42,114.43,1900
PNC,201701181201,114.42,114.52,114.42,114.52,2614
PNC,201701181202,114.54,114.61,114.54,114.61,4460
PNC,201701181203,114.62,114.63,114.59,114.62,9380
PNC,201701181204,114.61,114.63,114.58,114.6,7083
PNC,201701181205,114.61,114.63,114.59,114.59,8070
PNC,201701181206,114.6,114.61,114.59,114.6,2221
PNC,201701181208,114.61,114.69,114.61,114.68,13797
PNC,201701181209,114.69,114.69,114.61,114.64,7756
PNC,201701181210,114.64,114.64,114.62,114.62,2713
PNC,201701181211,114.63,114.66,114.6,114.61,8174
PNC,201701181212,114.63,114.66,114.63,114.65,5305
PNC,201701181213,114.65,114.65,114.62,114.65,4400
PNC,201701181214,114.65,114.65,114.57,114.57,4085
PNC,201701181215,114.56,114.57,114.55,114.56,1133
PNC,201701181216,114.56,114.56,114.55,114.55,600
