<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
ROK,201701300930,150.33,150.33,149.13,149.35,18534
ROK,201701300931,149.21,149.36,149.16,149.28,1800
ROK,201701300932,149.27,149.65,149.27,149.48,2354
ROK,201701300933,149.27,149.4,149.09,149.1,3785
ROK,201701300934,149.32,149.34,149.2,149.33,5450
ROK,201701300935,149.26,149.33,149.16,149.23,4049
ROK,201701300936,149.35,149.35,149.11,149.24,5676
ROK,201701300937,149.17,149.65,149.15,149.21,10640
ROK,201701300938,149.42,149.42,149.12,149.39,6013
ROK,201701300939,149.3,149.33,149.04,149.2,9324
ROK,201701300940,149.12,149.23,149.05,149.12,6800
ROK,201701300941,149.14,149.29,149.05,149.14,4300
ROK,201701300942,149.14,149.26,149.07,149.14,3744
ROK,201701300943,149.08,149.12,148.89,149.05,2400
ROK,201701300944,149.12,149.18,148.69,148.77,5244
ROK,201701300945,148.8,149.04,148.79,148.91,3201
ROK,201701300946,148.88,148.88,148.82,148.82,200
ROK,201701300947,149.01,149.01,148.81,148.92,970
ROK,201701300948,148.82,148.95,148.63,148.81,8451
ROK,201701300949,148.78,148.81,148.69,148.69,3397
ROK,201701300950,148.64,148.76,148.64,148.76,1000
ROK,201701300951,148.76,148.81,148.7,148.78,2995
ROK,201701300952,148.79,148.96,148.77,148.92,2000
ROK,201701300953,148.93,149.03,148.93,149,2602
ROK,201701300954,149,149.01,148.89,149,3701
ROK,201701300955,149,149.05,148.98,149.05,900
ROK,201701300956,149.06,149.17,149.01,149.08,2500
ROK,201701300957,149.14,149.14,149,149,3557
ROK,201701300958,149.06,149.17,149.04,149.11,1695
ROK,201701300959,149.25,149.25,149.13,149.2,2447
ROK,201701301000,149.15,149.16,149.03,149.14,5603
ROK,201701301001,149.16,149.23,149.05,149.06,2600
ROK,201701301002,149.21,149.23,149.12,149.12,1500
ROK,201701301003,149.17,149.35,149.08,149.08,8000
ROK,201701301004,149.17,149.23,149.09,149.1,3300
ROK,201701301005,149.1,149.2,149.09,149.11,5800
ROK,201701301006,149.16,149.23,149.07,149.13,4032
ROK,201701301007,149.12,149.12,149.01,149.09,1773
ROK,201701301008,149.11,149.32,149.1,149.19,6488
ROK,201701301009,149.2,149.25,149.02,149.09,5312
ROK,201701301010,149.23,149.23,149.16,149.22,500
ROK,201701301011,149.22,149.34,149.02,149.16,13796
ROK,201701301012,149,149,148.95,148.99,500
ROK,201701301013,148.99,149.03,148.92,148.97,3716
ROK,201701301014,148.95,149.03,148.95,149.02,8616
ROK,201701301015,149.03,149.08,148.87,148.94,5437
