<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
STT,201612130930,80.66,80.66,80.41,80.61,16036
STT,201612130931,80.47,80.47,80.47,80.47,100
STT,201612130933,80.59,80.62,80.51,80.53,1920
STT,201612130934,80.49,80.57,80.49,80.57,1310
STT,201612130935,80.63,80.63,80.48,80.62,1830
STT,201612130936,80.54,80.61,80.51,80.53,3773
STT,201612130937,80.51,80.7,80.51,80.58,3490
STT,201612130938,80.5,80.65,80.49,80.65,1095
STT,201612130939,80.58,80.63,80.58,80.58,520
STT,201612130940,80.66,80.85,80.64,80.85,3190
STT,201612130941,80.88,80.93,80.73,80.79,3755
STT,201612130942,80.73,80.85,80.73,80.83,2889
STT,201612130943,80.8,80.89,80.72,80.87,3000
STT,201612130944,80.87,80.87,80.69,80.74,3875
STT,201612130945,80.74,80.76,80.62,80.62,1593
STT,201612130946,80.63,80.63,80.43,80.45,6365
STT,201612130947,80.48,80.54,80.36,80.42,4971
STT,201612130948,80.38,80.39,80.31,80.31,3200
STT,201612130949,80.31,80.36,80.27,80.32,1500
STT,201612130950,80.35,80.39,80.27,80.27,3300
STT,201612130951,80.26,80.37,80.26,80.37,2200
STT,201612130952,80.39,80.44,80.31,80.31,1294
STT,201612130953,80.29,80.29,80.22,80.23,450
STT,201612130954,80.17,80.22,80.16,80.22,2000
STT,201612130955,80.22,80.27,80.13,80.18,9800
STT,201612130956,80.21,80.27,80.2,80.22,6777
STT,201612130957,80.25,80.25,80.2,80.25,900
STT,201612130958,80.21,80.23,80.2,80.2,850
STT,201612130959,80.16,80.16,80.09,80.16,2089
STT,201612131000,80.17,80.18,80.12,80.12,5150
STT,201612131001,80.15,80.26,80.15,80.25,5375
STT,201612131002,80.27,80.31,80.25,80.29,2470
STT,201612131003,80.29,80.29,80.25,80.28,2400
STT,201612131004,80.3,80.3,80.17,80.17,1276
STT,201612131005,80.16,80.27,80.16,80.19,2260
STT,201612131006,80.21,80.24,80.16,80.22,3684
STT,201612131007,80.21,80.21,80.13,80.14,2546
STT,201612131008,80.16,80.16,80.12,80.12,1100
STT,201612131009,80.15,80.2,80.15,80.18,1052
STT,201612131010,80.18,80.25,80.18,80.22,1501
STT,201612131011,80.24,80.27,80.2,80.2,1333
STT,201612131012,80.2,80.31,80.2,80.31,1500
STT,201612131013,80.32,80.32,80.27,80.29,1100
STT,201612131014,80.26,80.26,80.23,80.25,900
STT,201612131015,80.25,80.33,80.25,80.27,2142
STT,201612131016,80.28,80.3,80.27,80.29,807
STT,201612131017,80.32,80.35,80.23,80.23,2649
STT,201612131018,80.21,80.25,80.21,80.25,1200
STT,201612131019,80.26,80.27,80.25,80.25,1000
