<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
TM,201701050930,121.19,121.19,121.19,121.19,2453
TM,201701050931,121.13,121.13,121.13,121.13,100
TM,201701050935,121.17,121.2,121.17,121.2,400
TM,201701050936,121.16,121.16,121.16,121.16,128
TM,201701050940,121.14,121.16,121.14,121.16,600
TM,201701050941,121.25,121.27,121.25,121.27,214
TM,201701050942,121.28,121.28,121.28,121.28,100
TM,201701050943,121.18,121.28,121.18,121.28,200
TM,201701050945,121.29,121.29,121.29,121.29,100
TM,201701050950,121.28,121.31,121.28,121.3,1980
TM,201701050953,121.29,121.29,121.26,121.28,700
TM,201701050956,121.3,121.32,121.28,121.32,500
TM,201701050957,121.28,121.28,121.23,121.23,400
TM,201701050958,121.21,121.21,121.21,121.21,100
TM,201701050959,121.22,121.22,121.18,121.2,3501
TM,201701051000,121.22,121.22,121.22,121.22,600
TM,201701051001,121.21,121.21,121.21,121.21,200
TM,201701051002,121.21,121.21,121.2,121.2,400
TM,201701051003,121.19,121.19,121.19,121.19,200
TM,201701051005,121.14,121.14,121.14,121.14,100
TM,201701051010,121.26,121.27,121.26,121.26,800
TM,201701051012,121.28,121.28,121.28,121.28,100
TM,201701051016,121.3,121.3,121.29,121.29,600
TM,201701051017,121.3,121.3,121.21,121.22,1060
TM,201701051022,121.22,121.26,121.22,121.26,400
TM,201701051024,121.26,121.26,121.26,121.26,100
TM,201701051025,121.22,121.25,121.22,121.25,500
TM,201701051027,121.29,121.3,121.29,121.3,200
TM,201701051028,121.27,121.3,121.27,121.3,2700
TM,201701051029,121.29,121.29,121.29,121.29,100
TM,201701051030,121.3,121.36,121.25,121.25,5700
TM,201701051031,121.2,121.21,121.2,121.21,400
TM,201701051032,121.17,121.21,121.17,121.21,200
TM,201701051035,121.16,121.16,121.16,121.16,100
TM,201701051036,121.2,121.23,121.2,121.23,200
TM,201701051037,121.22,121.22,121.21,121.21,400
TM,201701051038,121.16,121.16,121.15,121.16,657
TM,201701051040,121.15,121.15,121.14,121.14,400
