<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
UTX,201611300930,109.03,109.4,109,109.14,60003
UTX,201611300931,109.19,109.5,109.19,109.49,3610
UTX,201611300932,109.25,109.49,109.25,109.41,1847
UTX,201611300933,109.4,109.65,109.4,109.6,33077
UTX,201611300934,109.57,109.6,109.5,109.5,5455
UTX,201611300935,109.56,109.56,109.42,109.44,12401
UTX,201611300936,109.41,109.5,109.35,109.46,10678
UTX,201611300937,109.48,109.55,109.45,109.51,10699
UTX,201611300938,109.52,109.56,109.44,109.44,12746
UTX,201611300939,109.46,109.65,109.42,109.65,11979
UTX,201611300940,109.64,109.77,109.64,109.73,8858
UTX,201611300941,109.73,109.8,109.66,109.78,22601
UTX,201611300942,109.72,109.73,109.63,109.7,6922
UTX,201611300943,109.7,109.78,109.69,109.75,5116
UTX,201611300944,109.75,109.77,109.71,109.75,3630
UTX,201611300945,109.75,109.8,109.71,109.74,15506
UTX,201611300946,109.75,109.83,109.75,109.82,7140
UTX,201611300947,109.8,109.85,109.76,109.85,19727
UTX,201611300948,109.85,109.87,109.79,109.84,13477
UTX,201611300949,109.84,109.99,109.84,109.99,16755
UTX,201611300950,109.99,110,109.96,110,33395
UTX,201611300951,110,110,109.8,109.8,13485
UTX,201611300952,109.81,109.84,109.65,109.68,7260
UTX,201611300953,109.66,109.81,109.65,109.7,10547
UTX,201611300954,109.74,109.8,109.68,109.8,4848
UTX,201611300955,109.77,109.77,109.64,109.64,8079
UTX,201611300956,109.67,109.67,109.59,109.59,3861
UTX,201611300957,109.58,109.64,109.57,109.64,5550
UTX,201611300958,109.62,109.64,109.53,109.53,4266
UTX,201611300959,109.54,109.55,109.52,109.52,3692
UTX,201611301000,109.5,109.6,109.45,109.6,8670
UTX,201611301001,109.6,109.6,109.58,109.6,2179
UTX,201611301002,109.56,109.56,109.51,109.54,4642
UTX,201611301003,109.53,109.59,109.52,109.55,4143
UTX,201611301004,109.53,109.54,109.5,109.5,5601
UTX,201611301005,109.52,109.55,109.49,109.55,5594
UTX,201611301006,109.55,109.6,109.55,109.58,4391
UTX,201611301007,109.6,109.61,109.58,109.61,7820
UTX,201611301008,109.6,109.65,109.59,109.65,4717
UTX,201611301009,109.64,109.68,109.62,109.68,6817
UTX,201611301010,109.67,109.67,109.65,109.66,5228
UTX,201611301011,109.66,109.72,109.66,109.67,9812
UTX,201611301012,109.67,109.78,109.65,109.66,15844
UTX,201611301013,109.65,109.66,109.64,109.66,6517
UTX,201611301014,109.65,109.68,109.64,109.66,9792
UTX,201611301015,109.65,109.66,109.64,109.65,5000
UTX,201611301016,109.64,109.67,109.6,109.62,8629
UTX,201611301017,109.6,109.61,109.52,109.52,4838
UTX,201611301018,109.51,109.51,109.42,109.42,1239
UTX,201611301019,109.42,109.45,109.36,109.38,7165
UTX,201611301020,109.38,109.38,109.34,109.36,4025
UTX,201611301021,109.34,109.39,109.3,109.3,7136
UTX,201611301022,109.3,109.3,109.21,109.21,4887
UTX,201611301023,109.23,109.26,109.22,109.24,2125
UTX,201611301024,109.26,109.3,109.26,109.3,4190
UTX,201611301025,109.29,109.4,109.29,109.39,3389
UTX,201611301026,109.38,109.41,109.35,109.37,5537
UTX,201611301027,109.38,109.4,109.37,109.4,3925
UTX,201611301028,109.4,109.4,109.38,109.4,5991
UTX,201611301029,109.4,109.45,109.4,109.44,7499
UTX,201611301030,109.43,109.43,109.41,109.41,2963
UTX,201611301031,109.41,109.42,109.37,109.4,3655
UTX,201611301032,109.39,109.42,109.39,109.41,2016
UTX,201611301033,109.4,109.4,109.36,109.39,6609
UTX,201611301034,109.38,109.39,109.38,109.39,420
UTX,201611301035,109.39,109.39,109.28,109.28,4126
UTX,201611301036,109.3,109.3,109.28,109.3,1501
UTX,201611301037,109.28,109.29,109.19,109.21,4596
UTX,201611301038,109.22,109.22,109.16,109.18,2992
UTX,201611301039,109.17,109.19,109.16,109.19,9874
UTX,201611301040,109.18,109.19,109.17,109.18,6007
UTX,201611301041,109.19,109.19,109.17,109.18,4534
UTX,201611301042,109.19,109.19,109.17,109.18,6875
UTX,201611301043,109.19,109.22,109.17,109.2,5471
UTX,201611301044,109.2,109.21,109.2,109.21,2348
UTX,201611301045,109.2,109.3,109.2,109.3,6538
UTX,201611301046,109.31,109.32,109.27,109.27,2198
UTX,201611301047,109.29,109.29,109.24,109.25,4640
UTX,201611301048,109.24,109.25,109.21,109.21,2572
UTX,201611301049,109.23,109.23,109.16,109.17,10990
UTX,201611301050,109.15,109.24,109.15,109.22,16318
UTX,201611301051,109.2,109.22,109.18,109.21,3150
UTX,201611301052,109.21,109.23,109.2,109.22,2804
UTX,201611301053,109.21,109.25,109.19,109.19,35940
UTX,201611301054,109.21,109.24,109.19,109.24,71884
UTX,201611301055,109.24,109.28,109.23,109.27,5747
UTX,201611301056,109.28,109.33,109.27,109.32,17690
UTX,201611301057,109.32,109.35,109.32,109.32,1500
UTX,201611301058,109.33,109.33,109.28,109.28,3002
UTX,201611301059,109.3,109.33,109.3,109.32,1989
UTX,201611301100,109.32,109.33,109.23,109.25,3000
UTX,201611301101,109.23,109.25,109.22,109.25,1900
UTX,201611301102,109.24,109.24,109.18,109.18,2300
UTX,201611301103,109.18,109.18,109.13,109.13,3300
UTX,201611301104,109.13,109.13,109.1,109.12,7094
UTX,201611301105,109.08,109.11,109.07,109.08,1740
UTX,201611301106,109.07,109.1,109.07,109.09,6773
UTX,201611301107,109.08,109.08,109.05,109.07,4845
UTX,201611301108,109.06,109.1,109.06,109.1,3239
UTX,201611301109,109.08,109.08,109.05,109.06,1920
UTX,201611301110,109.07,109.11,109.06,109.07,2901
UTX,201611301111,109.06,109.1,109.05,109.09,3187
UTX,201611301112,109.07,109.07,109.06,109.07,1170
UTX,201611301113,109.05,109.05,109.01,109.02,3452
UTX,201611301114,109.01,109.02,109.01,109.01,1300
UTX,201611301115,109,109.02,108.98,108.99,5937
UTX,201611301116,109,109.01,108.98,109,3739
UTX,201611301117,108.1,109,108.1,108.99,6536
UTX,201611301118,108.99,109,108.97,109,16349
UTX,201611301119,108.99,109.01,108.1,108.96,7260
UTX,201611301120,108.96,108.96,108.9,108.91,8487
UTX,201611301121,108.9,108.91,108.87,108.88,7553
UTX,201611301122,108.87,108.87,108.77,108.77,7831
UTX,201611301123,108.77,108.78,108.76,108.78,3913
UTX,201611301124,108.78,108.78,108.73,108.73,2932
UTX,201611301125,108.73,108.74,108.68,108.68,8151
UTX,201611301126,108.69,108.73,108.68,108.73,9682
UTX,201611301127,108.73,108.73,108.71,108.72,4166
UTX,201611301128,108.71,108.71,108.66,108.66,4604
