<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
XOM,201612130900,91.75,92,91.74,91.9,8832
XOM,201612130902,91.85,91.85,91.85,91.85,339
XOM,201612130903,91.85,91.85,91.85,91.85,300
XOM,201612130904,91.75,91.75,91.7,91.7,300
XOM,201612130905,91.7,91.75,91.7,91.75,700
XOM,201612130906,91.7,91.7,91.7,91.7,200
XOM,201612130909,91.85,91.85,91.85,91.85,1000
XOM,201612130910,91.85,91.85,91.85,91.85,200
XOM,201612130911,91.85,91.85,91.85,91.85,1000
XOM,201612130912,91.89,91.89,91.89,91.89,505
XOM,201612130916,91.88,91.88,91.88,91.88,300
XOM,201612130917,91.85,91.85,91.85,91.85,900
XOM,201612130920,91.83,91.83,91.76,91.77,2002
XOM,201612130921,91.76,91.76,91.76,91.76,100
XOM,201612130922,91.77,91.77,91.77,91.77,1050
XOM,201612130923,91.81,91.81,91.81,91.81,624
XOM,201612130924,91.81,91.81,91.81,91.81,500
XOM,201612130925,91.83,91.88,91.83,91.88,2100
XOM,201612130926,91.88,91.89,91.88,91.89,469
XOM,201612130927,91.89,91.89,91.89,91.89,500
XOM,201612130928,91.89,91.89,91.81,91.81,1500
XOM,201612130929,91.81,91.89,91.81,91.89,400
XOM,201612130930,91.89,91.89,91.81,91.83,334985
XOM,201612130931,91.83,91.83,91.45,91.56,77727
XOM,201612130932,91.56,91.6,91.45,91.49,46289
XOM,201612130933,91.47,91.48,91.26,91.32,48150
XOM,201612130934,91.33,91.59,91.31,91.57,44128
XOM,201612130935,91.59,91.59,91.55,91.55,3419
XOM,201612130936,91.48,91.49,91.27,91.44,50337
XOM,201612130937,91.3,91.31,91.17,91.21,41153
XOM,201612130938,91.21,91.28,91.21,91.21,36382
XOM,201612130939,91.22,91.28,91.21,91.24,30331
XOM,201612130940,91.23,91.38,91.2,91.38,54104
XOM,201612130941,91.38,91.41,91.36,91.37,28301
XOM,201612130942,91.35,91.46,91.35,91.44,29689
XOM,201612130943,91.44,91.6,91.42,91.6,39889
XOM,201612130944,91.58,91.62,91.54,91.61,18248
XOM,201612130945,91.61,91.61,91.47,91.49,25257
XOM,201612130946,91.49,91.51,91.41,91.49,19459
XOM,201612130947,91.48,91.48,91.47,91.48,1740
XOM,201612130948,91.48,91.67,91.47,91.49,52290
XOM,201612130949,91.65,91.8,91.63,91.76,55859
XOM,201612130950,91.78,91.8,91.7,91.73,46532
XOM,201612130951,91.75,91.78,91.73,91.74,43333
XOM,201612130952,91.74,91.82,91.74,91.8,33226
XOM,201612130953,91.79,91.8,91.63,91.67,20631
XOM,201612130954,91.67,91.69,91.55,91.56,218865
XOM,201612130955,91.57,91.6,91.5,91.58,43282
XOM,201612130956,91.56,91.59,91.55,91.55,25642
XOM,201612130957,91.55,91.57,91.51,91.54,16085
XOM,201612130958,91.55,91.58,91.52,91.57,17355
XOM,201612130959,91.56,91.59,91.51,91.55,19311
XOM,201612131000,91.55,91.65,91.55,91.65,26257
XOM,201612131001,91.65,91.68,91.62,91.65,38324
XOM,201612131002,91.64,91.65,91.51,91.55,210256
XOM,201612131003,91.54,91.64,91.52,91.54,198272
XOM,201612131004,91.54,91.62,91.54,91.59,169478
XOM,201612131005,91.59,91.6,91.55,91.57,157981
XOM,201612131006,91.58,91.75,91.58,91.75,39061
XOM,201612131007,91.74,91.75,91.62,91.67,29218
XOM,201612131008,91.68,91.71,91.63,91.7,19086
XOM,201612131009,91.7,91.73,91.68,91.72,21397
XOM,201612131010,91.72,91.73,91.61,91.66,63018
XOM,201612131011,91.66,91.72,91.63,91.66,20127
XOM,201612131012,91.65,91.73,91.57,91.73,497195
XOM,201612131013,91.73,91.87,91.72,91.86,60217
XOM,201612131014,91.86,91.86,91.83,91.84,4600
XOM,201612131015,91.73,91.73,91.62,91.67,267854
XOM,201612131016,91.67,91.68,91.64,91.67,22201
XOM,201612131017,91.68,91.69,91.57,91.57,43143
XOM,201612131018,91.57,91.63,91.55,91.59,29262
XOM,201612131019,91.58,91.59,91.52,91.54,42176
XOM,201612131020,91.53,91.57,91.52,91.53,22259
XOM,201612131021,91.55,91.56,91.51,91.52,36062
XOM,201612131022,91.52,91.56,91.49,91.51,43067
XOM,201612131023,91.51,91.55,91.49,91.53,30656
XOM,201612131024,91.53,91.54,91.47,91.47,35351
XOM,201612131025,91.47,91.51,91.43,91.49,30969
XOM,201612131026,91.49,91.51,91.45,91.51,20815
XOM,201612131027,91.51,91.51,91.47,91.49,16920
XOM,201612131028,91.5,91.55,91.49,91.51,263339
XOM,201612131029,91.5,91.54,91.49,91.5,24747
XOM,201612131030,91.5,91.5,91.44,91.45,21079
XOM,201612131031,91.44,91.48,91.42,91.48,22773
XOM,201612131032,91.48,91.51,91.38,91.41,31982
XOM,201612131033,91.4,91.46,91.4,91.44,36328
XOM,201612131034,91.45,91.47,91.4,91.46,14215
XOM,201612131035,91.47,91.47,91.4,91.45,31630
XOM,201612131036,91.46,91.48,91.45,91.48,4062
XOM,201612131037,91.45,91.51,91.41,91.43,35243
XOM,201612131038,91.5,91.56,91.48,91.54,20399
XOM,201612131039,91.54,91.63,91.53,91.63,31764
XOM,201612131040,91.64,91.76,91.63,91.76,52160
XOM,201612131041,91.76,91.85,91.74,91.84,53844
XOM,201612131042,91.84,91.87,91.82,91.82,44926
XOM,201612131043,91.82,91.88,91.82,91.87,30045
XOM,201612131044,91.87,91.97,91.87,91.97,101797
XOM,201612131045,91.97,91.99,91.96,91.98,33176
XOM,201612131046,91.98,91.99,91.97,91.98,38075
XOM,201612131047,91.98,92,91.1,91.98,54740
XOM,201612131048,92,92,91.1,91.99,67882
XOM,201612131049,91.99,92,91.94,91.97,81644
XOM,201612131050,91.98,91.98,91.97,91.97,1300
XOM,201612131051,91.99,92.09,91.99,92.07,177969
XOM,201612131052,92.06,92.14,92.02,92.06,32533
XOM,201612131053,92.06,92.13,92.04,92.1,36144
XOM,201612131054,92.11,92.2,92.09,92.18,54833
XOM,201612131055,92.19,92.2,92.15,92.18,33200
XOM,201612131056,92.17,92.19,92.13,92.16,34222
XOM,201612131057,92.16,92.2,92.12,92.15,48563
XOM,201612131058,92.16,92.17,92.05,92.07,33721
XOM,201612131059,92.07,92.12,92.07,92.08,34688
XOM,201612131100,92.08,92.1,92.04,92.06,31146
XOM,201612131101,92.05,92.06,92,92.01,33109
XOM,201612131102,92.01,92.01,92,92,500
XOM,201612131103,92.03,92.06,92,92.01,38975
XOM,201612131104,92.06,92.13,92.06,92.13,22847
XOM,201612131105,92.12,92.14,92.1,92.1,33137
XOM,201612131106,92.11,92.13,92.07,92.1,19413
XOM,201612131107,92.09,92.09,92.03,92.08,24347
XOM,201612131108,92.07,92.11,92.05,92.09,25080
XOM,201612131109,92.09,92.1,92.01,92.02,18148
XOM,201612131110,92.02,92.03,91.98,92.03,35762
XOM,201612131111,92.03,92.08,91.99,92.07,35343
XOM,201612131112,92.08,92.14,92.06,92.12,25210
XOM,201612131113,92.13,92.14,92.12,92.14,19522
XOM,201612131114,92.14,92.15,92.12,92.15,23423
XOM,201612131115,92.16,92.19,92.16,92.18,4698
XOM,201612131116,92.23,92.35,92.23,92.34,51876
XOM,201612131117,92.34,92.41,92.34,92.39,31804
XOM,201612131118,92.39,92.44,92.37,92.43,36164
XOM,201612131119,92.43,92.48,92.43,92.45,67257
XOM,201612131120,92.45,92.5,92.45,92.48,42876
XOM,201612131121,92.48,92.5,92.46,92.48,63482
XOM,201612131122,92.48,92.52,92.46,92.48,57622
XOM,201612131123,92.49,92.51,92.4,92.43,40175
XOM,201612131124,92.43,92.45,92.36,92.39,33304
XOM,201612131125,92.39,92.45,92.39,92.44,23429
XOM,201612131126,92.44,92.44,92.35,92.38,36362
XOM,201612131127,92.37,92.37,92.37,92.37,1217
XOM,201612131128,92.34,92.38,92.32,92.34,11913
XOM,201612131129,92.35,92.36,92.28,92.3,30299
XOM,201612131130,92.3,92.35,92.3,92.32,15847
XOM,201612131131,92.33,92.35,92.28,92.32,14853
XOM,201612131132,92.31,92.37,92.28,92.36,21674
XOM,201612131133,92.35,92.39,92.35,92.38,10638
XOM,201612131134,92.38,92.41,92.37,92.4,15100
XOM,201612131135,92.41,92.43,92.38,92.43,36223
XOM,201612131136,92.42,92.42,92.39,92.41,10483
XOM,201612131137,92.42,92.44,92.41,92.42,11985
XOM,201612131138,92.42,92.43,92.4,92.4,26708
XOM,201612131139,92.41,92.42,92.39,92.41,14808
XOM,201612131140,92.42,92.43,92.42,92.42,600
XOM,201612131141,92.4,92.47,92.38,92.4,60366
XOM,201612131142,92.47,92.49,92.46,92.46,15813
XOM,201612131143,92.46,92.47,92.43,92.45,21286
XOM,201612131144,92.44,92.47,92.43,92.46,28337
XOM,201612131145,92.46,92.48,92.4,92.4,21118
XOM,201612131146,92.41,92.42,92.37,92.37,22732
XOM,201612131147,92.37,92.45,92.37,92.44,20055
XOM,201612131148,92.43,92.46,92.34,92.38,50500
XOM,201612131149,92.39,92.4,92.34,92.36,31801
