<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
BA,201612060901,150.76,150.76,150.75,150.75,700
BA,201612060902,150.66,150.66,150.5,150.5,600
BA,201612060903,150.54,150.54,150.54,150.54,380
BA,201612060904,150.54,150.54,150.54,150.54,175
BA,201612060905,150.56,150.56,150.56,150.56,100
BA,201612060906,150.65,151,150.65,151,1600
BA,201612060907,151,151,151,151,100
BA,201612060908,151,151,151,151,600
BA,201612060909,151.02,151.02,151.02,151.02,100
BA,201612060910,150.98,150.98,150.98,150.98,100
BA,201612060911,150.72,150.72,150.72,150.72,400
BA,201612060914,150.85,150.91,150.85,150.85,1250
BA,201612060916,151.2,151.2,150.86,150.86,2620
BA,201612060917,150.85,151.1,150.77,151.1,625
BA,201612060918,151.09,151.09,151.08,151.08,700
BA,201612060919,151.08,151.08,150.98,150.98,2941
BA,201612060920,150.91,150.91,150.75,150.75,1967
BA,201612060924,150.75,150.75,150.75,150.75,100
BA,201612060925,150.9,150.9,150.9,150.9,5600
BA,201612060926,150.87,150.87,150.87,150.87,200
BA,201612060927,150.83,150.9,150.8,150.9,1500
BA,201612060928,150.85,150.85,150.85,150.85,2224
BA,201612060929,150.85,150.9,150.85,150.85,2656
BA,201612060930,150.84,150.96,150.84,150.91,2163
BA,201612060931,151,151.03,150.67,150.77,112894
BA,201612060932,150.86,150.86,150.68,150.82,2101
BA,201612060933,150.81,150.83,150.47,150.52,18133
BA,201612060934,150.48,150.7,150.46,150.48,9439
BA,201612060935,150.5,150.85,150.48,150.61,13538
BA,201612060936,150.77,150.77,150.13,150.13,75513
BA,201612060937,150.13,150.36,150.02,150.13,62717
BA,201612060938,150.18,150.4,150.09,150.22,24174
BA,201612060939,150.21,150.75,150.21,150.49,25390
BA,201612060940,150.54,150.66,150.43,150.64,26135
BA,201612060941,150.65,150.87,150.45,150.62,27764
BA,201612060942,150.64,150.83,150.61,150.73,10473
BA,201612060943,150.85,150.95,150.79,150.95,18849
BA,201612060944,150.9,150.95,150.76,150.95,8289
BA,201612060945,150.95,151,150.86,150.9,32618
BA,201612060946,150.88,151,150.85,150.88,22255
BA,201612060947,150.91,151.05,150.76,150.89,25389
BA,201612060948,150.86,151.05,150.84,150.97,16888
BA,201612060949,150.92,150.93,150.53,150.93,23020
BA,201612060950,150.92,150.93,150.76,150.88,15956
BA,201612060951,150.89,150.97,150.78,150.89,6829
BA,201612060952,150.95,150.99,150.84,150.93,7570
BA,201612060953,150.89,150.9,150.76,150.89,4250
BA,201612060954,150.99,150.99,150.9,150.95,1386
BA,201612060955,150.91,150.96,150.75,150.96,7079
BA,201612060956,150.95,150.95,150.84,150.89,6304
BA,201612060957,150.9,150.98,150.81,150.96,15119
BA,201612060958,150.99,151.13,150.95,150.97,20784
BA,201612060959,151,151.15,150.98,151.15,9553
BA,201612061000,151.11,151.37,151.1,151.17,17151
BA,201612061001,151.16,151.3,151.16,151.23,13799
BA,201612061002,151.24,151.26,151.1,151.2,4002
BA,201612061003,151.22,151.29,151.16,151.23,7298
BA,201612061004,151.23,151.3,151.18,151.21,9892
BA,201612061005,151.21,151.3,151.19,151.27,3900
BA,201612061006,151.3,151.32,151.2,151.29,11159
BA,201612061007,151.32,151.35,151.27,151.33,11260
BA,201612061008,151.33,151.43,151.33,151.35,7503
BA,201612061009,151.34,151.4,151.32,151.36,8000
BA,201612061010,151.37,151.37,151.2,151.22,8530
BA,201612061011,151.26,151.26,151.18,151.23,5562
BA,201612061012,151.25,151.25,151.19,151.19,5857
BA,201612061013,151.21,151.24,151.11,151.11,8075
BA,201612061014,151.15,151.29,151.13,151.27,8588
BA,201612061015,151.22,151.36,151.22,151.34,2651
BA,201612061016,151.32,151.4,151.32,151.4,800
BA,201612061017,151.36,151.37,151.31,151.33,9060
BA,201612061018,151.37,151.38,151.33,151.38,1300
BA,201612061019,151.35,151.36,151.17,151.19,3957
BA,201612061020,151.21,151.38,151.21,151.38,6279
BA,201612061021,151.38,151.5,151.38,151.45,3310
BA,201612061022,151.46,151.49,151.37,151.4,4900
BA,201612061023,151.41,151.49,151.37,151.44,3380
