<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
BLK,201701180930,376.16,376.76,375.63,375.71,12945
BLK,201701180931,375.72,375.82,375.1,375.11,2442
BLK,201701180932,375.61,375.71,375.61,375.71,334
BLK,201701180933,375.32,375.32,374.38,374.74,2640
BLK,201701180934,374.54,374.74,373.8,373.8,1379
BLK,201701180935,373.82,374.03,373.39,373.39,1100
BLK,201701180936,374.05,374.23,373.85,373.93,1700
BLK,201701180937,373.84,374.07,373.7,373.79,744
BLK,201701180938,374.33,374.33,374.33,374.33,100
BLK,201701180939,373.74,373.78,373.74,373.76,300
BLK,201701180940,374.32,375.15,374.32,374.6,1799
BLK,201701180941,374.56,374.56,374.56,374.56,200
BLK,201701180942,374.17,375.03,374.17,374.59,404
BLK,201701180943,374.23,374.89,374.23,374.89,217
BLK,201701180944,374.93,375.06,374.17,374.17,500
BLK,201701180945,374.54,375.45,374.46,375.45,1321
BLK,201701180946,375.08,375.57,375.08,375.57,200
BLK,201701180947,375,375.64,375,375.64,400
BLK,201701180949,375.21,375.47,375.06,375.12,1400
BLK,201701180950,375.53,375.53,375.53,375.53,100
BLK,201701180951,375.62,375.62,375.07,375.24,2200
BLK,201701180952,375.24,375.47,375.24,375.46,610
BLK,201701180954,375.38,375.38,375.26,375.26,300
BLK,201701180955,375.77,375.77,375.58,375.67,300
BLK,201701180956,375.56,375.56,375.56,375.56,100
BLK,201701180957,375.32,375.85,375.32,375.33,1100
BLK,201701180958,375.74,375.78,375.49,375.6,1100
BLK,201701180959,375.52,375.52,375.52,375.52,100
BLK,201701181000,375.87,376,375.87,376,882
BLK,201701181001,375.89,376,375.86,376,300
BLK,201701181002,375.81,376.01,375.81,376.01,803
BLK,201701181003,376.17,376.24,376.17,376.24,300
BLK,201701181005,375.98,376.31,375.98,376.31,600
BLK,201701181006,376.08,376.08,375.99,375.99,200
BLK,201701181007,376.11,376.11,375.83,375.93,2113
BLK,201701181008,375.85,376.05,375.85,376.04,2000
BLK,201701181009,376.08,376.08,376.08,376.08,500
BLK,201701181010,376.01,376.05,375.83,375.83,3137
BLK,201701181011,375.98,376,375.1,375.97,1800
BLK,201701181012,376.03,376.1,375.91,375.91,1100
BLK,201701181013,376.16,376.38,375.97,375.97,2209
BLK,201701181014,376.26,376.26,376.15,376.15,801
BLK,201701181015,375.99,376.39,375.99,376.3,1631
BLK,201701181016,376.29,376.64,376.29,376.64,600
BLK,201701181017,376.77,376.77,376.41,376.41,500
BLK,201701181018,376.67,376.77,376.61,376.61,750
BLK,201701181019,376.43,376.64,376.39,376.52,1300
BLK,201701181020,376.37,376.37,376.37,376.37,100
BLK,201701181021,376.71,376.71,376.71,376.71,100
BLK,201701181022,376.88,377.09,376.66,376.66,1155
BLK,201701181023,377.02,377.02,377.02,377.02,210
BLK,201701181024,377.04,377.04,376.78,376.78,803
BLK,201701181025,376.59,376.78,376.17,376.4,2600
BLK,201701181026,376.34,376.34,376.25,376.25,200
BLK,201701181027,376.21,376.25,376.2,376.2,800
BLK,201701181028,376.19,376.19,376.19,376.19,350
BLK,201701181029,376.19,376.33,376.19,376.33,400
BLK,201701181030,376.33,376.48,376.3,376.3,1996
BLK,201701181031,376.28,376.62,376.25,376.62,995
BLK,201701181032,376.65,376.65,376.53,376.53,300
BLK,201701181033,376.53,376.62,376.5,376.5,1501
BLK,201701181034,376.54,376.54,376.48,376.48,300
BLK,201701181035,376.6,376.72,376.48,376.48,1004
BLK,201701181036,376.62,376.62,376.62,376.62,100
BLK,201701181037,376.29,376.65,376.21,376.42,900
BLK,201701181038,376.25,376.33,376.22,376.33,1100
BLK,201701181039,376.31,376.39,376.31,376.39,596
BLK,201701181040,376.21,376.37,375.8,375.8,1200
BLK,201701181042,375.78,375.82,375.65,375.65,1001
BLK,201701181043,375.6,375.6,375.16,375.22,700
BLK,201701181044,375.2,375.44,374.78,374.78,1200
BLK,201701181045,374.92,375.21,374.77,374.77,1470
BLK,201701181046,374.84,374.89,374.83,374.83,496
BLK,201701181047,374.7,374.7,374.62,374.62,646
BLK,201701181048,374.59,374.59,374.49,374.51,499
BLK,201701181049,374.56,374.64,374.51,374.64,400
BLK,201701181050,374.51,374.77,374.5,374.77,3835
BLK,201701181051,374.8,374.97,374.79,374.79,1200
BLK,201701181052,375.27,375.66,375.27,375.66,645
BLK,201701181053,375.35,375.49,375.35,375.49,200
BLK,201701181054,375.48,375.64,375.48,375.64,401
BLK,201701181055,375.32,375.49,375.32,375.34,600
BLK,201701181056,375.31,375.31,374.99,374.99,300
BLK,201701181058,375.5,375.67,375.32,375.33,1044
BLK,201701181059,375.29,375.76,375.29,375.76,1202
BLK,201701181100,375.67,375.67,375.67,375.67,100
BLK,201701181101,375.59,375.59,375.47,375.49,1485
BLK,201701181102,375.42,375.42,375.35,375.35,600
BLK,201701181103,375.33,375.43,375.33,375.43,200
BLK,201701181104,375.37,375.37,375.37,375.37,100
BLK,201701181105,375.46,375.46,375.46,375.46,100
BLK,201701181106,375.38,375.82,375.38,375.75,1343
BLK,201701181107,375.85,375.85,375.66,375.71,800
BLK,201701181108,375.66,375.66,375.47,375.61,801
BLK,201701181109,376.01,376.16,375.95,375.95,500
BLK,201701181110,376.22,376.22,376.22,376.22,162
BLK,201701181111,376.1,376.18,376.1,376.17,400
BLK,201701181112,376.19,376.29,376.19,376.29,300
BLK,201701181113,376.19,376.22,376.17,376.22,617
BLK,201701181114,376.22,376.22,375.82,375.82,2744
BLK,201701181116,375.76,375.82,375.73,375.73,1071
BLK,201701181117,375.73,375.73,375.52,375.68,800
BLK,201701181118,375.7,375.75,375.64,375.75,1208
BLK,201701181119,375.82,376.12,375.82,376.12,650
BLK,201701181120,375.94,375.95,375.93,375.93,400
BLK,201701181121,375.79,375.79,375.79,375.79,100
BLK,201701181122,375.82,375.9,375.76,375.9,600
BLK,201701181123,375.93,376.34,375.93,376.13,1754
BLK,201701181124,376.13,376.13,375.78,375.96,1200
BLK,201701181126,375.79,375.94,375.79,375.94,300
BLK,201701181127,375.92,375.92,375.92,375.92,352
BLK,201701181128,375.9,375.9,375.66,375.66,1198
BLK,201701181129,375.37,375.61,375.37,375.61,2200
BLK,201701181130,375.75,375.75,375.75,375.75,100
BLK,201701181131,375.47,375.49,375.47,375.49,200
BLK,201701181132,375.45,375.45,375.45,375.45,100
BLK,201701181133,375.45,375.6,375.44,375.44,600
BLK,201701181134,375.76,375.76,375.32,375.32,1400
BLK,201701181136,375.1,375.29,375.1,375.29,376
BLK,201701181137,375.11,375.12,375.11,375.12,200
BLK,201701181138,375.05,375.05,374.97,374.97,698
BLK,201701181139,374.86,374.86,374.86,374.86,100
BLK,201701181141,374.99,375.17,374.91,374.95,5533
BLK,201701181142,374.87,374.87,374.82,374.82,300
BLK,201701181143,375.05,375.18,375.05,375.18,300
BLK,201701181144,375.21,375.21,375.01,375.01,200
BLK,201701181145,375.06,375.06,375.03,375.06,400
BLK,201701181146,375.19,375.19,374.92,374.92,253
BLK,201701181147,374.87,374.87,374.87,374.87,100
BLK,201701181148,374.96,375.13,374.85,375.13,540
BLK,201701181149,375.02,375.02,374.88,374.88,218
BLK,201701181151,374.87,374.87,374.69,374.82,1819
BLK,201701181152,374.85,374.94,374.85,374.87,1200
BLK,201701181154,374.75,374.75,374.75,374.75,200
BLK,201701181155,375.02,375.02,375.02,375.02,100
BLK,201701181156,374.78,374.81,374.78,374.81,400
BLK,201701181157,374.71,374.71,374.69,374.7,1000
BLK,201701181158,374.63,374.63,374.43,374.43,1100
BLK,201701181159,374.21,374.3,374.21,374.3,400
BLK,201701181200,374.05,374.16,374.05,374.16,300
BLK,201701181201,374.06,374.26,374.06,374.26,200
BLK,201701181202,374.43,374.59,374.21,374.46,3295
BLK,201701181205,374.34,374.34,374.34,374.34,100
BLK,201701181207,374.62,374.62,374.35,374.38,300
BLK,201701181208,374.63,374.63,374.63,374.63,200
BLK,201701181209,374.67,374.68,374.4,374.4,826
BLK,201701181210,374.47,374.52,374.39,374.52,300
BLK,201701181211,374.65,374.71,374.45,374.66,2119
BLK,201701181212,374.53,374.53,374.53,374.53,100
BLK,201701181214,374.53,374.53,374.53,374.53,400
BLK,201701181215,374.46,374.49,374.46,374.49,200
BLK,201701181216,374.51,374.51,374.5,374.5,200
BLK,201701181217,374.42,374.5,374.37,374.37,1300
BLK,201701181218,374.55,374.6,374.55,374.56,1097
BLK,201701181219,374.52,374.76,374.51,374.76,1000
BLK,201701181220,374.63,374.63,374.52,374.52,200
BLK,201701181221,374.51,374.63,374.51,374.57,2232
BLK,201701181222,374.57,374.57,374.57,374.57,100
BLK,201701181223,374.45,374.89,374.45,374.89,2621
BLK,201701181225,374.8,374.8,374.59,374.59,500
BLK,201701181226,374.74,374.88,374.65,374.65,700
BLK,201701181227,374.6,374.73,374.6,374.73,225
BLK,201701181228,374.59,374.91,374.59,374.81,700
