<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
DAL,201701300902,48.92,48.92,48.92,48.92,100
DAL,201701300905,48.86,48.86,48.86,48.86,1195
DAL,201701300906,48.86,48.86,48.85,48.85,13653
DAL,201701300907,48.85,48.85,48.85,48.85,721
DAL,201701300908,48.85,48.85,48.85,48.85,200
DAL,201701300909,48.85,48.85,48.85,48.85,300
DAL,201701300911,48.85,48.86,48.85,48.86,300
DAL,201701300912,48.85,48.85,48.85,48.85,400
DAL,201701300913,48.85,48.86,48.84,48.86,1800
DAL,201701300914,48.84,48.84,48.84,48.84,100
DAL,201701300915,48.76,48.76,48.75,48.75,1800
DAL,201701300916,48.71,48.71,48.7,48.7,5700
DAL,201701300917,48.7,48.7,48.7,48.7,5452
DAL,201701300920,48.7,48.7,48.7,48.7,170
DAL,201701300922,48.71,48.71,48.71,48.71,300
DAL,201701300924,48.85,48.85,48.79,48.79,354
DAL,201701300925,48.8,48.87,48.79,48.87,2946
DAL,201701300926,48.88,48.98,48.86,48.86,6500
DAL,201701300927,48.94,48.98,48.82,48.82,5520
DAL,201701300928,48.9,48.9,48.9,48.9,850
DAL,201701300930,48.95,48.95,48.75,48.75,215195
DAL,201701300931,48.8,48.9,48.68,48.7,124899
DAL,201701300932,48.7,48.7,48.62,48.62,66379
DAL,201701300933,48.63,48.75,48.6,48.66,130501
DAL,201701300934,48.67,48.68,48.39,48.49,146351
DAL,201701300935,48.49,48.8,48.49,48.77,100622
DAL,201701300936,48.78,48.79,48.61,48.61,55468
DAL,201701300937,48.61,48.68,48.55,48.58,23784
DAL,201701300938,48.66,48.67,48.59,48.64,55832
DAL,201701300939,48.63,48.63,48.44,48.45,70257
DAL,201701300940,48.44,48.45,48.23,48.37,135290
DAL,201701300941,48.36,48.36,48.17,48.25,111283
DAL,201701300942,48.26,48.35,48.21,48.24,47591
DAL,201701300943,48.23,48.35,48.23,48.26,39495
DAL,201701300944,48.27,48.39,48.21,48.24,46511
DAL,201701300945,48.23,48.23,48.13,48.22,82726
DAL,201701300946,48.22,48.27,48.22,48.24,15388
DAL,201701300947,48.26,48.26,48.17,48.23,33961
DAL,201701300948,48.22,48.37,48.18,48.37,32951
DAL,201701300949,48.37,48.43,48.31,48.34,49280
DAL,201701300950,48.33,48.33,48.22,48.23,44731
DAL,201701300951,48.22,48.23,48.18,48.2,108613
DAL,201701300952,48.2,48.21,48.17,48.19,32256
DAL,201701300953,48.18,48.19,48.12,48.13,47158
DAL,201701300954,48.13,48.15,48.08,48.12,69417
DAL,201701300955,48.11,48.13,48.08,48.09,43049
DAL,201701300956,48.09,48.1,47.69,47.7,217245
DAL,201701300957,47.71,48.02,47.7,48,120094
DAL,201701300958,48,48.06,47.92,48.03,51365
DAL,201701300959,48.03,48.07,48,48.02,62622
DAL,201701301000,48.02,48.02,47.91,47.98,65957
DAL,201701301001,47.99,48.11,47.98,48.11,45457
DAL,201701301002,48.11,48.19,48.1,48.18,32782
DAL,201701301003,48.18,48.22,48.08,48.13,64988
DAL,201701301004,48.13,48.17,48.05,48.17,41826
DAL,201701301005,48.18,48.2,48.13,48.14,26046
DAL,201701301006,48.15,48.22,48.15,48.18,33619
DAL,201701301007,48.17,48.17,48.08,48.08,27461
DAL,201701301008,48.08,48.15,48.07,48.15,39965
DAL,201701301009,48.13,48.17,48.11,48.12,25921
DAL,201701301010,48.13,48.18,48.13,48.18,15400
DAL,201701301011,48.19,48.2,48.06,48.19,46811
DAL,201701301012,48.07,48.08,47.93,47.94,53498
DAL,201701301013,47.95,47.97,47.9,47.94,29531
DAL,201701301014,47.93,48.07,47.93,47.99,46384
DAL,201701301015,47.98,48.01,47.96,47.99,23918
DAL,201701301016,47.99,48.01,47.93,47.95,19323
DAL,201701301017,47.93,48,47.93,47.98,10186
DAL,201701301018,47.99,48.06,47.99,48.01,23311
DAL,201701301019,48,48.03,47.92,47.92,24725
DAL,201701301020,47.92,47.96,47.9,47.91,32018
DAL,201701301021,47.9,47.92,47.86,47.89,26015
DAL,201701301022,47.89,47.92,47.85,47.86,34638
DAL,201701301023,47.86,47.9,47.86,47.86,11159
DAL,201701301024,47.86,47.9,47.86,47.89,10688
DAL,201701301025,47.88,47.92,47.88,47.91,32965
DAL,201701301026,47.91,47.91,47.86,47.88,19361
DAL,201701301027,47.87,47.98,47.87,47.97,43399
DAL,201701301028,47.97,48.01,47.96,47.96,17846
DAL,201701301029,47.95,48,47.93,47.96,11424
DAL,201701301030,47.96,48,47.94,47.95,25308
DAL,201701301031,47.95,48.01,47.94,48,29409
DAL,201701301032,48.01,48.04,47.97,47.97,22583
DAL,201701301033,47.96,48,47.95,47.98,29693
DAL,201701301034,47.99,48.02,47.1,48.02,31457
DAL,201701301035,48.02,48.03,48,48,18084
DAL,201701301036,48,48.05,47.99,47.99,15167
DAL,201701301037,47.99,48.02,47.95,47.96,180055
DAL,201701301038,47.96,48.01,47.96,47.98,40526
DAL,201701301039,47.98,48.03,47.97,47.97,27885
DAL,201701301040,47.98,48.04,47.98,48.04,13905
DAL,201701301041,48.04,48.07,48.03,48.03,57497
DAL,201701301042,48.04,48.06,48.02,48.03,19275
DAL,201701301043,48.03,48.03,47.9,47.9,175282
DAL,201701301044,47.9,47.92,47.81,47.81,55588
DAL,201701301045,47.82,47.83,47.78,47.81,62187
