<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
F,201701040900,12.69,12.7,12.68,12.69,2250
F,201701040903,12.7,12.71,12.7,12.71,3397
F,201701040904,12.71,12.71,12.7,12.7,2034
F,201701040905,12.7,12.7,12.7,12.7,1618
F,201701040906,12.7,12.7,12.69,12.69,2466
F,201701040907,12.69,12.69,12.69,12.69,100
F,201701040909,12.7,12.7,12.7,12.7,3000
F,201701040910,12.7,12.72,12.7,12.72,1102
F,201701040912,12.71,12.72,12.71,12.72,2365
F,201701040913,12.71,12.71,12.71,12.71,700
F,201701040914,12.71,12.71,12.7,12.71,3700
F,201701040915,12.71,12.71,12.71,12.71,800
F,201701040916,12.71,12.73,12.71,12.72,27515
F,201701040917,12.72,12.72,12.72,12.72,1526
F,201701040918,12.71,12.73,12.71,12.73,4674
F,201701040919,12.73,12.73,12.73,12.73,500
F,201701040920,12.73,12.73,12.72,12.73,13225
F,201701040921,12.73,12.76,12.73,12.75,37120
F,201701040922,12.77,12.77,12.77,12.77,200
F,201701040923,12.77,12.77,12.74,12.74,12300
F,201701040924,12.75,12.75,12.74,12.74,1351
F,201701040925,12.75,12.78,12.75,12.77,7040
F,201701040926,12.77,12.77,12.77,12.77,16700
F,201701040927,12.77,12.77,12.76,12.76,4200
F,201701040928,12.76,12.76,12.76,12.76,9800
F,201701040929,12.77,12.79,12.77,12.79,5691
F,201701040930,12.77,12.81,12.74,12.81,1851165
F,201701040931,12.8,12.83,12.8,12.81,595140
F,201701040932,12.81,12.82,12.78,12.79,327408
F,201701040933,12.79,12.88,12.79,12.85,1464853
F,201701040934,12.86,12.91,12.85,12.9,588409
F,201701040935,12.9,12.96,12.9,12.95,811949
F,201701040936,12.94,12.96,12.91,12.95,563594
F,201701040937,12.95,12.96,12.88,12.88,861275
F,201701040938,12.88,12.91,12.88,12.9,576996
F,201701040939,12.9,12.9,12.87,12.89,427228
F,201701040940,12.9,12.91,12.88,12.91,367056
F,201701040941,12.89,12.9,12.87,12.87,736482
F,201701040942,12.87,12.92,12.87,12.92,334014
F,201701040943,12.92,12.97,12.92,12.94,411690
F,201701040944,12.94,12.96,12.89,12.92,368531
F,201701040945,12.91,12.96,12.91,12.95,269613
F,201701040946,12.95,12.97,12.94,12.96,373318
F,201701040947,12.95,12.98,12.95,12.97,505547
F,201701040948,12.96,12.99,12.96,12.97,399192
F,201701040949,12.96,12.98,12.96,12.96,212278
F,201701040950,12.97,12.99,12.96,12.99,187537
