<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
GM,201701240903,36.7,36.7,36.7,36.7,204
GM,201701240907,36.7,36.7,36.7,36.7,500
GM,201701240908,36.76,36.76,36.76,36.76,213
GM,201701240910,36.7,36.7,36.7,36.7,100
GM,201701240912,36.76,36.76,36.76,36.76,388
GM,201701240920,36.7,36.76,36.7,36.76,400
GM,201701240921,36.76,36.76,36.76,36.76,1000
GM,201701240922,36.7,36.7,36.7,36.7,1200
GM,201701240925,36.7,36.7,36.7,36.7,300
GM,201701240930,36.7,36.94,36.68,36.82,211632
GM,201701240931,36.8,36.87,36.78,36.8,18438
GM,201701240932,36.8,36.9,36.8,36.87,21243
GM,201701240933,36.87,36.92,36.87,36.89,8760
GM,201701240934,36.89,36.98,36.88,36.96,26359
GM,201701240935,36.96,36.98,36.93,36.97,23209
GM,201701240936,36.97,36.99,36.96,36.96,37675
GM,201701240937,36.97,36.97,36.95,36.95,24588
GM,201701240938,36.95,36.98,36.9,36.94,37463
GM,201701240939,36.94,36.96,36.91,36.92,43490
GM,201701240940,36.91,36.94,36.91,36.94,29648
GM,201701240941,36.93,36.98,36.93,36.94,18432
GM,201701240942,36.97,36.99,36.97,36.98,12751
GM,201701240943,36.98,37.02,36.98,37.01,59844
GM,201701240944,37.01,37.08,37.01,37.07,39214
GM,201701240945,37.07,37.14,37.07,37.08,58551
GM,201701240946,37.09,37.12,37.09,37.1,25183
GM,201701240947,37.09,37.1,37.03,37.05,32391
GM,201701240948,37.05,37.06,37.04,37.05,37998
GM,201701240949,37.05,37.06,37.01,37.02,32661
GM,201701240950,37.02,37.02,37,37,23129
GM,201701240951,37,37.03,36.99,37,34997
GM,201701240952,37,37.02,37,37.01,13922
GM,201701240953,37.01,37.04,37.01,37.03,14971
GM,201701240954,37.04,37.05,37.01,37.05,32183
GM,201701240955,37.05,37.12,37.05,37.07,161217
GM,201701240956,37.07,37.11,37.06,37.09,34884
GM,201701240957,37.08,37.1,37.08,37.09,17444
GM,201701240958,37.09,37.12,37.09,37.09,21733
GM,201701240959,37.09,37.11,37.08,37.09,26961
GM,201701241000,37.08,37.09,37.05,37.05,24738
GM,201701241001,37.05,37.05,37.01,37.01,51932
GM,201701241002,37.01,37.01,36.98,36.99,32896
GM,201701241003,36.99,37.05,36.99,37.05,31979
GM,201701241004,37.05,37.06,37.04,37.05,10582
GM,201701241005,37.06,37.06,37.04,37.04,24951
GM,201701241006,37.04,37.06,37.03,37.05,32548
GM,201701241007,37.05,37.08,37.04,37.06,38256
GM,201701241008,37.07,37.07,37.04,37.05,18027
