<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
LMT,201701170928,253.1,253.1,253.1,253.1,100
LMT,201701170930,253.46,254.2,253.04,253.04,31582
LMT,201701170931,253.2,253.25,252.34,252.45,9830
LMT,201701170932,252.48,252.66,252.2,252.25,14839
LMT,201701170933,252.38,253.23,252.21,253.23,3166
LMT,201701170934,252.61,252.69,252.4,252.53,2527
LMT,201701170935,252.46,252.79,252.27,252.63,13917
LMT,201701170936,252.62,253.25,252.52,253.08,20599
LMT,201701170937,253.01,253.48,253.01,253.05,1472
LMT,201701170938,253.13,253.69,253.13,253.33,15215
LMT,201701170939,253.3,253.3,252.92,252.97,2300
LMT,201701170940,253.06,253.55,252.9,253.3,3427
LMT,201701170941,253.25,253.25,252.75,252.8,1531
LMT,201701170942,252.78,253.11,252.77,253.02,6098
LMT,201701170943,253.29,253.29,252.92,252.92,835
LMT,201701170944,253,253.45,253,253.45,854
LMT,201701170945,252.97,253.25,252.97,253.25,400
LMT,201701170946,253.05,253.23,253.04,253.07,1703
LMT,201701170947,253.23,253.34,253.08,253.26,1419
LMT,201701170948,253.13,253.32,253.13,253.28,905
LMT,201701170949,253.28,253.39,253.27,253.39,550
LMT,201701170950,253.39,253.44,253.25,253.25,400
LMT,201701170951,253.25,253.47,253.22,253.46,2573
LMT,201701170952,253.51,253.52,253.22,253.35,5256
LMT,201701170953,253.22,253.36,253.22,253.26,3123
LMT,201701170954,253.26,253.26,253.1,253.14,2227
LMT,201701170955,253.09,253.09,253.08,253.08,400
LMT,201701170956,253,253.13,253,253.13,671
LMT,201701170957,253.12,253.19,253.07,253.07,1974
LMT,201701170958,253.01,253.12,252.83,252.93,1648
LMT,201701170959,252.76,252.83,252.76,252.83,500
LMT,201701171000,252.85,252.91,252.53,252.53,2292
LMT,201701171001,252.55,252.6,252.42,252.54,1834
LMT,201701171002,252.47,252.59,252.47,252.59,900
LMT,201701171003,252.55,252.57,252.48,252.48,1623
LMT,201701171004,252.58,252.63,252.5,252.58,2500
LMT,201701171005,252.52,252.55,252.39,252.39,1200
LMT,201701171006,252.35,252.41,252.3,252.32,2030
LMT,201701171007,252.25,252.27,252.06,252.27,3405
LMT,201701171008,252.25,252.58,252.25,252.58,4700
LMT,201701171009,252.61,252.8,252.5,252.71,1500
LMT,201701171010,252.66,252.9,252.65,252.82,7141
LMT,201701171011,252.74,252.74,252.52,252.55,3380
LMT,201701171012,252.38,252.55,252.38,252.55,1500
LMT,201701171013,252.59,252.77,252.59,252.77,2451
LMT,201701171014,252.72,252.85,252.66,252.69,3852
