<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
M,201512040903,38.77,38.77,38.77,38.77,2000
M,201512040904,38.76,38.76,38.56,38.56,850
M,201512040906,38.6499,38.65,38.6499,38.65,200
M,201512040925,38.47,38.47,38.47,38.47,260
M,201512040926,38.42,38.42,38.42,38.42,500
M,201512040929,38.55,38.56,38.4,38.4,950
M,201512040930,38.49,38.6,38.411,38.51,89662
M,201512040931,38.54,38.84,38.5,38.5877,17513
M,201512040932,38.63,38.64,38.5,38.51,41380
M,201512040933,38.51,38.52,38.36,38.5093,38356
M,201512040934,38.48,38.75,38.48,38.75,9593
M,201512040935,38.75,38.75,38.48,38.51,39245
M,201512040936,38.49,38.5402,38.48,38.5,26171
M,201512040937,38.52,38.72,38.52,38.66,34599
M,201512040938,38.67,38.67,38.6,38.64,36905
M,201512040939,38.64,38.71,38.56,38.62,92118
M,201512040940,38.62,38.67,38.52,38.64,30009
M,201512040941,38.63,38.73,38.61,38.69,25667
M,201512040942,38.69,38.84,38.69,38.82,20942
M,201512040943,38.8,38.8,38.71,38.76,19929
M,201512040944,38.74,38.87,38.73,38.87,39449
M,201512040945,38.88,38.9,38.79,38.9,65788
M,201512040946,38.89,38.96,38.88,38.95,19522
M,201512040947,38.95,39.07,38.94,38.98,46394
M,201512040948,38.98,39,38.95,38.9601,14288
M,201512040949,38.9768,39.0402,38.97,38.98,21327
M,201512040950,38.9898,39,38.95,38.98,14625
M,201512040951,38.98,39,38.96,38.97,27045
M,201512040952,38.98,38.99,38.87,38.8733,32655
M,201512040953,38.87,38.88,38.78,38.7935,36002
M,201512040954,38.78,38.82,38.72,38.74,10380
M,201512040955,38.74,38.85,38.72,38.84,17361
M,201512040956,38.84,38.86,38.79,38.79,29417
M,201512040957,38.79,38.87,38.75,38.83,54127
M,201512040958,38.83,38.83,38.65,38.66,89054
M,201512040959,38.65,38.67,38.57,38.6,19946
M,201512041000,38.6,38.67,38.6,38.64,15283
M,201512041001,38.62,38.65,38.56,38.56,11010
M,201512041002,38.58,38.64,38.58,38.64,7858
M,201512041003,38.6395,38.7,38.6395,38.6749,14087
M,201512041004,38.6601,38.68,38.59,38.59,11812
M,201512041005,38.57,38.64,38.52,38.62,15318
M,201512041006,38.62,38.62,38.55,38.56,17405
M,201512041007,38.56,38.57,38.52,38.53,16785
M,201512041008,38.53,38.55,38.48,38.49,19123
M,201512041009,38.4897,38.53,38.48,38.5,17939
M,201512041010,38.48,38.56,38.47,38.5,24983
M,201512041011,38.51,38.56,38.5,38.52,16249
M,201512041012,38.53,38.55,38.4999,38.4999,13979
M,201512041013,38.5,38.55,38.5,38.55,18390
M,201512041014,38.55,38.57,38.5,38.51,19614
M,201512041015,38.5065,38.5065,38.39,38.42,21616
M,201512041016,38.43,38.48,38.33,38.36,32768
M,201512041017,38.36,38.38,38.33,38.37,11539
M,201512041018,38.39,38.42,38.38,38.41,10363
M,201512041019,38.42,38.5,38.42,38.49,11148
M,201512041020,38.49,38.51,38.45,38.51,15506
M,201512041021,38.51,38.56,38.49,38.5001,29723
M,201512041022,38.51,38.51,38.45,38.46,9740
M,201512041023,38.46,38.46,38.41,38.41,15313
M,201512041024,38.4199,38.47,38.41,38.47,15220
M,201512041025,38.46,38.55,38.46,38.54,17723
M,201512041026,38.53,38.57,38.53,38.56,15087
M,201512041027,38.56,38.57,38.53,38.53,4750
M,201512041028,38.54,38.58,38.52,38.57,11271
M,201512041029,38.56,38.59,38.52,38.5651,24784
M,201512041030,38.57,38.57,38.47,38.5,24888
M,201512041031,38.5,38.55,38.46,38.51,27657
M,201512041032,38.53,38.55,38.5,38.53,18329
M,201512041033,38.53,38.56,38.51,38.53,10173
M,201512041034,38.54,38.55,38.54,38.55,7950
M,201512041035,38.56,38.67,38.56,38.62,21705
M,201512041036,38.62,38.68,38.61,38.68,10367
M,201512041037,38.68,38.7,38.68,38.7,14281
M,201512041038,38.7,38.7,38.67,38.69,11976
M,201512041039,38.69,38.7,38.69,38.7,9781
