<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
STT,201701170929,82.37,82.37,82.37,82.37,100
STT,201701170930,82.12,82.34,81.7,81.81,31177
STT,201701170931,81.92,82.08,81.84,82.05,1390
STT,201701170932,82.03,82.39,82.03,82.21,510
STT,201701170934,82.19,82.19,82.19,82.19,180
STT,201701170935,82.22,82.32,81.96,81.99,6880
STT,201701170936,81.87,81.89,81.55,81.66,7421
STT,201701170937,81.69,81.69,81.55,81.55,750
STT,201701170938,81.49,81.63,81.49,81.63,3950
STT,201701170939,81.61,81.61,81.52,81.56,1969
STT,201701170940,81.54,81.62,81.5,81.62,1900
STT,201701170941,81.6,81.67,81.56,81.63,4079
STT,201701170942,81.64,81.69,81.61,81.61,650
STT,201701170943,81.65,81.69,81.65,81.67,1547
STT,201701170944,81.67,81.67,81.52,81.57,1733
STT,201701170945,81.51,81.51,81.39,81.39,5304
STT,201701170946,81.36,81.52,81.36,81.5,13319
STT,201701170947,81.4,81.4,81.25,81.32,4106
STT,201701170948,81.26,81.3,81.21,81.29,1099
STT,201701170949,81.23,81.36,81.21,81.3,1533
STT,201701170950,81.3,81.36,81.27,81.31,2500
STT,201701170951,81.25,81.32,81.25,81.26,1440
STT,201701170952,81.28,81.28,81.24,81.26,540
STT,201701170953,81.29,81.32,81.23,81.32,4904
STT,201701170954,81.33,81.39,81.32,81.38,2150
STT,201701170955,81.4,81.4,81.26,81.33,1124
STT,201701170956,81.31,81.32,81.31,81.32,703
STT,201701170957,81.31,81.41,81.31,81.39,3536
STT,201701170958,81.42,81.43,81.34,81.34,1040
STT,201701170959,81.3,81.31,81.11,81.13,17712
STT,201701171000,81.19,81.24,81.16,81.24,2300
STT,201701171001,81.34,81.34,81.17,81.23,3750
STT,201701171002,81.2,81.37,81.16,81.29,11454
STT,201701171003,81.3,81.43,81.27,81.43,5602
STT,201701171004,81.45,81.58,81.45,81.58,5440
STT,201701171005,81.54,81.56,81.47,81.48,1899
STT,201701171006,81.55,81.62,81.51,81.6,1893
STT,201701171007,81.63,81.75,81.58,81.75,1401
STT,201701171008,81.75,81.95,81.75,81.95,2649
STT,201701171009,81.9,81.95,81.84,81.92,3054
STT,201701171010,81.9,81.95,81.83,81.85,15337
STT,201701171011,81.85,81.87,81.83,81.87,3650
STT,201701171012,81.91,81.91,81.86,81.9,1564
STT,201701171013,81.86,81.96,81.86,81.9,4100
STT,201701171014,81.88,81.99,81.88,81.94,6000
STT,201701171015,81.94,81.95,81.87,81.93,4864
STT,201701171016,81.96,81.99,81.96,81.97,1200
STT,201701171017,81.96,82.02,81.95,81.98,4671
STT,201701171018,82,82,81.94,81.94,800
STT,201701171019,81.94,81.94,81.82,81.82,1700
STT,201701171020,81.79,81.83,81.79,81.81,800
STT,201701171021,81.86,81.91,81.86,81.89,1200
STT,201701171022,81.9,81.9,81.88,81.88,700
STT,201701171023,81.91,81.91,81.89,81.91,730
STT,201701171024,81.9,81.9,81.83,81.85,2004
STT,201701171025,81.88,81.88,81.82,81.83,700
STT,201701171026,81.82,81.87,81.79,81.86,2200
STT,201701171027,81.84,81.88,81.81,81.81,7329
STT,201701171028,81.8,81.8,81.69,81.69,3800
STT,201701171029,81.69,81.73,81.67,81.72,3800
STT,201701171030,81.7,81.71,81.67,81.7,2209
STT,201701171031,81.66,81.69,81.63,81.63,2900
STT,201701171032,81.61,81.64,81.58,81.58,3144
STT,201701171033,81.56,81.61,81.56,81.61,1408
STT,201701171034,81.59,81.62,81.59,81.6,702
STT,201701171035,81.62,81.64,81.6,81.63,42202
STT,201701171036,81.61,81.62,81.57,81.57,6820
STT,201701171037,81.55,81.6,81.52,81.58,1800
STT,201701171038,81.58,81.58,81.56,81.56,2504
STT,201701171039,81.56,81.58,81.54,81.58,1530
STT,201701171040,81.56,81.62,81.56,81.62,10956
STT,201701171041,81.64,81.66,81.64,81.66,3100
STT,201701171042,81.67,81.67,81.63,81.66,1467
STT,201701171043,81.64,81.64,81.59,81.6,1500
STT,201701171044,81.59,81.64,81.59,81.64,700
STT,201701171045,81.65,81.72,81.65,81.7,1189
STT,201701171046,81.72,81.75,81.71,81.72,1468
STT,201701171047,81.71,81.71,81.71,81.71,400
STT,201701171048,81.71,81.71,81.63,81.63,1900
STT,201701171049,81.64,81.65,81.64,81.64,300
STT,201701171050,81.62,81.66,81.61,81.63,1550
STT,201701171051,81.61,81.65,81.61,81.65,5600
STT,201701171053,81.64,81.64,81.58,81.58,2783
STT,201701171054,81.59,81.6,81.57,81.6,955
STT,201701171055,81.6,81.6,81.59,81.59,400
STT,201701171056,81.59,81.59,81.56,81.57,1100
STT,201701171057,81.57,81.6,81.52,81.54,2179
STT,201701171058,81.54,81.6,81.54,81.6,1355
STT,201701171059,81.59,81.59,81.55,81.56,1300
STT,201701171100,81.55,81.55,81.55,81.55,300
STT,201701171101,81.53,81.58,81.5,81.57,2395
