<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
TRP,201701240902,49.26,49.26,49.26,49.26,100
TRP,201701240907,48.96,48.96,48.96,48.96,100
TRP,201701240921,48.16,48.16,48.16,48.16,500
TRP,201701240922,47.9,48,47.85,48,600
TRP,201701240923,47.88,47.9,47.88,47.9,2308
TRP,201701240924,47.9,47.91,47.9,47.9,764
TRP,201701240925,47.88,48.04,47.88,47.9,3386
TRP,201701240926,47.87,47.92,47.87,47.92,900
TRP,201701240927,47.89,47.89,47.89,47.89,100
TRP,201701240928,47.89,47.89,47.88,47.88,500
TRP,201701240930,47.84,47.84,47.5,47.54,11505
TRP,201701240931,47.49,47.63,47.49,47.58,6600
TRP,201701240932,47.6,47.6,47.6,47.6,1000
TRP,201701240933,47.56,47.57,47.51,47.53,7300
TRP,201701240934,47.53,47.68,47.49,47.53,52632
TRP,201701240935,47.55,47.69,47.55,47.69,2050
TRP,201701240936,47.69,47.77,47.64,47.74,11600
TRP,201701240937,47.72,47.74,47.68,47.69,4010
TRP,201701240938,47.73,47.73,47.67,47.7,15700
TRP,201701240939,47.7,47.71,47.69,47.7,6249
TRP,201701240940,47.7,47.73,47.69,47.71,4900
TRP,201701240941,47.7,47.72,47.67,47.72,6900
TRP,201701240942,47.72,47.73,47.62,47.64,6609
TRP,201701240943,47.62,47.62,47.58,47.61,8625
TRP,201701240944,47.63,47.74,47.63,47.72,11740
TRP,201701240945,47.71,47.73,47.7,47.73,4400
TRP,201701240946,47.73,47.76,47.73,47.74,3675
TRP,201701240947,47.72,47.8,47.71,47.79,3190
TRP,201701240948,47.79,47.79,47.76,47.76,3800
TRP,201701240949,47.76,47.77,47.7,47.71,4971
TRP,201701240950,47.7,47.74,47.7,47.74,3140
TRP,201701240951,47.74,47.75,47.72,47.74,1893
TRP,201701240952,47.71,47.76,47.7,47.75,7283
TRP,201701240953,47.75,47.75,47.71,47.72,4226
TRP,201701240954,47.73,47.74,47.72,47.72,1874
TRP,201701240955,47.72,47.78,47.72,47.74,17640
TRP,201701240956,47.74,47.75,47.73,47.75,1699
TRP,201701240957,47.75,47.82,47.75,47.82,3500
TRP,201701240958,47.84,47.84,47.79,47.79,2105
TRP,201701240959,47.78,47.79,47.74,47.77,3300
TRP,201701241000,47.8,47.8,47.79,47.8,1100
TRP,201701241001,47.81,47.86,47.8,47.86,3577
TRP,201701241002,47.83,47.89,47.81,47.89,5740
TRP,201701241003,47.89,47.96,47.89,47.96,11336
TRP,201701241004,47.95,47.99,47.95,47.98,3832
TRP,201701241005,47.98,48.03,47.96,48.02,14468
TRP,201701241006,48.02,48.1,48.01,48.07,15473
TRP,201701241007,48.07,48.07,47.98,47.98,5924
TRP,201701241008,47.99,48.03,47.97,47.99,9577
TRP,201701241009,47.99,48.06,47.1,48.04,5097
TRP,201701241010,48.06,48.14,48.06,48.14,12228
TRP,201701241011,48.13,48.13,48.08,48.1,2900
TRP,201701241012,48.1,48.13,48.1,48.13,3285
TRP,201701241013,48.13,48.23,48.13,48.19,10563
TRP,201701241014,48.19,48.25,48.19,48.21,7700
TRP,201701241015,48.23,48.36,48.23,48.36,12900
TRP,201701241016,48.37,48.43,48.32,48.37,11000
TRP,201701241017,48.39,48.39,48.25,48.33,10963
TRP,201701241018,48.31,48.35,48.31,48.34,1500
TRP,201701241019,48.34,48.38,48.31,48.38,2300
TRP,201701241020,48.38,48.39,48.35,48.35,3848
TRP,201701241021,48.36,48.38,48.31,48.35,8032
TRP,201701241022,48.33,48.34,48.29,48.33,1940
TRP,201701241023,48.34,48.34,48.28,48.29,5803
TRP,201701241024,48.3,48.34,48.2,48.24,6834
TRP,201701241025,48.26,48.29,48.26,48.27,3404
TRP,201701241026,48.28,48.28,48.26,48.28,5795
TRP,201701241027,48.27,48.29,48.27,48.28,4410
TRP,201701241028,48.26,48.29,48.23,48.29,4325
TRP,201701241029,48.3,48.35,48.3,48.34,3420
TRP,201701241030,48.34,48.35,48.31,48.34,5300
TRP,201701241031,48.35,48.37,48.34,48.37,30969
TRP,201701241032,48.37,48.38,48.35,48.38,4125
TRP,201701241033,48.38,48.4,48.37,48.37,12804
TRP,201701241034,48.37,48.39,48.36,48.38,7808
TRP,201701241035,48.37,48.37,48.33,48.33,6662
TRP,201701241036,48.33,48.35,48.3,48.31,20029
TRP,201701241037,48.31,48.33,48.3,48.3,7331
TRP,201701241038,48.31,48.34,48.31,48.33,8050
TRP,201701241039,48.32,48.33,48.32,48.32,2006
TRP,201701241040,48.31,48.31,48.3,48.3,4285
TRP,201701241041,48.31,48.31,48.29,48.3,4000
TRP,201701241042,48.3,48.32,48.3,48.31,5500
TRP,201701241043,48.31,48.35,48.31,48.34,17584
TRP,201701241044,48.34,48.38,48.34,48.38,13283
TRP,201701241045,48.38,48.38,48.37,48.37,6425
