<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
UTX,201611290930,108.67,108.8,108.65,108.8,62024
UTX,201611290931,108.84,108.89,108.77,108.82,7566
UTX,201611290932,108.84,108.84,108.73,108.79,5548
UTX,201611290933,108.8,108.89,108.77,108.86,5575
UTX,201611290934,108.87,108.88,108.87,108.87,1843
UTX,201611290935,108.9,109.04,108.87,108.95,7983
UTX,201611290936,108.95,109,108.92,108.99,4940
UTX,201611290937,109,109,108.93,108.96,10065
UTX,201611290938,109,109,108.89,108.94,4993
UTX,201611290939,108.91,108.93,108.87,108.89,3800
UTX,201611290940,108.9,108.97,108.87,108.92,10132
UTX,201611290941,108.92,109.04,108.89,109.04,4958
UTX,201611290942,109.03,109.03,108.91,108.95,6497
UTX,201611290943,108.97,109.09,108.94,109.09,3959
UTX,201611290944,109.03,109.09,108.98,109.01,7118
UTX,201611290945,109,109.04,108.97,108.98,10681
UTX,201611290946,108.97,109.09,108.97,109.09,8263
UTX,201611290947,109.08,109.15,109.06,109.09,4414
UTX,201611290948,109.1,109.16,109.1,109.12,5745
UTX,201611290949,109.13,109.17,109.04,109.04,6600
UTX,201611290950,109.07,109.09,109.04,109.07,6452
UTX,201611290951,109.06,109.12,109.06,109.07,4240
UTX,201611290952,109.06,109.11,109.03,109.11,4638
UTX,201611290953,109.09,109.12,109.07,109.07,4080
UTX,201611290954,109.05,109.1,109.04,109.05,3474
UTX,201611290955,109.06,109.06,109.03,109.04,5953
UTX,201611290956,109.03,109.05,108.98,109.05,5170
UTX,201611290957,109.07,109.12,109.07,109.1,2291
UTX,201611290958,109.08,109.12,109.07,109.11,5782
UTX,201611290959,109.09,109.12,109.09,109.11,2652
UTX,201611291000,109.1,109.23,109.09,109.16,22335
UTX,201611291001,109.16,109.22,109.15,109.15,23238
UTX,201611291002,109.18,109.23,109.16,109.22,8917
UTX,201611291003,109.21,109.23,109.19,109.2,3991
UTX,201611291004,109.2,109.33,109.2,109.33,11163
UTX,201611291005,109.3,109.32,109.28,109.29,4683
UTX,201611291006,109.27,109.31,109.27,109.31,1240
UTX,201611291007,109.3,109.3,109.27,109.28,4609
UTX,201611291008,109.29,109.34,109.29,109.34,2982
UTX,201611291009,109.32,109.32,109.23,109.27,4900
UTX,201611291010,109.25,109.26,109.19,109.19,2459
UTX,201611291011,109.19,109.24,109.19,109.22,1195
UTX,201611291012,109.23,109.26,109.19,109.24,7288
UTX,201611291013,109.23,109.26,109.21,109.26,1415
UTX,201611291014,109.24,109.24,109.21,109.23,3427
UTX,201611291015,109.23,109.24,109.21,109.21,1966
UTX,201611291016,109.19,109.19,109.16,109.19,3363
UTX,201611291017,109.17,109.17,109.11,109.11,2800
UTX,201611291018,109.11,109.12,109.08,109.08,4062
UTX,201611291019,109.07,109.13,109.07,109.13,4810
UTX,201611291020,109.12,109.12,109.08,109.12,8590
UTX,201611291021,109.11,109.13,109.03,109.03,3081
UTX,201611291022,109.03,109.03,108.1,109.03,5025
UTX,201611291023,109.03,109.03,108.99,108.99,2602
UTX,201611291024,108.1,109.07,108.1,109.06,4180
UTX,201611291025,109.07,109.07,109.04,109.05,1055
UTX,201611291026,109.05,109.1,109.04,109.08,2700
UTX,201611291027,109.09,109.1,109.03,109.1,3342
UTX,201611291028,109.08,109.08,109.04,109.05,1700
UTX,201611291029,109.07,109.08,109.05,109.06,1575
UTX,201611291030,109.06,109.12,109.06,109.12,2449
UTX,201611291031,109.13,109.15,109.11,109.12,2727
UTX,201611291032,109.11,109.15,109.1,109.15,3690
UTX,201611291033,109.14,109.16,109.13,109.13,3031
UTX,201611291034,109.12,109.13,109.1,109.12,2440
UTX,201611291035,109.1,109.11,109.08,109.11,3734
UTX,201611291036,109.12,109.12,109.09,109.09,1578
UTX,201611291037,109.08,109.09,109.07,109.08,2796
UTX,201611291038,109.08,109.11,109.07,109.1,5445
UTX,201611291039,109.11,109.15,109.09,109.11,4600
UTX,201611291040,109.11,109.12,109.09,109.11,800
UTX,201611291041,109.11,109.12,109.1,109.11,1725
UTX,201611291042,109.1,109.1,109.08,109.1,3822
UTX,201611291043,109.09,109.09,109.07,109.07,1030
UTX,201611291044,109.07,109.08,109.06,109.08,1905
UTX,201611291045,109.1,109.12,109.08,109.08,1889
UTX,201611291046,109.07,109.13,109.07,109.12,1136
UTX,201611291047,109.12,109.14,109.12,109.14,400
UTX,201611291048,109.12,109.19,109.12,109.15,4350
UTX,201611291049,109.16,109.2,109.16,109.17,2500
UTX,201611291050,109.19,109.34,109.17,109.31,22430
UTX,201611291051,109.3,109.34,109.29,109.3,4500
UTX,201611291052,109.3,109.32,109.3,109.31,3200
UTX,201611291053,109.3,109.32,109.29,109.29,3197
UTX,201611291054,109.3,109.34,109.28,109.3,14067
UTX,201611291055,109.29,109.35,109.29,109.32,4553
UTX,201611291056,109.31,109.33,109.3,109.33,1923
UTX,201611291057,109.3,109.33,109.3,109.32,4068
UTX,201611291058,109.32,109.35,109.31,109.32,9908
UTX,201611291059,109.3,109.34,109.29,109.33,2721
UTX,201611291100,109.35,109.35,109.31,109.33,1414
UTX,201611291101,109.34,109.35,109.32,109.35,3244
UTX,201611291102,109.35,109.37,109.32,109.32,5993
UTX,201611291103,109.32,109.36,109.29,109.33,5520
UTX,201611291104,109.33,109.38,109.33,109.36,3500
UTX,201611291105,109.37,109.39,109.35,109.37,4061
UTX,201611291106,109.37,109.38,109.36,109.36,1500
UTX,201611291107,109.36,109.38,109.33,109.35,4344
UTX,201611291108,109.35,109.37,109.33,109.34,1700
UTX,201611291109,109.34,109.4,109.34,109.38,6530
UTX,201611291110,109.36,109.37,109.32,109.34,13087
UTX,201611291111,109.32,109.37,109.3,109.32,5314
UTX,201611291112,109.33,109.38,109.33,109.36,3035
UTX,201611291113,109.36,109.38,109.34,109.34,1416
UTX,201611291114,109.36,109.37,109.35,109.35,600
UTX,201611291115,109.35,109.38,109.35,109.36,2000
UTX,201611291116,109.36,109.4,109.36,109.36,2707
UTX,201611291117,109.36,109.36,109.35,109.35,2367
