<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
WMT,201701170901,67.5,67.6,67.5,67.6,2300
WMT,201701170903,67.5,67.5,67.5,67.5,3000
WMT,201701170905,67.52,67.52,67.52,67.52,400
WMT,201701170907,67.51,67.51,67.5,67.51,2700
WMT,201701170911,67.52,67.53,67.52,67.53,2600
WMT,201701170920,67.5,67.53,67.5,67.5,15945
WMT,201701170925,67.5,67.5,67.5,67.5,3070
WMT,201701170926,67.5,67.7,67.5,67.7,4227
WMT,201701170927,67.8,68.17,67.8,68.01,13300
WMT,201701170928,68.01,68.09,67.76,67.92,8870
WMT,201701170929,68.03,68.13,67.91,68.12,16765
WMT,201701170930,68.09,68.34,68.06,68.26,33914
WMT,201701170931,68.25,68.56,68.06,68.55,512905
WMT,201701170932,68.55,68.83,68.36,68.75,160851
WMT,201701170933,68.73,69.06,68.64,68.98,281481
WMT,201701170934,68.98,69.03,68.1,68.87,197079
WMT,201701170935,68.85,69.02,68.1,69.01,124189
WMT,201701170936,69.02,69.07,68.92,69.07,118806
WMT,201701170937,69.07,69.09,69,69.05,50130
WMT,201701170938,69.06,69.23,69.02,69.2,165894
WMT,201701170939,69.19,69.22,69.1,69.2,142386
WMT,201701170940,69.2,69.21,69.15,69.21,86663
WMT,201701170941,69.2,69.28,69.2,69.27,150159
WMT,201701170942,69.27,69.29,69.25,69.26,115804
WMT,201701170943,69.26,69.26,69.02,69.04,98858
WMT,201701170944,69.03,69.1,68.1,68.98,83539
WMT,201701170945,68.96,68.99,68.78,68.78,161892
WMT,201701170946,68.78,68.91,68.77,68.79,55008
WMT,201701170947,68.8,68.86,68.8,68.83,49376
WMT,201701170948,68.82,68.86,68.66,68.68,98428
WMT,201701170949,68.69,68.75,68.68,68.72,72504
WMT,201701170950,68.71,68.83,68.71,68.83,51337
WMT,201701170951,68.85,68.97,68.83,68.87,58645
WMT,201701170952,68.88,68.95,68.85,68.93,51674
WMT,201701170953,68.92,68.94,68.87,68.88,27311
WMT,201701170954,68.87,68.96,68.87,68.94,36490
WMT,201701170955,68.94,68.95,68.82,68.83,28223
WMT,201701170956,68.84,68.9,68.8,68.8,35154
WMT,201701170957,68.81,68.89,68.81,68.88,19473
WMT,201701170958,68.88,68.98,68.87,68.96,40505
WMT,201701170959,68.97,68.99,68.9,68.93,29452
WMT,201701171000,68.92,68.94,68.88,68.93,15289
WMT,201701171001,68.93,68.93,68.84,68.91,30275
WMT,201701171002,68.9,68.91,68.85,68.9,18812
WMT,201701171003,68.89,68.91,68.85,68.9,18920
WMT,201701171004,68.91,68.99,68.91,68.98,31683
WMT,201701171005,68.99,69.08,68.99,69,101854
WMT,201701171006,69,69,68.95,68.97,7589
WMT,201701171007,68.98,68.99,68.96,68.97,14359
WMT,201701171008,68.98,69.05,68.97,69.04,31140
WMT,201701171009,69.04,69.07,69.01,69.02,43297
WMT,201701171010,69.02,69.05,68.99,69.01,24162
WMT,201701171011,69.01,69.05,69,69,38163
WMT,201701171012,69,69,68.89,68.93,57867
WMT,201701171013,68.93,69,68.1,68.99,28534
WMT,201701171014,68.99,69.02,68.1,68.99,35450
WMT,201701171015,68.99,69.03,68.98,69.03,44506
WMT,201701171016,69.13,69.13,69.12,69.12,528
WMT,201701171017,69.1,69.15,69.1,69.11,39506
WMT,201701171018,69.09,69.1,69,69,33229
WMT,201701171019,69,69.09,68.99,69.09,18514
WMT,201701171020,69.08,69.1,69.05,69.07,14044
WMT,201701171021,69.07,69.1,69.05,69.09,12817
WMT,201701171022,69.09,69.15,69.06,69.11,27858
WMT,201701171023,69.11,69.13,69.1,69.13,10871
WMT,201701171024,69.13,69.14,69.11,69.12,16973
WMT,201701171025,69.12,69.14,69.1,69.12,16349
WMT,201701171026,69.13,69.18,69.12,69.18,27426
WMT,201701171027,69.18,69.19,69.16,69.19,13920
WMT,201701171028,69.19,69.22,69.14,69.16,40472
WMT,201701171029,69.16,69.2,69.13,69.14,29787
WMT,201701171030,69.14,69.16,69.14,69.16,23781
WMT,201701171031,69.15,69.15,69.13,69.14,21275
WMT,201701171032,69.14,69.16,69.14,69.14,25916
WMT,201701171033,69.14,69.19,69.13,69.19,42704
WMT,201701171034,69.2,69.22,69.17,69.22,26604
WMT,201701171035,69.21,69.21,69.16,69.16,36189
WMT,201701171036,69.17,69.2,69.17,69.19,11132
WMT,201701171037,69.19,69.19,69.11,69.13,60257
WMT,201701171038,69.13,69.18,69.12,69.17,12339
WMT,201701171039,69.18,69.2,69.18,69.19,13106
WMT,201701171040,69.2,69.22,69.19,69.22,19465
WMT,201701171041,69.22,69.24,69.18,69.19,39673
WMT,201701171042,69.18,69.2,69.15,69.16,21121
WMT,201701171043,69.16,69.17,69.12,69.13,8360
WMT,201701171044,69.13,69.17,69.12,69.15,13199
WMT,201701171045,69.15,69.18,69.15,69.17,8181
WMT,201701171046,69.17,69.18,69.15,69.15,13626
WMT,201701171047,69.15,69.16,69.13,69.15,9288
